
[00:00:00.000 --> 00:00:03.940]  好了 今天我們就去到大衛的後期了
[00:00:03.940 --> 00:00:05.940]  下一堂就是最後一次了
[00:00:05.940 --> 00:00:08.680]  今天就講重掌王權
[00:00:08.680 --> 00:00:12.080]  我們看回 因為我們隔了兩個星期
[00:00:12.080 --> 00:00:14.720]  年初一和上個星期講蛇年華蛇
[00:00:14.720 --> 00:00:19.120]  我們再看回大衛的兒子鴨沙龍叛變
[00:00:19.120 --> 00:00:23.120]  但是大衛就安排了一些的無間道
[00:00:23.120 --> 00:00:26.320]  包括祭司在鴨沙龍的身邊
[00:00:26.320 --> 00:00:29.840]  破壞鴨沙龍的計謀
[00:00:29.840 --> 00:00:34.840]  亞希多弗就說要去大兵追殺大衛
[00:00:34.840 --> 00:00:36.840]  還說明只是殺大衛一個人
[00:00:36.840 --> 00:00:40.000]  但是無間道終於就產生了作用了
[00:00:40.000 --> 00:00:43.740]  他就說不是啊 你爸爸始終是一個戰士
[00:00:43.740 --> 00:00:46.940]  趕狗入窮巷 回來咬你一口
[00:00:46.940 --> 00:00:49.200]  如果我們有人受傷
[00:00:49.200 --> 00:00:51.200]  傳了一些假消息出來
[00:00:51.200 --> 00:00:53.480]  說你打敗就影響了你
[00:00:53.480 --> 00:00:57.120]  表面鴨沙龍就馬上答應了
[00:00:57.120 --> 00:01:01.960]  也採納了這個無間道的意見
[00:01:01.960 --> 00:01:05.360]  亞希多弗知道其實大勢已去
[00:01:05.360 --> 00:01:08.480]  就馬上辭官歸故里
[00:01:08.480 --> 00:01:13.120]  然後回到他自己的鄉下裡面
[00:01:13.120 --> 00:01:14.920]  就吊頸死了
[00:01:14.920 --> 00:01:18.160]  他是舊約唯一一個自殺的人
[00:01:18.160 --> 00:01:22.400]  因為他知道大衛其實是一個政治人物
[00:01:22.400 --> 00:01:24.320]  如果要追殺他的時候
[00:01:24.320 --> 00:01:28.520]  有連坐法一定是會影響到其他人的
[00:01:28.520 --> 00:01:30.240]  正如現在我們知道
[00:01:30.240 --> 00:01:33.040]  剛剛過去的星期六
[00:01:33.040 --> 00:01:36.040]  有很多人去了皇家鑄幣廠那裡
[00:01:36.040 --> 00:01:37.640]  去表達意見
[00:01:37.640 --> 00:01:41.000]  而一個被通緝的人都上台發表意見
[00:01:41.000 --> 00:01:42.880]  接著連他的舅父
[00:01:42.880 --> 00:01:44.320]  就是較為疏的東西
[00:01:44.320 --> 00:01:48.680]  都被香港的國安警抓了去調查
[00:01:48.680 --> 00:01:50.680]  你看到其實那些連坐法
[00:01:50.680 --> 00:01:53.320]  其實是每個世代 每個國家
[00:01:53.320 --> 00:01:55.120]  每個地方都會有的
[00:01:55.120 --> 00:01:58.120]  好了 後來在打仗的時候
[00:01:58.120 --> 00:02:00.800]  我們就知道在平原打
[00:02:00.800 --> 00:02:01.760]  就一定輸的
[00:02:01.760 --> 00:02:03.480]  因為大衛那幫人不多
[00:02:03.480 --> 00:02:05.760]  但是他們走到密林裡面
[00:02:05.760 --> 00:02:07.640]  結果是怎麼樣呢
[00:02:07.640 --> 00:02:11.160]  就是鴨鯊龍就戰敗
[00:02:11.160 --> 00:02:12.240]  他逃走的時候
[00:02:12.240 --> 00:02:15.440]  因為他的頭髮是最多最濃密的
[00:02:15.440 --> 00:02:17.280]  就插在樹枝那裡
[00:02:17.280 --> 00:02:18.840]  整個人吊起
[00:02:18.840 --> 00:02:21.720]  於是約押就叫人去殺鴨鯊龍
[00:02:21.720 --> 00:02:23.560]  雖然大衛曾經不斷說
[00:02:23.560 --> 00:02:25.360]  不可以來殺鴨鯊龍的
[00:02:25.360 --> 00:02:27.120]  要好好的善待他
[00:02:27.120 --> 00:02:29.880]  但是稍後我們會分析約押為什麼要殺他
[00:02:29.880 --> 00:02:31.640]  因為那些人不夠膽
[00:02:31.640 --> 00:02:34.760]  於是約押自己帶頭將鴨鯊龍刺傷
[00:02:34.760 --> 00:02:37.160]  然後其他人就將鴨鯊龍殺了
[00:02:37.160 --> 00:02:40.640]  結果這一場的內亂終於平息了
[00:02:40.640 --> 00:02:43.960]  然後就可以重掌皇權了
[00:02:43.960 --> 00:02:47.360]  但是在執政之前
[00:02:47.360 --> 00:02:49.800]  所發生的事情我們需要了解
[00:02:49.800 --> 00:02:52.120]  從而對我們有所反省
[00:02:52.120 --> 00:02:54.200]  第一我們會看看
[00:02:54.200 --> 00:02:56.800]  究竟是正情還是親情
[00:02:56.800 --> 00:02:58.640]  當鴨鯊龍被殺之後
[00:02:58.640 --> 00:03:02.400]  殺毒的兒子阿希馬斯
[00:03:02.400 --> 00:03:04.400]  就自戰了
[00:03:04.400 --> 00:03:07.280]  就跟大衛報信
[00:03:07.280 --> 00:03:08.600]  我要告訴大衛
[00:03:08.600 --> 00:03:11.960]  我們的王知道現在已經平亂了
[00:03:11.960 --> 00:03:13.280]  我們看看
[00:03:13.280 --> 00:03:17.040]  《十字記》第十八章的第十九節
[00:03:17.040 --> 00:03:19.880]  殺毒的兒子阿希馬斯說
[00:03:19.880 --> 00:03:21.200]  用我跑去
