
[00:00:00.000 --> 00:00:04.720]  一個基督徒 如果要有成長的話
[00:00:04.720 --> 00:00:08.640]  是很需要認清楚自己的真面目
[00:00:08.640 --> 00:00:13.740]  最好認清楚真面目的辦法是什麼
[00:00:13.740 --> 00:00:16.000]  就是在我們的過去
[00:00:16.000 --> 00:00:18.960]  從我們的過去中認識我們自己
[00:00:18.960 --> 00:00:23.520]  我們知道在《生命紀》裏面的一章至三章
[00:00:23.520 --> 00:00:28.720]  摩西已經和以色列人檢討他們的過去
[00:00:28.720 --> 00:00:30.600]  展望他們的將來
[00:00:30.600 --> 00:00:34.760]  而今天我們和大家分享的第八至十一章
[00:00:34.760 --> 00:00:39.540]  有一次摩西重提舊事
[00:00:39.540 --> 00:00:42.280]  要新一代的以色列人
[00:00:42.280 --> 00:00:46.280]  不要學第一代的以色列人一樣
[00:00:46.280 --> 00:00:48.280]  他們離棄了神
[00:00:48.280 --> 00:00:50.640]  他們不能夠進入加拿大
[00:00:50.640 --> 00:00:55.480]  很多時候我們都很需要認識我們的過去
[00:00:55.480 --> 00:00:57.560]  一個人認識自己的過去
[00:00:57.560 --> 00:01:00.880]  就好像認識自己的真面孔一樣
[00:01:00.880 --> 00:01:06.680]  在英國 愛爾蘭和蘇格蘭
[00:01:06.680 --> 00:01:09.720]  他們曾經在古代有一個保護者
[00:01:09.720 --> 00:01:12.800]  這個保護者叫Oliver Cromwell
[00:01:12.800 --> 00:01:17.920]  Oliver Cromwell這個人是一個很有權力的人
[00:01:17.920 --> 00:01:20.880]  有一次他想自己有一幅寫真
[00:01:20.880 --> 00:01:22.520]  這個是在講古代
[00:01:22.520 --> 00:01:24.560]  現在要拍一張照片就可以了
[00:01:24.560 --> 00:01:26.720]  拍一張照片你就會看到自己
[00:01:26.720 --> 00:01:28.400]  但是以前不是的
[00:01:28.400 --> 00:01:32.680]  是要畫家來幫他畫他的肖像
[00:01:32.680 --> 00:01:34.720]  他和那個畫家說
[00:01:34.720 --> 00:01:39.000]  你要畫得真 畫得真真正正像我
[00:01:39.000 --> 00:01:40.600]  我纔給錢
[00:01:40.600 --> 00:01:41.920]  如果你畫得不像的話
[00:01:41.920 --> 00:01:44.120]  我一個線我都不給你
[00:01:44.120 --> 00:01:45.480]  他還和那個畫家說
[00:01:45.480 --> 00:01:48.480]  我的臉上每一粒墨
[00:01:48.480 --> 00:01:50.360]  每一粒暗瘡 每一條皺紋
[00:01:50.360 --> 00:01:53.520]  你都要和我畫得清清楚楚
[00:01:53.520 --> 00:01:55.520]  哇 好大膽哦
[00:01:55.520 --> 00:01:58.600]  我想起現在的女士拍照
[00:01:58.600 --> 00:02:00.320]  拍完照之後還說
[00:02:00.320 --> 00:02:03.520]  哇 拍了那些白頭發出來
[00:02:03.520 --> 00:02:07.440]  哇 那些暗瘡那些皺紋我不要啊
[00:02:07.440 --> 00:02:08.360]  現在可以怎麼辦
[00:02:08.360 --> 00:02:10.400]  可以photoshop
[00:02:10.400 --> 00:02:12.160]  可以airbrush
[00:02:12.160 --> 00:02:15.680]  將那些皺紋 將那些瑕疵全部沒有了
[00:02:15.680 --> 00:02:17.520]  美美的這樣
[00:02:17.520 --> 00:02:23.400]  摩西在《生命紀》第8至11章他沒有這麼做
[00:02:23.400 --> 00:02:27.840]  他是完全將以色列人每一粒暗瘡
[00:02:27.840 --> 00:02:30.520]  每一條皺紋都說出來
[00:02:30.520 --> 00:02:34.640]  讓他們看到自己的真面目
[00:02:34.640 --> 00:02:37.520]  其中一樣以色列人的真面目
[00:02:37.520 --> 00:02:39.600]  和我們都是很相似的
[00:02:39.600 --> 00:02:42.920]  就是我們很容易忘記神
[00:02:42.920 --> 00:02:46.320]  第一代的以色列人就是忘記了神
[00:02:46.320 --> 00:02:49.280]  我們看到在《生命紀》第8章第11節說什麼
[00:02:49.280 --> 00:02:55.120]  免得忘記耶和華你的神不守他的誡命 典章律例
[00:02:55.120 --> 00:02:56.680]  在第8章第12節又說
[00:02:56.680 --> 00:02:58.680]  恐怕你喫得飽足
[00:02:58.680 --> 00:03:01.120]  你就心高氣傲
[00:03:01.120 --> 00:03:03.200]  忘記耶和華你的神
[00:03:03.200 --> 00:03:09.320]  就是將你們從埃及地圍爐之家領出來的
[00:03:09.320 --> 00:03:11.000]  在第8章第17節又說
[00:03:11.000 --> 00:03:13.440]  恐怕你的心裏說
[00:03:13.440 --> 00:03:18.680]  這貨纔是我的力量 我能力得來的
[00:03:18.680 --> 00:03:21.920]  當我們認爲很多我們的財物
[00:03:21.920 --> 00:03:26.440]  我們的珍貴都是我們自己得來的
[00:03:26.440 --> 00:03:27.960]  我們就會怎樣
[00:03:27.960 --> 00:03:30.160]  就比較容易忘記神
[00:03:30.160 --> 00:03:32.440]  以爲是自己的能力
[00:03:32.440 --> 00:03:34.040]  8章19節也說
[00:03:34.040 --> 00:03:37.200]  忘記耶和華你的神 隨從別神
[00:03:37.200 --> 00:03:40.760]  侍奉敬拜 你們必定滅亡
[00:03:40.760 --> 00:03:43.560]  很明顯第8章告訴我們
[00:03:43.560 --> 00:03:47.440]  就是要教導我們不要忘記神
[00:03:47.440 --> 00:03:51.600]  神其實在我們每一個信徒的身上
[00:03:51.600 --> 00:03:55.120]  都給我們很多試驗
[00:03:55.120 --> 00:03:57.480]  給我們試驗來做什麼
[00:03:57.480 --> 00:03:59.040]  經文有告訴我們
[00:03:59.040 --> 00:04:00.560]  8章2節
[00:04:00.560 --> 00:04:02.800]  要苦戀你 試煉你
[00:04:02.800 --> 00:04:05.600]  要知道你心內如何
[00:04:05.600 --> 00:04:09.360]  肯守他的誡命不肯
[00:04:09.360 --> 00:04:11.800]  神給我們試驗
[00:04:11.800 --> 00:04:16.440]  讓我們知道我們肯不肯守他的誡命
[00:04:16.440 --> 00:04:20.040]  是否心裏歸向他 還是忘記了他
[00:04:20.040 --> 00:04:21.880]  有很多人可能會說
[00:04:21.880 --> 00:04:24.200]  神怎麼這麼沒用
[00:04:24.200 --> 00:04:28.200]  要試驗人才知道你的心是怎麼想
[00:04:28.200 --> 00:04:29.640]  守不守他的誡命
[00:04:29.640 --> 00:04:31.880]  其實神知不知道
[00:04:31.880 --> 00:04:34.840]  神當然知道 神什麼都知道
[00:04:34.840 --> 00:04:38.960]  要誰知道我們守不守誡命
[00:04:38.960 --> 00:04:41.080]  是要我們自己
[00:04:41.080 --> 00:04:43.920]  當我們有試驗來到的時候
[00:04:43.920 --> 00:04:45.640]  我們反映出我們的心
[00:04:45.640 --> 00:04:47.760]  我們是否真的守神的誡命
[00:04:47.760 --> 00:04:49.480]  讓我們知道
[00:04:49.480 --> 00:04:52.520]  反映出我們面上的每一粒咒文
[00:04:52.520 --> 00:04:54.560]  每一條咒文 每一粒暗倉
[00:04:54.560 --> 00:04:57.600]  讓我們見到自己的人是怎樣
[00:04:57.600 --> 00:05:00.640]  真正的我是怎樣
[00:05:00.640 --> 00:05:03.400]  在這裏啓示6:23
[00:05:03.400 --> 00:05:04.640]  經文說什麼
[00:05:04.640 --> 00:05:09.920]  「宗教會知道我是測驗人肺腑心腸的」
[00:05:09.920 --> 00:05:12.600]  神是測驗我們每個人的肺腑
[00:05:12.600 --> 00:05:15.280]  每個人的心腸
[00:05:15.280 --> 00:05:17.480]  有很多人可能會跟我說
[00:05:17.480 --> 00:05:19.200]  「用不着神測驗我
[00:05:19.200 --> 00:05:22.000]  我自己知道我的心是怎麼想的
[00:05:22.000 --> 00:05:24.360]  我都知道 我知道我向着神的
[00:05:24.360 --> 00:05:26.880]  我知道我愛神的」
[00:05:26.880 --> 00:05:28.440]  很容易說出口的
[00:05:28.440 --> 00:05:31.720]  我們愛神 我們向着神
[00:05:31.720 --> 00:05:33.720]  你知不知道恐怖的地方
[00:05:33.720 --> 00:05:35.280]  是第一代的以色列人
[00:05:35.280 --> 00:05:37.320]  就是失敗了的那羣人
[00:05:37.320 --> 00:05:40.040]  他們都以爲自己愛神
[00:05:40.040 --> 00:05:43.720]  他們都以爲自己的心是向着神
[00:05:43.720 --> 00:05:46.640]  人心是很詭詐的
[00:05:46.640 --> 00:05:50.200]  一個人是會有藉口出來告訴自己
[00:05:50.200 --> 00:05:51.920]  「我是很愛神的
[00:05:51.920 --> 00:05:52.800]  你看看我
[00:05:52.800 --> 00:05:56.840]  我每個星期都回教會敬拜神」
[00:05:56.840 --> 00:05:59.240]  很容易就會有這樣的藉口
[00:05:59.240 --> 00:06:02.640]  耶利米斯17:9-10怎樣說
[00:06:02.640 --> 00:06:05.960]  「人心比萬物都詭詐
[00:06:05.960 --> 00:06:08.000]  壞到極處
[00:06:08.000 --> 00:06:09.840]  誰能識透呢
[00:06:09.840 --> 00:06:14.960]  我耶和華是監察人心 試驗人肺腑
[00:06:14.960 --> 00:06:17.120]  我要照着各人所行的
[00:06:17.120 --> 00:06:22.320]  和他的作事的結果來報應他」
[00:06:22.320 --> 00:06:25.400]  我們自己沒可能知道自己是怎樣
[00:06:25.400 --> 00:06:27.040]  人心詭詐
[00:06:27.040 --> 00:06:29.160]  我們很多時候會安慰自己
[00:06:29.160 --> 00:06:31.040]  認爲自己已經很愛神
