
[00:00:00.000 --> 00:00:03.320]  (主席)今天的講題叫做「馳承哀索」
[00:00:03.320 --> 00:00:06.080]  剛才大家讀經文的時候
[00:00:06.080 --> 00:00:08.000]  相信也會讀到這幾個字
[00:00:08.000 --> 00:00:13.640]  這幾個字這句話是出自何西雅書十一章四節的
[00:00:13.640 --> 00:00:14.640]  我們來看一下
[00:00:14.640 --> 00:00:17.880]  「我用馳承哀索牽引他們
[00:00:17.880 --> 00:00:24.120]  我待他們如人放鬆牛的兩腮甲板
[00:00:24.120 --> 00:00:27.080]  把糧食放在他們面前」
[00:00:31.000 --> 00:00:34.400]  「兩腮甲板」其實是指那個「額」
[00:00:34.400 --> 00:00:38.440]  這裡所說的「承索」
[00:00:38.440 --> 00:00:42.800]  不是一般用來捆綁畜生
[00:00:42.800 --> 00:00:46.720]  限制他們的行動自由的那種「承索」
[00:00:46.720 --> 00:00:48.400]  這裡所說的「承索」
[00:00:48.400 --> 00:00:52.440]  是用來牽引他們去享受飼料
[00:00:52.440 --> 00:00:58.120]  這句聖經的意思就是說
[00:00:59.120 --> 00:01:03.880]  「馳承哀索」其實是指神的誡命律法
[00:01:03.880 --> 00:01:05.080]  神的吩咐
[00:01:05.080 --> 00:01:07.320]  神給誡命、給律法我們
[00:01:07.320 --> 00:01:11.400]  目的不是要限制我們在生活上的自由
[00:01:11.400 --> 00:01:16.840]  而是要引導我們去享受祂的福氣
[00:01:16.840 --> 00:01:21.960]  因為如果我們不按不守神的誡命律法
[00:01:21.960 --> 00:01:24.440]  那就是說會犯罪、得罪神
[00:01:24.440 --> 00:01:27.560]  就會失去了神的福氣和恩典
[00:01:29.840 --> 00:01:33.360]  所以神給人的誡命和吩咐
[00:01:33.360 --> 00:01:36.040]  其實是出於神的慈愛
[00:01:36.040 --> 00:01:43.880]  是用來引導我們去過幸福生活的「馳承哀索」
[00:01:43.880 --> 00:01:49.240]  神的話語是「馳承哀索」
[00:01:49.240 --> 00:01:54.280]  引導我們去過祂的幸福生活
[00:01:57.160 --> 00:02:03.440]  今天我和大家一起從《河西雅書》8至14章
[00:02:03.440 --> 00:02:05.760]  我們不會讀完8至14章
[00:02:05.760 --> 00:02:09.160]  所以我還是盡量抽一些經文給大家讀
[00:02:09.160 --> 00:02:10.600]  但是我所說的範圍
