
[00:00:00.000 --> 00:00:02.000]  丁智輝 早安
[00:00:02.000 --> 00:00:06.000]  讓我們一同為了我們講到和聽到的福士禱告
[00:00:06.000 --> 00:00:09.000]  主我們感謝祢 因為祢是私恩憐憫的主
[00:00:09.000 --> 00:00:13.000]  祢是那位賜客盼望 賜客寬恕的主
[00:00:13.000 --> 00:00:17.000]  願我們今天都是去踏上跟從祢的路的時候
[00:00:17.000 --> 00:00:19.000]  勤祢都可以繼續幫助我們
[00:00:19.000 --> 00:00:24.000]  由願祢藉著聖靈 今日叫我們能夠明白上帝祢的話語
[00:00:24.000 --> 00:00:27.000]  藉著保羅的書信 我們能夠去看見
[00:00:27.000 --> 00:00:30.000]  今天我們能夠怎樣去緊緊的跟從祢
[00:00:30.000 --> 00:00:33.000]  盡忠的在上帝祢的道路當中
[00:00:33.000 --> 00:00:36.000]  奉主耶穌的聖名祈求 阿們
[00:00:36.000 --> 00:00:44.000]  踏入2024年 不知道大家會不會都有很多不同的新年的目標呢
[00:00:44.000 --> 00:00:47.000]  又會打算怎樣去完成這些目標呢
[00:00:47.000 --> 00:00:52.000]  我曾經都是一個很喜歡去定下一些新年目標的人
[00:00:52.000 --> 00:00:56.000]  每年的開始都總會覺得 一個新的開始
[00:00:56.000 --> 00:01:00.000]  然後就要 所有東西都是很新的
[00:01:00.000 --> 00:01:03.000]  然後都會買一本行事曆
[00:01:03.000 --> 00:01:06.000]  然後亦都會買一本日記簿
[00:01:06.000 --> 00:01:08.000]  記下自己每一年發生的事
[00:01:08.000 --> 00:01:13.000]  亦都會去寫下 在行事曆那裡記好
[00:01:13.000 --> 00:01:16.000]  究竟有些什麼今年要發生
[00:01:16.000 --> 00:01:19.000]  但是結果通常是怎樣呢
[00:01:19.000 --> 00:01:23.000]  就是半年內 我們很快就已經不見了那本行事曆
[00:01:23.000 --> 00:01:26.000]  甚至日記都只寫到一月中
[00:01:26.000 --> 00:01:27.000]  為什麼是一月中呢
[00:01:27.000 --> 00:01:30.000]  就是香港的考試通常是一月初
[00:01:30.000 --> 00:01:32.000]  一月中開始就開始放假
[00:01:32.000 --> 00:01:35.000]  放假就什麼都不想做 包括日記都不想寫
[00:01:35.000 --> 00:01:41.000]  結果每年那本日記就只寫了頭十五頁就完了
[00:01:41.000 --> 00:01:46.000]  所以可想而知 每年我自己定的一些目標
[00:01:46.000 --> 00:01:51.000]  絕大部分都會是不翼而飛 是找不到數的
[00:01:51.000 --> 00:01:55.000]  所以我都曾經 我會說我曾經很喜歡
[00:01:55.000 --> 00:01:57.000]  去在新年定目標的人
[00:01:57.000 --> 00:02:00.000]  到現在就算了 都不會做到的了
[00:02:00.000 --> 00:02:05.000]  不知道大家會不會都有類似的一個這樣的經驗呢
[00:02:05.000 --> 00:02:09.000]  明明你開始的時候 你是很想完成一件事的
[00:02:09.000 --> 00:02:11.000]  但可能因著三分鐘熱度
[00:02:11.000 --> 00:02:15.000]  可能你會覺得有更加重要的事要處理
[00:02:15.000 --> 00:02:17.000]  可能你已經忙到沒有心力了
[00:02:17.000 --> 00:02:20.000]  又或者在這些事的時候
[00:02:20.000 --> 00:02:24.000]  半路中途就遇到一些瓶頸 遇到一些困難
[00:02:24.000 --> 00:02:28.000]  總是因著不同的原因半途而廢
[00:02:28.000 --> 00:02:33.000]  這個就令到我們 可能包括是我們想完成的事
[00:02:33.000 --> 00:02:38.000]  可能是關於我們的工作 可能是我們的學業
