
[00:00:00.000 --> 00:00:04.240]  今天我們會跟大家去看一段經文
[00:00:04.240 --> 00:00:05.680]  就是講大衛的
[00:00:05.680 --> 00:00:10.480]  先跟大家分享一下畫面
[00:00:10.480 --> 00:00:13.580]  這次的題目叫做「善非皆行」
[00:00:13.580 --> 00:00:15.680]  不是所有好的事情
[00:00:15.680 --> 00:00:17.680]  一定要你去做的
[00:00:17.680 --> 00:00:20.880]  我們一路看大衛的時候
[00:00:20.880 --> 00:00:22.880]  我們會更加看到
[00:00:22.880 --> 00:00:24.880]  大衛其實不是一個
[00:00:24.880 --> 00:00:26.580]  我們認為這麼好的人
[00:00:26.580 --> 00:00:29.380]  他也會有自己的奸狡
[00:00:29.380 --> 00:00:31.380]  為了自己的利益
[00:00:31.380 --> 00:00:34.180]  而讓別人受到損害
[00:00:34.180 --> 00:00:36.180]  甚至會記仇
[00:00:36.180 --> 00:00:42.180]  為什麼大衛能夠蒙神的月立和祝福呢?
[00:00:42.180 --> 00:00:43.780]  有這麼多不好的地方
[00:00:43.780 --> 00:00:46.780]  我們會在今天和下一次
[00:00:46.780 --> 00:00:50.680]  去看為什麼大衛會得到神的喜悅
[00:00:50.680 --> 00:00:52.180]  特別是下一次
[00:00:52.180 --> 00:00:54.580]  大衛當他登基一段時間之後
[00:00:54.580 --> 00:00:55.580]  大家記不記得
[00:00:55.580 --> 00:00:58.580]  他迎接了約會回去的
[00:00:58.580 --> 00:01:02.580]  但是他迎接約會回去的時候
[00:01:02.580 --> 00:01:04.580]  就用錯了方法
[00:01:04.580 --> 00:01:08.580]  所以當約會給牛來運送的時候
[00:01:08.580 --> 00:01:09.580]  一跌下來的時候
[00:01:09.580 --> 00:01:11.580]  為什麼有個人叫烏薩
[00:01:11.580 --> 00:01:12.580]  扶著約會
[00:01:12.580 --> 00:01:15.580]  立刻被神擊打死亡
[00:01:15.580 --> 00:01:18.580]  我那時候也很不明白
[00:01:18.580 --> 00:01:20.580]  這是很自然的反應
[00:01:20.580 --> 00:01:22.580]  烏薩也是出於好意
[00:01:22.580 --> 00:01:24.580]  為什麼會被神擊殺呢?
[00:01:24.580 --> 00:01:26.580]  大家可以上網
[00:01:26.580 --> 00:01:28.580]  如果沒有參加的時候
[00:01:28.580 --> 00:01:30.580]  可以聽我們對上一次
[00:01:30.580 --> 00:01:32.580]  就是第十八集的時候
[00:01:32.580 --> 00:01:34.580]  說死於非命
[00:01:34.580 --> 00:01:36.580]  但是無論如何
[00:01:36.580 --> 00:01:40.580]  大衛看到約會這麼可怕
[00:01:40.580 --> 00:01:43.580]  他不敢進城
[00:01:43.580 --> 00:01:45.580]  就放在一個人的家裡
[00:01:45.580 --> 00:01:49.580]  但是神是大大賜福這個家庭
[00:01:49.580 --> 00:01:51.580]  所以大衛就運送約會
[00:01:51.580 --> 00:01:53.580]  但是用什麼呢?
[00:01:53.580 --> 00:01:55.580]  就用神的方法
[00:01:55.580 --> 00:01:58.580]  用自己的方法運約會進城
[00:01:58.580 --> 00:02:02.580]  大衛著手建造自己的皇宮
[00:02:02.580 --> 00:02:05.580]  但是當他建造自己皇宮的時候
[00:02:05.580 --> 00:02:07.580]  他心裡有一個很大的感受
