
[00:00:00.000 --> 00:00:03.000]  地獄前輩早安
[00:00:03.000 --> 00:00:05.000]  我們在分享神的話語之前
[00:00:05.000 --> 00:00:08.000]  讓我們再做一個禱告
[00:00:08.000 --> 00:00:10.000]  親愛的天父
[00:00:10.000 --> 00:00:12.000]  我們滿心的感謝你
[00:00:12.000 --> 00:00:15.000]  謝謝你帶領我們來到你的聖殿
[00:00:15.000 --> 00:00:18.000]  來敬拜、來讚美你
[00:00:18.000 --> 00:00:21.000]  主啊,你是我們唯一的神
[00:00:21.000 --> 00:00:24.000]  是我們唯一的敬拜的對象
[00:00:24.000 --> 00:00:27.000]  我們願意以心靈和誠實
[00:00:27.000 --> 00:00:30.000]  來將我們最好的獻給你
[00:00:30.000 --> 00:00:33.000]  就求聖靈此時此刻
[00:00:33.000 --> 00:00:35.000]  開啟我們的心
[00:00:35.000 --> 00:00:37.000]  預備我們的靈
[00:00:37.000 --> 00:00:39.000]  來聆聽你自己的聲音
[00:00:39.000 --> 00:00:43.000]  也透過剛才我們所讀的這段經文
[00:00:43.000 --> 00:00:45.000]  讓我們明白
[00:00:45.000 --> 00:00:48.000]  我們新竹的八別塔是如何的形成
[00:00:48.000 --> 00:00:50.000]  是如何的建造
[00:00:50.000 --> 00:00:53.000]  也是如何的被你來打碎的
[00:00:53.000 --> 00:00:55.000]  主啊,我們就是把以下的時間
[00:00:55.000 --> 00:00:58.000]  恭敬仰望在恩主的手裡面
[00:00:58.000 --> 00:01:00.000]  求恩主來帶領
[00:01:00.000 --> 00:01:04.000]  這樣禱告祈求奉主耶穌基督的聖名
[00:01:04.000 --> 00:01:06.000]  Amen
[00:01:06.000 --> 00:01:09.000]  我想問大家一個問題
[00:01:09.000 --> 00:01:12.000]  到今天為止全球有多少人口
[00:01:12.000 --> 00:01:15.000]  全球總人口有多少人口
[00:01:15.000 --> 00:01:17.000]  有多少個億
[00:01:17.000 --> 00:01:21.000]  哪一年達到了多少億
[00:01:21.000 --> 00:01:29.000]  現在有多少億,有誰知道嗎
[00:01:29.000 --> 00:01:30.000]  誰說七十億
[00:01:30.000 --> 00:01:32.000]  大膽一點
[00:01:32.000 --> 00:01:36.000]  一二年就超過七十億了
[00:01:36.000 --> 00:01:40.000]  現在是每秒鐘就踢踏
[00:01:40.000 --> 00:01:42.000]  有四個人出生
[00:01:42.000 --> 00:01:44.000]  每秒鐘哦
[00:01:44.000 --> 00:01:47.000]  在每秒鐘有四個人出生
[00:01:47.000 --> 00:01:48.000]  就全球的範圍
[00:01:48.000 --> 00:01:52.000]  那踢踏在每秒鐘有多少人死亡呢
[00:01:52.000 --> 00:01:53.000]  兩個人
[00:01:53.000 --> 00:01:57.000]  所以每秒鐘就淨增加兩個人
[00:01:57.000 --> 00:02:00.000]  你看所以每年的人口在不斷的增加
[00:02:00.000 --> 00:02:04.000]  雖然中國是全球人口最多的國家
[00:02:04.000 --> 00:02:07.000]  現在全中國有多少人口
[00:02:07.000 --> 00:02:10.000]  加起來有十三億多
[00:02:10.000 --> 00:02:13.000]  第二大的國家就是印度
[00:02:13.000 --> 00:02:16.000]  那再過我相信再過十幾年二十年
[00:02:16.000 --> 00:02:18.000]  印度就會超過中國
[00:02:18.000 --> 00:02:22.000]  因為印度的出生率是遠遠高過中國的
[00:02:22.000 --> 00:02:24.000]  這是第一個問題
[00:02:24.000 --> 00:02:27.000]  那我再想問第二個問題
[00:02:27.000 --> 00:02:30.000]  有這麼多七十多億的人口
[00:02:30.000 --> 00:02:32.000]  有多少種語言呢
[00:02:32.000 --> 00:02:34.000]  或者有多少種翻譯呢
[00:02:34.000 --> 00:02:36.000]  可能你們想都想不到
[00:02:36.000 --> 00:02:38.000]  比如說我們湖南可能
[00:02:38.000 --> 00:02:39.000]  您是哪地方人
[00:02:39.000 --> 00:02:40.000]  我是岳陽
[00:02:40.000 --> 00:02:41.000]  岳陽和長沙
[00:02:41.000 --> 00:02:44.000]  雖然隔著一百兩百公里
[00:02:44.000 --> 00:02:46.000]  但是差別很大的
[00:02:46.000 --> 00:02:50.000]  有多少種翻譯或者語言不同的
[00:02:50.000 --> 00:02:51.000]  中國有五十六個民族
[00:02:51.000 --> 00:02:54.000]  至少就有五十六種不同的語言
[00:02:54.000 --> 00:02:57.000]  說出來可能你們都不敢相信
[00:02:57.000 --> 00:02:58.000]  現在到今天為止
