
[00:00:00.000 --> 00:00:02.380]  先問大家一個問題
[00:00:02.380 --> 00:00:07.160]  一大早你拿著一杯咖啡
[00:00:07.160 --> 00:00:08.220]  滿滿的
[00:00:08.220 --> 00:00:09.460]  OK的
[00:00:09.460 --> 00:00:10.320]  走
[00:00:10.320 --> 00:00:13.080]  突然有人撞到你身上
[00:00:13.080 --> 00:00:16.980]  那會發生什麼事?
[00:00:16.980 --> 00:00:18.140]  倒瀉了
[00:00:18.140 --> 00:00:21.600]  那倒瀉了什麼?
[00:00:21.600 --> 00:00:22.240]  咖啡吧
[00:00:22.240 --> 00:00:24.020]  為何這些咖啡會倒瀉了?
[00:00:24.020 --> 00:00:28.880]  如果在國語堂就不要回答
[00:00:28.880 --> 00:00:32.460]  滿滿的還有呢?
[00:00:32.460 --> 00:00:33.240]  又被人撞
[00:00:33.240 --> 00:00:38.360]  還有呢?
[00:00:38.360 --> 00:00:39.120]  拿不穩
[00:00:39.120 --> 00:00:41.540]  因為那些是咖啡
[00:00:41.540 --> 00:00:44.080]  所以咖啡就寫出來
[00:00:44.080 --> 00:00:46.280]  如果是我最喜歡的港式奶茶
[00:00:46.280 --> 00:00:49.360]  就是港式奶茶寫出來
[00:00:49.360 --> 00:00:50.220]  是不是?
[00:00:50.220 --> 00:00:53.820]  你在杯子裡什麼就寫什麼出來
[00:00:53.820 --> 00:00:56.120]  人生原來都是這樣的
[00:00:56.120 --> 00:00:58.040]  我們裡面裝什麼呢?
[00:00:58.040 --> 00:01:00.040]  當人們去撞撞我們的時候
[00:01:00.040 --> 00:01:01.120]  我們或者感到挫折
[00:01:01.120 --> 00:01:02.760]  或者感到被屈
[00:01:02.760 --> 00:01:04.320]  或者感到被挑戰的時候
[00:01:04.320 --> 00:01:07.280]  究竟什麼寫出來呢?
[00:01:07.280 --> 00:01:09.360]  會不會是咖啡奶茶?
[00:01:09.360 --> 00:01:10.520]  會不會是因點?
[00:01:10.520 --> 00:01:11.600]  會不會是耐性?
[00:01:11.600 --> 00:01:13.000]  會不會是內心?
[00:01:13.000 --> 00:01:15.280]  外心還是什麼?
[00:01:15.280 --> 00:01:15.960]  不是吧?
[00:01:15.960 --> 00:01:17.400]  或者一把火起
[00:01:17.400 --> 00:01:18.880]  或者很苛刻的說話
[00:01:18.880 --> 00:01:20.340]  甚至很挫折
[00:01:20.340 --> 00:01:24.920]  究竟什麼在你的杯子裡呢?
[00:01:24.920 --> 00:01:28.160]  一個主題叫作俗世清泉
[00:01:28.160 --> 00:01:30.560]  英文其實不是直譯
[00:01:30.560 --> 00:01:31.440]  一個叫做
[00:01:31.440 --> 00:01:33.400]  A fresh way of life together
[00:01:33.400 --> 00:01:35.920]  一起更生的生命
[00:01:35.920 --> 00:01:36.640]  換句話說
[00:01:36.640 --> 00:01:38.840]  這個生命不是我們在世界上面
[00:01:38.840 --> 00:01:40.520]  或者稱為俗世
[00:01:40.520 --> 00:01:41.680]  常常見到
[00:01:41.680 --> 00:01:43.920]  或者會期待見到的樣式
[00:01:43.920 --> 00:01:47.160]  而是神所渴望我們活出的樣式
[00:01:47.160 --> 00:01:49.640]  一個像基督樣式的生命
[00:01:49.640 --> 00:01:52.000]  一個能夠帶來更生的生命
[00:01:52.000 --> 00:01:53.600]  去影響我們的家庭
[00:01:53.600 --> 00:01:56.560]  學校、我們的工作場所
[00:01:56.560 --> 00:01:58.440]  我們的教會
[00:01:58.440 --> 00:02:00.160]  信仰群體裡面
[00:02:00.160 --> 00:02:02.160]  這個生命不是去破壞
[00:02:02.160 --> 00:02:04.000]  是要更加去合一
[00:02:04.000 --> 00:02:07.200]  令到我們裡面的關係更加的合一
[00:02:07.200 --> 00:02:08.720]  當我們說together
[00:02:08.720 --> 00:02:10.480]  A fresh way of life
[00:02:10.480 --> 00:02:12.200]  together的時候
[00:02:12.200 --> 00:02:13.840]  這個fresh way of life
[00:02:13.840 --> 00:02:15.920]  並不是可以一個人去實踐出來
[00:02:15.920 --> 00:02:17.720]  一定要是together
[00:02:17.720 --> 00:02:19.120]  一定要去一起
[00:02:19.120 --> 00:02:20.480]  不是個人層面
[00:02:20.480 --> 00:02:24.880]  而是要在信仰群體裡面去學習和實踐
[00:02:24.880 --> 00:02:26.000]  所以我們很開心
[00:02:26.000 --> 00:02:26.960]  有這個機會
[00:02:26.960 --> 00:02:28.480]  我們弟兄姊妹
[00:02:28.480 --> 00:02:31.360]  不同堂的我們都說俗世清傳
[00:02:31.360 --> 00:02:33.280]  我們一起去學習
[00:02:33.280 --> 00:02:35.280]  一起學習神給我們的話語
[00:02:35.280 --> 00:02:37.640]  一起在互相裡面謙卑學習
[00:02:37.640 --> 00:02:38.240]  好不好
[00:02:38.240 --> 00:02:39.680]  我們一起祈禱
[00:02:39.680 --> 00:02:42.480]  神父我們多謝你
[00:02:42.480 --> 00:02:43.760]  你說天地地有多高
[00:02:43.760 --> 00:02:46.080]  你對我們的愛有多深
