
[00:00:00.000 --> 00:00:02.520]  感謝主要讓我們平安來到
[00:00:02.520 --> 00:00:05.280]  今早一出門 大家都看到 嘩!這麼大雨
[00:00:05.280 --> 00:00:10.400]  我們今天看這本聖經是舊約裏面
[00:00:10.400 --> 00:00:14.160]  一段比較有趣的聖經
[00:00:14.160 --> 00:00:17.560]  我們知道先知撒姆爾
[00:00:17.560 --> 00:00:21.160]  撒姆爾是公元前大概是一千年
[00:00:21.160 --> 00:00:23.240]  那時候的時代
[00:00:23.240 --> 00:00:26.680]  按照聖經記載 他是
[00:00:26.680 --> 00:00:32.640]  處在士詩時期和王國時期兩個中間的交接期
[00:00:32.640 --> 00:00:35.320]  我們知道
[00:00:35.320 --> 00:00:37.840]  所謂士詩的時代就是
[00:00:37.840 --> 00:00:40.440]  大家不相信神 不認識神
[00:00:40.440 --> 00:00:43.640]  聖經就用一句話就是
[00:00:43.640 --> 00:00:45.840]  「各人任意而行」
[00:00:45.840 --> 00:00:50.040]  即是大家以為哪個好 那就做什麼
[00:00:50.040 --> 00:00:53.240]  我們知道之前摩西的時代
[00:00:53.240 --> 00:00:56.440]  大家都還相信神 跟隨神
[00:00:56.440 --> 00:01:00.560]  摩西約書亞的時代都還可以
[00:01:00.560 --> 00:01:04.800]  但之後開始人們就亂了
[00:01:04.800 --> 00:01:06.800]  就離開了神
[00:01:06.800 --> 00:01:11.680]  所以他們就進入一個時期
[00:01:11.680 --> 00:01:15.480]  所謂士詩時期就是沒有人管
[00:01:15.480 --> 00:01:17.000]  沒有人理會他們
[00:01:17.000 --> 00:01:19.560]  也就是離棄他們
[00:01:19.560 --> 00:01:21.360]  所以被人欺負
[00:01:21.360 --> 00:01:24.960]  但仍然是憐憫他們自己的百姓
[00:01:24.960 --> 00:01:27.440]  所以興起一些叫做士詩
[00:01:27.440 --> 00:01:30.200]  其實就是民族的英雄
[00:01:30.200 --> 00:01:32.400]  有需要的時候
[00:01:32.400 --> 00:01:34.400]  神的靈降臨在他們身上
[00:01:34.400 --> 00:01:36.280]  他們有能力打仗
[00:01:36.280 --> 00:01:38.280]  帶領以色列人
[00:01:38.280 --> 00:01:42.160]  可能有一段時間勝過他們的敵人
[00:01:42.160 --> 00:01:45.400]  叫做聽話敬拜神
[00:01:45.400 --> 00:01:47.800]  但過了那段時間
[00:01:47.800 --> 00:01:50.680]  可能士詩本身都不太好
[00:01:50.680 --> 00:01:52.680]  所以如果我們看聖經
[00:01:52.680 --> 00:01:55.200]  譬如一些比較有名的士詩
[00:01:55.200 --> 00:01:58.080]  例如《機殿》、《參孫》
[00:01:58.080 --> 00:02:01.520]  就不要學他們一生的事
[00:02:01.520 --> 00:02:04.840]  短時間神的靈在他們身上
[00:02:04.840 --> 00:02:06.200]  他們跟隨神 相信神
[00:02:06.200 --> 00:02:08.600]  那段時間你可以學
[00:02:08.600 --> 00:02:12.600]  但其他亂來的就不要學
[00:02:12.600 --> 00:02:15.000]  到了後來 到君王的時期
[00:02:15.000 --> 00:02:17.000]  薩姆爾先知
[00:02:17.000 --> 00:02:23.240]  就是安納素羅和戴維做君王
[00:02:23.240 --> 00:02:25.960]  開始王國的時期
[00:02:25.960 --> 00:02:29.160]  薩姆爾本身有幾重身份
[00:02:29.160 --> 00:02:31.640]  他自己也是士詩
[00:02:31.640 --> 00:02:33.880]  可以說是最後一個士詩
[00:02:33.880 --> 00:02:37.960]  他也是先知代替神說話
[00:02:37.960 --> 00:02:39.440]  也是祭司
[00:02:39.440 --> 00:02:41.160]  負責獻祭
[00:02:41.160 --> 00:02:46.560]  在士羅的會幕裡面負責獻祭
[00:02:46.560 --> 00:02:50.360]  在那個時期裡面
[00:02:50.360 --> 00:02:53.520]  百姓對神的認識很有限
[00:02:53.520 --> 00:02:55.960]  我們今天讀這段經文
[00:02:55.960 --> 00:02:59.920]  講到以色列人在那段時期裡面
[00:02:59.920 --> 00:03:02.600]  對神不是很認識
[00:03:02.600 --> 00:03:05.840]  以為祂好像普通的神明一樣
[00:03:05.840 --> 00:03:08.400]  有偶像之類
[00:03:08.400 --> 00:03:11.960]  所以我們希望從他們身上
[00:03:11.960 --> 00:03:15.560]  從一些負面的例子學習
[00:03:15.560 --> 00:03:18.760]  怎樣將真神當作神來敬拜
[00:03:18.760 --> 00:03:22.280]  而不是將神當作偶像
[00:03:22.280 --> 00:03:25.280]  假神來敬拜
[00:03:25.280 --> 00:03:26.360]  我們通過耶穌基督
[00:03:26.360 --> 00:03:30.280]  很清楚明白我們所敬拜的耶和華神
[00:03:30.280 --> 00:03:35.360]  是聖父、聖子、聖靈三位一體的真神
[00:03:35.360 --> 00:03:40.080]  不過有時候去世界其他地方旅行的時候
[00:03:40.080 --> 00:03:43.800]  真的見到不少自稱為基督徒的
[00:03:43.800 --> 00:03:47.800]  都好像將神當作另外一個神
[00:03:47.800 --> 00:03:50.960]  另外一個偶像來敬拜
[00:03:50.960 --> 00:03:55.720]  究竟真神和偶像的分別主要在哪裡呢?
[00:03:55.720 --> 00:04:01.080]  首先我們看看偶像是可以供人擺佈的
[00:04:01.080 --> 00:04:02.360]  所以今天的經文描述
[00:04:02.360 --> 00:04:05.320]  當那些非利士人向以色列人擺陣
[00:04:05.320 --> 00:04:08.080]  兩軍交戰的時候
[00:04:08.080 --> 00:04:10.760]  以色列人就敗在非利士人的手上
[00:04:10.760 --> 00:04:14.600]  敗了一仗就死了四千人
[00:04:14.600 --> 00:04:17.640]  百姓就回到營裡
[00:04:17.640 --> 00:04:20.880]  以色列的長老怎麼說呢?
[00:04:20.880 --> 00:04:26.080]  耶和華今天為何使我們敗在非利士人的面前呢?
[00:04:26.080 --> 00:04:29.000]  我們要將耶和華的約貴從侍羅
[00:04:29.000 --> 00:04:30.760]  抬到我們這裡
[00:04:30.760 --> 00:04:32.880]  好讓他來到我們中間
[00:04:32.880 --> 00:04:38.600]  救我們脫離敵人的手掌
[00:04:38.600 --> 00:04:40.600]  所以那些長老輸了一陣子
[00:04:40.600 --> 00:04:42.120]  死了這麼多人
[00:04:42.120 --> 00:04:47.440]  以為耶和華神好像其他的偶像假神一樣
[00:04:47.440 --> 00:04:49.200]  將祂搬來的時候
[00:04:49.200 --> 00:04:51.120]  神就在我們當中
[00:04:51.120 --> 00:04:55.920]  下次就一定會打贏
[00:04:55.920 --> 00:04:59.720]  今天很多所謂民間信仰的人
[00:04:59.720 --> 00:05:01.960]  不是這樣相信的
[00:05:01.960 --> 00:05:04.440]  我們說唐人
[00:05:04.440 --> 00:05:08.040]  民間信仰其實是一種混合
[00:05:08.040 --> 00:05:11.760]  人們說拜神或是拜佛
[00:05:11.760 --> 00:05:15.400]  其實是將佛教、儒教、道教
[00:05:15.400 --> 00:05:17.560]  加上迷信
[00:05:17.560 --> 00:05:19.400]  什麼都混合在一起
[00:05:19.400 --> 00:05:22.360]  這就叫做信仰
[00:05:22.360 --> 00:05:24.200]  有些人說拜佛
[00:05:24.200 --> 00:05:28.320]  但不是認真懂得佛教信什麼
[00:05:28.320 --> 00:05:30.640]  又不讀佛經
[00:05:30.640 --> 00:05:36.320]  所以他們有什麼事就請道士來
[00:05:36.320 --> 00:05:38.200]  或者請和尚
[00:05:38.200 --> 00:05:39.600]  他們不理會
[00:05:39.600 --> 00:05:41.200]  道教也好、佛教也好
[00:05:41.200 --> 00:05:42.280]  什麼都好
[00:05:42.280 --> 00:05:48.480]  總之就請一些宗教人士來當中
[00:05:48.480 --> 00:05:52.360]  如果家人病了
[00:05:52.360 --> 00:05:58.760]  請個道士、高僧來唸經
