
[00:00:00.000 --> 00:00:04.280]  我們讀一段聖經,在格林多前書第四章第十五節,
[00:00:04.280 --> 00:00:07.080]  我們一同來唸這一節的聖經來。
[00:00:07.080 --> 00:00:11.900]  你們學基督的師父雖有一萬,為父的卻是不多,
[00:00:11.900 --> 00:00:15.980]  因為我在基督耶穌裡用福音生了你們。
[00:00:15.980 --> 00:00:17.680]  好,我們就讀到這裡。
[00:00:17.680 --> 00:00:23.140]  今天是父親節,首先讓我再次恭賀我們中間每一位父親,
[00:00:23.140 --> 00:00:26.880]  父親節非常非常快樂,Amen!
[00:00:30.200 --> 00:00:34.200]  有時候在過節的時候,我們都常常比較注重母親節,
[00:00:34.200 --> 00:00:39.000]  因為母親的愛是最能夠安慰我們,觸動我們生命的。
[00:00:39.000 --> 00:00:45.300]  但事實上,父親在兒女身上的影響力也是非常重要的,Amen!
[00:00:45.300 --> 00:00:47.500]  所以每年我們在過父親節的時候,
[00:00:47.500 --> 00:00:53.500]  我們教會一定會為父親們預備一個可以造全家福的機會,
[00:00:53.500 --> 00:00:59.100]  就是希望能夠尊榮在我們中間每一位偉大的父親。
[00:00:59.100 --> 00:01:01.800]  所以在三會之後,不要太快離開,
[00:01:01.800 --> 00:01:06.500]  趁這個機會能夠全家照張相留念一下。
[00:01:06.500 --> 00:01:11.900]  各位姐妹,這個世代是一個需要父親的世代。
[00:01:11.900 --> 00:01:15.800]  我們看見多少的社會的問題、家庭的問題,
[00:01:15.800 --> 00:01:17.900]  甚至生活上的問題,
[00:01:17.900 --> 00:01:26.100]  都是因為很多人缺乏一個正確的父親的形象所帶來的結果。
[00:01:26.100 --> 00:01:29.100]  這為什麼保羅在格林多前書四章十五節說,
[00:01:29.100 --> 00:01:35.800]  你們學基督的,雖師父有一萬,但為父的確實不多。
[00:01:35.800 --> 00:01:40.100]  的確,今天我們並不需要知識,
[00:01:40.100 --> 00:01:44.900]  因為其實我們看見在這個世代已經有太多的知識,
[00:01:44.900 --> 00:01:48.700]  有太多的所謂的對與錯,
[00:01:48.700 --> 00:01:53.700]  也有太多人急於想把他們那一套想法告訴別人,
[00:01:53.700 --> 00:01:57.900]  而且強迫別人要按照他的方式去做,
[00:01:57.900 --> 00:02:02.800]  反而搞得我們不知道何去何從。
[00:02:02.800 --> 00:02:05.900]  今天太多人想要做師父了,
[00:02:05.900 --> 00:02:11.900]  但其實我們真正需要的是一個為父的心。
[00:02:11.900 --> 00:02:14.300]  今天作為一個父親的人,
[00:02:14.300 --> 00:02:19.100]  我們不見得需要懂得會做所有的事情,
[00:02:19.100 --> 00:02:24.000]  但我們真的需要學習要有一個為父的心,
[00:02:24.000 --> 00:02:31.400]  好讓我們的兒女能夠在一個正確的屬靈的價值觀下面能夠成長,
[00:02:31.400 --> 00:02:35.900]  能夠走上一條和神心意的道路。
[00:02:35.900 --> 00:02:40.400]  那你說,很多時候我們想到我們自己這麼不完全,
[00:02:40.400 --> 00:02:47.000]  我們怎麼樣能夠成為有一個屬神的為父的心的人呢?
[00:02:47.000 --> 00:02:50.000]  感謝神雖然我們人很不完全,
[00:02:50.000 --> 00:02:53.900]  但我們卻有一位慈愛的天父,
[00:02:53.900 --> 00:02:57.200]  祂是完全的神,Amen?
[00:02:57.200 --> 00:03:02.900]  祂也是我們應當效法的一個父親的形象。
[00:03:02.900 --> 00:03:04.900]  所以今天早上從三方面來思想,
[00:03:04.900 --> 00:03:09.100]  怎麼樣能夠效法父神的榜樣,
[00:03:09.100 --> 00:03:13.600]  我們能夠學習做一個好的父親呢?
[00:03:13.600 --> 00:03:15.800]  三方面,第一個要效法神的信實,
[00:03:15.800 --> 00:03:20.300]  跟你爸爸說要效法神的信實。
[00:03:20.300 --> 00:03:21.500]  什麼是信實?
[00:03:21.500 --> 00:03:27.200]  信實簡單的說就是不至於說謊話。
[00:03:27.200 --> 00:03:33.100]  主所說的,我們看見祂必定要成就。
[00:03:33.100 --> 00:03:35.300]  哥倫多後書第一章第二十節怎麼說呢?
[00:03:35.300 --> 00:03:40.700]  這裡說神所應許的無論有多少,在基督裡都是是的,
[00:03:40.700 --> 00:03:42.900]  所以藉著祂也都是實在的,
[00:03:42.900 --> 00:03:46.700]  叫神因著我們得榮耀。
[00:03:46.700 --> 00:03:50.100]  這裡說神的應許無論有多少,
[00:03:50.100 --> 00:03:52.600]  請問祢知道有多少?
[00:03:52.600 --> 00:03:55.600]  請問祢經歷過有多少?
[00:03:55.600 --> 00:03:59.800]  但這裡我們看見神的應許無論有多少,
[00:03:59.800 --> 00:04:04.100]  無論祢知道與否,無論祢經歷過與否,
[00:04:04.100 --> 00:04:08.000]  神的應許都是真實的。
[00:04:08.000 --> 00:04:12.600]  而且無論從人看來是多麼不可能,
[00:04:12.600 --> 00:04:17.100]  但是我們看見神的應許必定要成就。
[00:04:17.100 --> 00:04:20.100]  神總是按照祂所應許的,
[00:04:20.100 --> 00:04:23.300]  按照祂的時候,按照祂的方法,
[00:04:23.300 --> 00:04:26.800]  神要成就祂所應許的事情。
