
[00:00:00.000 --> 00:00:03.400]  現在說新年快樂好像遲了一點
[00:00:03.400 --> 00:00:05.500]  好像已經過了
[00:00:05.500 --> 00:00:09.700]  但是其實新的一年還沒過
[00:00:09.700 --> 00:00:12.300]  2025年是新的一年還沒過
[00:00:12.300 --> 00:00:15.700]  仍然祝福大家身體健康
[00:00:15.700 --> 00:00:17.100]  生命有力
[00:00:17.100 --> 00:00:21.800]  所思所行都可以榮耀神
[00:00:21.800 --> 00:00:22.600]  好嗎
[00:00:22.600 --> 00:00:26.200]  我們低頭祈禱
[00:00:26.200 --> 00:00:28.000]  參議院副常委我們感謝你
[00:00:28.000 --> 00:00:29.900]  讓我們來到你面前
[00:00:29.900 --> 00:00:31.000]  可以敬拜你
[00:00:31.000 --> 00:00:34.300]  可以聽你親口對我們說話
[00:00:34.300 --> 00:00:36.500]  祝你親自帶領我們
[00:00:36.500 --> 00:00:38.900]  讓聖靈在當中作功
[00:00:38.900 --> 00:00:44.200]  讓我們的心被主你的話語所軟化
[00:00:44.200 --> 00:00:47.500]  以致我們願意接受主你的話語
[00:00:47.500 --> 00:00:49.800]  成為我們生命的力量
[00:00:49.800 --> 00:00:52.700]  祝你親自帶領
[00:00:52.700 --> 00:00:55.300]  我們都懇求主你自己使用你的僕人
[00:00:55.300 --> 00:00:56.900]  你高沒他的口
[00:00:56.900 --> 00:00:58.700]  高沒他所要講的訊息
[00:00:58.700 --> 00:01:02.200]  以致我們在當中能夠同德造就
[00:01:02.200 --> 00:01:03.500]  同德幫助
[00:01:03.500 --> 00:01:04.100]  感謝你
[00:01:04.100 --> 00:01:05.100]  聽我們禱告
[00:01:05.100 --> 00:01:06.900]  奉主耶穌基督聖名
[00:01:06.900 --> 00:01:09.100]  Amen
[00:01:09.100 --> 00:01:12.800]  在聖經裡面有好幾處
[00:01:12.800 --> 00:01:14.700]  其實都用了「撫督」
[00:01:14.700 --> 00:01:16.400]  就是這兩個字
[00:01:16.400 --> 00:01:18.400]  在中文聖經
[00:01:18.400 --> 00:01:22.600]  它其實是一個負面的形容詞
[00:01:22.600 --> 00:01:24.300]  用來形容什麼呢
[00:01:24.300 --> 00:01:26.400]  形容言語
[00:01:26.400 --> 00:01:29.500]  炎熱的天氣
[00:01:29.500 --> 00:01:31.200]  心為意念
[00:01:31.200 --> 00:01:35.000]  這些來形容這些東西
[00:01:35.000 --> 00:01:37.000]  原本的意思
[00:01:37.000 --> 00:01:40.800]  其實只是用一個中文字
[00:01:40.800 --> 00:01:42.800]  就可以翻譯出來
[00:01:42.800 --> 00:01:44.900]  其實就是「撫」
[00:01:44.900 --> 00:01:46.300]  就是bitterness
[00:01:46.300 --> 00:01:49.000]  或者是bitter
[00:01:49.000 --> 00:01:52.400]  但是可能中文聖經就想
[00:01:52.400 --> 00:01:59.300]  將它形容得更加有力一點
[00:01:59.300 --> 00:02:04.200]  所以在中文就加了一個「督」字
[00:02:04.200 --> 00:02:07.700]  稱之為「撫督」
[00:02:07.700 --> 00:02:10.300]  原來我們的言語
[00:02:10.300 --> 00:02:12.400]  可以是「撫督」的
[00:02:12.400 --> 00:02:14.100]  我們的心為意念
[00:02:14.100 --> 00:02:16.900]  是可以是「撫督」的
[00:02:16.900 --> 00:02:20.400]  一個人如果心理不平衡的時候
[00:02:20.400 --> 00:02:22.800]  那就很長久
[00:02:22.800 --> 00:02:25.600]  積壓在心裡面有怨氣的話
[00:02:25.600 --> 00:02:29.500]  就會心為苦讀
[00:02:29.500 --> 00:02:32.800]  或者在言語上會流露出來
[00:02:32.800 --> 00:02:37.000]  基本上我們由一個人所說的說話
[00:02:37.000 --> 00:02:41.600]  你已經可以測到他心裡面有多苦
[00:02:41.600 --> 00:02:43.700]  如果經常都在咒詛別人
[00:02:43.700 --> 00:02:45.300]  經常都在罵別人
[00:02:45.300 --> 00:02:48.900]  經常說話都是說一些負面的說話
[00:02:48.900 --> 00:02:52.500]  你就知道他心裡面是很苦的
[00:02:52.500 --> 00:02:55.400]  幾乎是不會錯的
[00:02:55.400 --> 00:02:59.400]  當然有時候一個人心裡面的苦讀
[00:02:59.400 --> 00:03:03.000]  就不只是用言語來表達出來的
[00:03:03.000 --> 00:03:05.300]  甚至是扶植行動的
[00:03:05.300 --> 00:03:08.500]  那就更加可怕了
[00:03:08.500 --> 00:03:16.600]  在聖經裡面苦讀也指什麼呢?
[00:03:16.600 --> 00:03:20.800]  就是一種內心的自我傷害
[00:03:20.800 --> 00:03:22.000]  這包括什麼呢?
[00:03:22.000 --> 00:03:24.800]  就是包括憎恨
[00:03:24.800 --> 00:03:28.600]  不願意饒恕的一種態度
[00:03:28.600 --> 00:03:33.200]  以及對人的傷害
[00:03:33.200 --> 00:03:36.800]  刺傷或者是埋怨
[00:03:36.800 --> 00:03:41.500]  在希臘文當中更加將它表達出來
[00:03:41.500 --> 00:03:44.000]  苦讀的意思是什麼呢?
[00:03:44.000 --> 00:03:50.400]  就是說 為什麼他不敏感呢?
[00:03:50.400 --> 00:03:53.000]  苦讀的意思就是說
[00:03:53.000 --> 00:03:56.200]  當他被誤會或者被指責
[00:03:56.200 --> 00:04:00.700]  一個人被苦待或者被定罪的時候
[00:04:00.700 --> 00:04:05.000]  他沒有辦法去解釋或者被諒解的時候
[00:04:05.000 --> 00:04:09.900]  而將所受的這個委屈不斷的積在心裡面
[00:04:09.900 --> 00:04:14.900]  化為內心的埋怨或者是驟狀
[00:04:14.900 --> 00:04:18.100]  這就是一個苦讀
[00:04:18.100 --> 00:04:19.300]  在聖經裡面
[00:04:19.300 --> 00:04:26.700]  希伯來文將這個苦讀比喻為一種根
[00:04:26.700 --> 00:04:28.100]  又要謹慎
[00:04:28.100 --> 00:04:30.100]  恐怕有人失了神的恩
[00:04:30.100 --> 00:04:35.300]  恐怕有毒根生出來擾亂你們
[00:04:35.300 --> 00:04:41.700]  因此就叫眾人沾染這個污圍
[00:04:41.700 --> 00:04:44.900]  形容苦會有根
[00:04:44.900 --> 00:04:48.600]  必定是有人將它埋在你的心裡面
[00:04:48.600 --> 00:04:50.800]  埋在一個心田裡面
[00:04:50.800 --> 00:04:54.000]  這個苦讀好像一個種子一樣
[00:04:54.000 --> 00:04:56.700]  一旦進入你的心裡面
[00:04:56.700 --> 00:04:59.500]  它就會向下生根
[00:04:59.500 --> 00:05:02.700]  向上生長去發展
[00:05:02.700 --> 00:05:07.000]  一直到最後就會結出這個惡果
[00:05:07.000 --> 00:05:09.400]  舊約人民約瑟
[00:05:09.400 --> 00:05:11.100]  我們在上次的講道當中
[00:05:11.100 --> 00:05:13.500]  講的是幾個月之前
[00:05:13.500 --> 00:05:16.800]  曾經講過他的遭遇
[00:05:16.800 --> 00:05:19.800]  聖經裡面有好幾章都記載了
[00:05:19.800 --> 00:05:24.000]  他整個一生的遭遇
[00:05:24.000 --> 00:05:29.400]  他在聖經的表現一直都是被後人表揚的
[00:05:29.400 --> 00:05:31.600]  視為典範的
[00:05:31.600 --> 00:05:37.100]  甚至有人把約瑟稱為耶穌基督的寓表
[00:05:37.100 --> 00:05:42.300]  可見約瑟在聖經裡面的地位是很崇高
[00:05:42.300 --> 00:05:44.800]  所以值得我們再次的
[00:05:44.800 --> 00:05:49.000]  將他一生當中所發生的事情
[00:05:49.000 --> 00:05:51.500]  所顯現出來的東西
[00:05:51.500 --> 00:05:54.500]  去和大家再次去思想
[00:05:54.500 --> 00:05:58.800]  但是約瑟原來是生長在一個
[00:05:58.800 --> 00:06:04.300]  會造成他心中很苦毒的環境的一個人
[00:06:04.300 --> 00:06:08.300]  如果說約瑟成長的苦毒的環境
[00:06:08.300 --> 00:06:11.900]  其實還可以一直往上推
[00:06:11.900 --> 00:06:17.500]  上推追溯到三四代
[00:06:17.500 --> 00:06:19.100]  約瑟的父親是誰呢
[00:06:19.100 --> 00:06:20.600]  就是雅各
[00:06:20.600 --> 00:06:22.400]  又叫做以色列
[00:06:22.400 --> 00:06:24.100]  他的祖父是誰呢
[00:06:24.100 --> 00:06:25.800]  就是以實
[00:06:25.800 --> 00:06:28.200]  他的曾祖父是誰呢
[00:06:28.200 --> 00:06:29.600]  我們都很熟悉的
[00:06:29.600 --> 00:06:32.800]  他的太爺就是阿伯拉罕
[00:06:32.800 --> 00:06:35.500]  雅各是一個一生當中
[00:06:35.500 --> 00:06:37.000]  約瑟的父親
[00:06:37.000 --> 00:06:41.400]  是一生當中不斷去找取的人物
[00:06:41.400 --> 00:06:44.700]  但是其實在生命當中不斷找取
[00:06:44.700 --> 00:06:46.300]  不斷爭鬥的
[00:06:46.300 --> 00:06:49.600]  就不只是雅各這個人物
[00:06:49.600 --> 00:06:53.300]  如果我們再往上推去看的時候
[00:06:53.300 --> 00:06:54.600]  我們就可以見到
[00:06:54.600 --> 00:06:57.600]  在雅各的祖父
[00:06:57.600 --> 00:06:59.000]  就是阿伯拉罕
[00:06:59.000 --> 00:07:02.200]  他的家庭裡就有他的兩個老婆
[00:07:02.200 --> 00:07:04.400]  就是撒拉和雅各
[00:07:04.400 --> 00:07:06.700]  在爭鬥
[00:07:06.700 --> 00:07:10.400]  最後阿伯拉罕必須兩選其一
