
[00:00:00.000 --> 00:00:04.000]  好 弟兄姊妹 非常高興我們能夠回來教會
[00:00:04.000 --> 00:00:08.000]  我能夠回來教會 在這個講台上和大家分享訊息
[00:00:08.000 --> 00:00:11.000]  我今天很想和大家分享這個訊息
[00:00:11.000 --> 00:00:16.000]  因為我們大約四月份 我們開始思想耶穌基督的受苦
[00:00:16.000 --> 00:00:20.000]  祂的十誡犧牲和復活
[00:00:20.000 --> 00:00:23.000]  那我們就想想 我們究竟今時今日
[00:00:23.000 --> 00:00:26.000]  我們向世人傳些什麼訊息呢
[00:00:26.000 --> 00:00:29.000]  我們剛才讀了這段經文 我們再看一看
[00:00:29.000 --> 00:00:31.000]  或者我們先思想兩個問題
[00:00:31.000 --> 00:00:35.000]  第一個問題就是 在這麼艱難的時代裏面
[00:00:35.000 --> 00:00:40.000]  兩三年 特別香港 或者全世界都受疫情的影響
[00:00:40.000 --> 00:00:44.000]  再加上經濟 或者民生上面各種的壓力
[00:00:44.000 --> 00:00:48.000]  那究竟福音 還是不是合時宜的呢
[00:00:48.000 --> 00:00:51.000]  還是不是那個答案呢
[00:00:51.000 --> 00:00:54.000]  基督信仰 真是能夠為世人
[00:00:54.000 --> 00:00:57.000]  或者我們現在身處的這個環境 香港人
[00:00:57.000 --> 00:01:01.000]  帶來怕望嗎 我們經常都說福音是好消息
[00:01:01.000 --> 00:01:04.000]  那究竟這是不是一個真正的好消息呢
[00:01:04.000 --> 00:01:06.000]  我們一齊來到今天的這段經文
[00:01:06.000 --> 00:01:12.000]  以蔡亞書五十三章 一到六字裏面一齊思想
[00:01:12.000 --> 00:01:16.000]  我們究竟向世人傳些什麼訊息呢
[00:01:16.000 --> 00:01:19.000]  今天的金句呢 這個禮拜的金句呢
[00:01:19.000 --> 00:01:22.000]  剛才都讀了 我們都再讀多一次
[00:01:22.000 --> 00:01:24.000]  我們思想裏面特別提到的重點呢
[00:01:24.000 --> 00:01:26.000]  就是最後那句說話
[00:01:26.000 --> 00:01:29.000]  哥林多前書二章一到二節 我們一齊讀吧
[00:01:29.000 --> 00:01:33.000]  弟兄們 從前我到你們那裏去
[00:01:33.000 --> 00:01:38.000]  並沒有用高言大智對你們宣傳神的奧秘
[00:01:38.000 --> 00:01:41.000]  因為我陳定了主義 在你們中間
[00:01:41.000 --> 00:01:48.000]  不知道別的 只知道耶穌基督 並他丁十字架
[00:01:48.000 --> 00:01:50.000]  從這兩節經文裏面呢 非常清楚的
[00:01:50.000 --> 00:01:52.000]  我們傳些什麼訊息啊 弟兄姊妹
[00:01:52.000 --> 00:01:59.000]  我們就是傳耶穌基督 曼谷長青的福音信息
[00:01:59.000 --> 00:02:03.000]  當然說到福音呢 我們好像是耳熟能詳的
[00:02:03.000 --> 00:02:06.000]  但是呢 你如果有上過超聲方班 你就會知道了
[00:02:06.000 --> 00:02:12.000]  可能有些細節位 我們都可以更加多的留意
[00:02:12.000 --> 00:02:15.000]  我們今天呢 有少少好像反傳統了
[00:02:15.000 --> 00:02:18.000]  因為呢 通常說福音呢
[00:02:18.000 --> 00:02:23.000]  我們都會引用福音書 新約聖經 或者保羅書信等等
[00:02:23.000 --> 00:02:25.000]  這個絕對是非常之正確
[00:02:25.000 --> 00:02:29.000]  我們今天呢 我們希望能夠從根源上面看一看
[00:02:29.000 --> 00:02:33.000]  從二塞亞書 53章 剛才讀過那一段經文
[00:02:33.000 --> 00:02:38.000]  來看看究竟我們所傳的福音信息 是些什麼呢
[00:02:38.000 --> 00:02:40.000]  我們看回這一段很長的經文
[00:02:40.000 --> 00:02:42.000]  那你會發覺呢 如果你心水清呢
[00:02:42.000 --> 00:02:43.000]  看就知道有個洞 是不是啊
[00:02:43.000 --> 00:02:45.000]  那個呢 就是第一點來的
[00:02:45.000 --> 00:02:48.000]  我們一起從第一節讀到第三節
[00:02:48.000 --> 00:02:50.000]  我們就看看第一點
[00:02:50.000 --> 00:02:54.000]  我們今天傳給世人的福音信息 是些什麼重點呢
[00:02:54.000 --> 00:02:57.000]  我們所傳的 有誰信呢
[00:02:57.000 --> 00:03:00.000]  耶和華的磅秘 向誰顯露呢
[00:03:00.000 --> 00:03:05.000]  他在耶和華面前 伸長如嫩芽 將根出於乾地
[00:03:05.000 --> 00:03:08.000]  他冇佳形美容
[00:03:08.000 --> 00:03:12.000]  我們看見他的時候 有無美貌 使我們羨慕他
[00:03:12.000 --> 00:03:16.000]  所以你不需要擔心 我們都是這樣 無佳形美容
[00:03:16.000 --> 00:03:18.000]  第三節 我們預備了
[00:03:18.000 --> 00:03:25.000]  他被藐視 被人厭棄 多受痛苦 常經憂患
[00:03:25.000 --> 00:03:30.000]  他被藐視 好像被人掩面不堪的一樣 我們也不尊重他
[00:03:30.000 --> 00:03:34.000]  所以這個福音信息 我們今天要傳給香港人 傳給世人
[00:03:34.000 --> 00:03:40.000]  就是一個 多受痛苦 常經憂患的主
[00:03:40.000 --> 00:03:42.000]  這一點很重要 為什麼呢
[00:03:42.000 --> 00:03:47.000]  我相信在這兩三年 或者我們的生活當中 都有很多壓力
[00:03:47.000 --> 00:03:55.000]  以致當中我們都會受到很多苦難 痛苦 或者不如意的經歷
[00:03:55.000 --> 00:03:58.000]  所以這位主 我們所相信的主耶穌基督
[00:03:58.000 --> 00:04:03.000]  原來他是一位 多受痛苦 常經憂患的主
[00:04:03.000 --> 00:04:07.000]  那是什麼意思 就是說他能夠明白我們
[00:04:07.000 --> 00:04:11.000]  誰能明白我 以前有一首歌是這樣的
[00:04:11.000 --> 00:04:16.000]  誰能夠明白我 當然是曾經有相同經歷的人
[00:04:16.000 --> 00:04:18.000]  有相同經歷的這位主耶穌基督
[00:04:18.000 --> 00:04:20.000]  他絕對能夠明白我們
