
[00:00:00.000 --> 00:00:01.920]  弟兄姊妹,主你們平安
[00:00:01.920 --> 00:00:03.440]  各位教睦同工
[00:00:03.440 --> 00:00:06.440]  在網上參與崇拜的弟兄姊妹
[00:00:06.440 --> 00:00:09.400]  願主耶穌的愛和恩典
[00:00:09.400 --> 00:00:14.200]  帶領我們在疫情嚴峻
[00:00:14.200 --> 00:00:16.920]  經濟寒冬的裏面
[00:00:16.920 --> 00:00:18.920]  戰爭聲中裏面
[00:00:18.920 --> 00:00:21.320]  繼續靠著神的恩典
[00:00:21.320 --> 00:00:25.120]  在逆風裏面翱翔
[00:00:25.120 --> 00:00:29.840]  今次肺炎第五波來得非常之猛
[00:00:29.840 --> 00:00:33.360]  傳播之港比先前來得激烈
[00:00:33.360 --> 00:00:37.840]  確診的數字以幾何級數來得上升
[00:00:37.840 --> 00:00:41.040]  當我們透過媒體來得看到病人
[00:00:41.040 --> 00:00:45.360]  在醫院門外所搭建的帳篷十度不夠
[00:00:45.360 --> 00:00:46.960]  穿著保暖衣
[00:00:46.960 --> 00:00:48.160]  餐風露宿
[00:00:48.160 --> 00:00:50.560]  心都寒懷
[00:00:50.560 --> 00:00:52.440]  見到大量市民
[00:00:52.440 --> 00:00:54.440]  抱著寒風冷烈
[00:00:54.440 --> 00:00:57.440]  在街頭風吹雨打
[00:00:57.440 --> 00:00:59.840]  排兩三個鐘頭等候檢測
[00:00:59.840 --> 00:01:02.000]  不病都變有病
[00:01:02.000 --> 00:01:04.080]  見到葵涌村被封七日
[00:01:04.080 --> 00:01:05.840]  村民被困在家
[00:01:05.840 --> 00:01:07.440]  不得外出
[00:01:07.440 --> 00:01:08.560]  糧草斷絕
[00:01:08.560 --> 00:01:10.240]  叫苦連天
[00:01:10.240 --> 00:01:13.840]  有人因為不能上班被僱主解僱
[00:01:13.840 --> 00:01:16.840]  近日見到俄羅斯打烏克蘭
[00:01:16.840 --> 00:01:19.600]  以為
[00:01:19.600 --> 00:01:21.520]  大家都是靠客
[00:01:21.520 --> 00:01:25.320]  誰知雙方真的打起來
[00:01:25.320 --> 00:01:28.640]  死傷的數字不斷攀升
[00:01:28.640 --> 00:01:30.640]  拳腳無眼
[00:01:30.640 --> 00:01:34.120]  更何況是槍炮導彈
[00:01:34.120 --> 00:01:36.440]  見到被破壞的軍車
[00:01:36.440 --> 00:01:39.120]  被戰火焚毀的房屋
[00:01:39.120 --> 00:01:41.040]  心都失懷
