
[00:00:00.000 --> 00:00:01.240]  各位電視節目大家好
[00:00:01.240 --> 00:00:02.600]  我們一起讀聖經
[00:00:02.600 --> 00:00:06.600]  生命樹宣教網絡很想鼓勵大家多看聖經
[00:00:06.600 --> 00:00:10.960]  來到聖經人聖經事這系列已經說了很久
[00:00:10.960 --> 00:00:17.600]  今次是講第三位事師
[00:00:17.600 --> 00:00:21.280]  其實第三位主角是底波拉
[00:00:21.280 --> 00:00:23.240]  她是一個助手
[00:00:23.240 --> 00:00:24.520]  巴拉
[00:00:24.520 --> 00:00:30.040]  底波拉是一位女士 女事師
[00:00:30.040 --> 00:00:34.960]  很厲害 得高望重 大家很尊敬
[00:00:34.960 --> 00:00:41.000]  她是管理士 文人
[00:00:41.000 --> 00:00:42.400]  要打仗
[00:00:42.400 --> 00:00:44.200]  她有一位助手
[00:00:44.200 --> 00:00:47.600]  神叫她找巴拉
[00:00:47.600 --> 00:00:53.400]  看看聖經人 事師和神怎樣做這件事
[00:00:53.400 --> 00:00:55.760]  打退了迦南人
[00:00:55.760 --> 00:00:57.160]  我們繼續
[00:00:57.160 --> 00:00:59.640]  事師記來到第四章
[00:00:59.640 --> 00:01:01.080]  大家知道
[00:01:01.080 --> 00:01:06.040]  事師記有一個惡性循環
[00:01:06.040 --> 00:01:06.840]  第一
[00:01:06.840 --> 00:01:10.400]  以前的事師死了
[00:01:10.400 --> 00:01:13.520]  太平了一輪之後
[00:01:13.520 --> 00:01:15.840]  以色列人又開始頑皮了
[00:01:15.840 --> 00:01:17.080]  第一
[00:01:17.080 --> 00:01:19.720]  以色列人又行耶和華
[00:01:19.720 --> 00:01:21.880]  眼中看為惡的事
[00:01:21.880 --> 00:01:27.000]  惡的事通常不是行為上惡
[00:01:27.000 --> 00:01:30.680]  最主要是他們去拜迦南地的神
[00:01:30.680 --> 00:01:34.280]  一拜巴力 神就很氣憤
[00:01:34.280 --> 00:01:41.360]  巴力統稱迦南地各個民族的神
[00:01:41.360 --> 00:01:46.840]  拜的時候會有廟祭一起淫亂
[00:01:46.840 --> 00:01:51.720]  最差的會獻上人
[00:01:51.720 --> 00:01:54.920]  或者獻上自己的兒子做祭
[00:01:54.920 --> 00:01:57.600]  神是很討厭這些
[00:01:57.600 --> 00:01:59.480]  行耶和華眼中看為惡的事
[00:01:59.480 --> 00:02:01.200]  於是有第二
[00:02:01.200 --> 00:02:06.800]  耶和華會將他們賦予其他外族人
