
[00:00:00.000 --> 00:00:06.000]  今天我們繼續我們的講道系列,是利希米技
[00:00:06.000 --> 00:00:11.000]  我們打開我們的聖經,利希米技第二章
[00:00:11.000 --> 00:00:18.000]  利希米技的第二章,第十一節至二十節
[00:00:18.000 --> 00:00:23.000]  如果有聖經的,請打開,無論你的電子版也好,紙版也好
[00:00:23.000 --> 00:00:29.000]  希望大家都聽到之餘,都能夠一起看到神的話語
[00:00:29.000 --> 00:00:37.000]  對你聽到也會好一點,因為我是十分喜愛講上下文的
[00:00:37.000 --> 00:00:41.000]  第二章,第十一節至二十節
[00:00:41.000 --> 00:00:45.000]  我到了耶路撒冷,在那裡住了三天
[00:00:45.000 --> 00:00:49.000]  我夜間起來,有幾個人也一同起來
[00:00:49.000 --> 00:00:54.000]  但神使我心裡以為耶路撒冷做什麼事
[00:00:54.000 --> 00:01:02.000]  我並沒有告訴人,除了我騎的生猴
[00:01:02.000 --> 00:01:06.000]  以外也沒有別的生猴在我那裡
[00:01:06.000 --> 00:01:09.000]  當夜我出了谷門,往野狗井去
[00:01:09.000 --> 00:01:13.000]  到了糞廠門,察看耶路撒冷的城牆
[00:01:13.000 --> 00:01:17.000]  見城牆拆毀,城門被火焚燒
[00:01:17.000 --> 00:01:21.000]  我又往前,到了全門和王祠
[00:01:21.000 --> 00:01:25.000]  但所騎的生猴沒有地方過去
[00:01:25.000 --> 00:01:29.000]  於是夜間沿溪而上,察看城牆
[00:01:29.000 --> 00:01:32.000]  又轉身進入谷門就回來
[00:01:32.000 --> 00:01:37.000]  我往那裡去,我做什麼事,官長都不知道
[00:01:37.000 --> 00:01:44.000]  我還沒有告訴猶大平民,祭司貴就官長和其餘做工的人
[00:01:44.000 --> 00:01:47.000]  第十七節,以後我對他們說
[00:01:47.000 --> 00:01:51.000]  我們所遭的難,耶路撒冷怎樣風涼
[00:01:51.000 --> 00:01:55.000]  城門被火焚燒,你們都看見了
[00:01:55.000 --> 00:01:58.000]  來吧,我們重建耶路撒冷的城牆
[00:01:58.000 --> 00:02:00.000]  免得再受凌辱
[00:02:00.000 --> 00:02:07.000]  我告訴他們我神師恩的手怎樣幫助我
[00:02:07.000 --> 00:02:09.000]  並王對我所說的話
[00:02:09.000 --> 00:02:12.000]  他們就說,我們起來建造吧
[00:02:12.000 --> 00:02:17.000]  於是他們奮勇做這善工
[00:02:17.000 --> 00:02:22.000]  第十九節,但和倫人參巴拉並圍爐的阿門人
[00:02:22.000 --> 00:02:26.000]  都被阿拉伯人既然聽見就恥笑我們
[00:02:26.000 --> 00:02:31.000]  藐視我們說,你們做什麼呢?要背叛王嗎?
[00:02:31.000 --> 00:02:37.000]  我回答他們說,天上的神必使我們亨通
[00:02:37.000 --> 00:02:41.000]  我們作他僕人的,要起來建造
[00:02:41.000 --> 00:02:47.000]  你們卻在耶路撒冷無份無權無紀念
[00:02:47.000 --> 00:02:50.000]  讓我們低頭禱告
[00:02:50.000 --> 00:02:56.000]  天父上帝,我們再一次為了敬畏的心
[00:02:56.000 --> 00:02:58.000]  來公聽祢的話語
[00:02:58.000 --> 00:03:02.000]  求神祢今天的早上向我們每個人說話
[00:03:02.000 --> 00:03:07.000]  也讓我們以心靈和誠實去敬拜祢
[00:03:07.000 --> 00:03:12.000]  讓祢的話語能感動人心,能轉化人心
[00:03:12.000 --> 00:03:15.000]  奉主耶穌基督的聖命致祈求
[00:03:15.000 --> 00:03:16.000]  Amen
[00:03:16.000 --> 00:03:24.000]  好,我不知道大家有沒有接受過一些艱巨的任務
[00:03:24.000 --> 00:03:28.000]  我英文叫做Daunting Task
[00:03:28.000 --> 00:03:30.000]  我記得我初頭來到移民
[00:03:30.000 --> 00:03:33.000]  要上英文班
[00:03:33.000 --> 00:03:37.000]  當時來到一班叫做English Preparatory Class
[00:03:37.000 --> 00:03:40.000]  要讀莎士比亞,Shakespeare
[00:03:40.000 --> 00:03:44.000]  我這些從野雞大學出來,Wild Chicken School出來
[00:03:44.000 --> 00:03:46.000]  當然是很辛苦
[00:03:46.000 --> 00:03:49.000]  要讀Shakespeare,那個叫做Macbeth
[00:03:49.000 --> 00:03:53.000]  他的導師就跟我們一班說
[00:03:53.000 --> 00:03:57.000]  今天就不教書了,你們看了Shakespeare
[00:03:57.000 --> 00:04:01.000]  今天你們就要寫一篇文,完了之後交
[00:04:01.000 --> 00:04:04.000]  那個題目叫做Lady Macbeth
[00:04:04.000 --> 00:04:09.000]  我除了Lady Macbeth,我知道她是Macbeth的老婆之外
[00:04:09.000 --> 00:04:13.000]  我一無所知,怎麼寫呢?
[00:04:13.000 --> 00:04:16.000]  我看看旁邊那個同學
[00:04:16.000 --> 00:04:19.000]  我就問他怎麼寫,給點料子
[00:04:19.000 --> 00:04:22.000]  他說怎麼知道,隨便畫兩個字
[00:04:22.000 --> 00:04:26.000]  我再看看旁邊那個,那個簡直是在睡覺
[00:04:26.000 --> 00:04:30.000]  這裡跟高中不一樣,是很自由的
[00:04:30.000 --> 00:04:32.000]  那個導師不理你
[00:04:32.000 --> 00:04:35.000]  我說這是很有趣的,怎麼寫呢?
[00:04:35.000 --> 00:04:38.000]  後來不知道寫了什麼,終於交差了
[00:04:38.000 --> 00:04:41.000]  我做工的時候,後來轉工
[00:04:41.000 --> 00:04:44.000]  去了一間德國公司工作
[00:04:44.000 --> 00:04:47.000]  那間德國公司,因為我是Sales & Marketing出身
[00:04:47.000 --> 00:04:49.000]  雖然我有Engineering background
[00:04:49.000 --> 00:04:51.000]  後來我去了Sales & Marketing
[00:04:51.000 --> 00:04:54.000]  他請了我之後,叫我Develop這個Market
[00:04:54.000 --> 00:04:58.000]  因為他在德國很棒,但他在美國就不行
[00:04:58.000 --> 00:05:01.000]  他的產品在市場上,1%的市場都沒有
