
[00:00:00.000 --> 00:00:01.780]  為何我會說這篇道理呢?
[00:00:01.780 --> 00:00:07.920]  因為我覺得在這個世代裏,有很多事情的轉變
[00:00:07.920 --> 00:00:11.700]  現在世界變得很快,快到一個地步
[00:00:11.700 --> 00:00:16.240]  其實你很難去觸摸人的心
[00:00:16.240 --> 00:00:21.540]  最近我發覺我在網上也被人罵
[00:00:21.540 --> 00:00:28.080]  罵我6月3日曾經在蘋果日報有個採訪
[00:00:28.080 --> 00:00:33.360]  罵到上星期還在罵我
[00:00:33.360 --> 00:00:42.280]  有一個門徒媒體將我變成十大新聞的第十位
[00:00:42.280 --> 00:00:47.580]  其實我都知道的,大家不用怕,我都知道別人罵我
[00:00:47.580 --> 00:00:51.580]  我都在想,為何別人會罵我呢?
[00:00:51.580 --> 00:01:00.960]  開始想,究竟我講道,他出了一些講道,說我講一句就做不到
[00:01:00.960 --> 00:01:04.080]  我就想,為何這個世代會這樣呢?
[00:01:04.080 --> 00:01:07.960]  因為這個世界變得很快
[00:01:07.960 --> 00:01:12.080]  快到一個地步,其實我們很難去觸摸現在人的心
[00:01:12.080 --> 00:01:17.080]  最近發覺有一個黃背心的暴動
[00:01:17.080 --> 00:01:22.080]  發覺法國的總統總理已經退一步
[00:01:22.080 --> 00:01:26.580]  他說我們願意將這些稅不再增加
[00:01:26.580 --> 00:01:32.580]  不過我們很想和黃背心的人談談
[00:01:32.580 --> 00:01:34.080]  結果沒有人出來
[00:01:34.080 --> 00:01:38.080]  原來有幾萬人的黃背心,沒有一個是領袖
[00:01:38.080 --> 00:01:39.580]  為何這麼多人去呢?
[00:01:39.580 --> 00:01:43.080]  因為看到那些媒體,去啊去啊去啊
[00:01:43.080 --> 00:01:45.580]  個個都去,都不知道去做甚麼,大家不知道
[00:01:45.580 --> 00:01:48.080]  穿著黃背心就去啊去啊去啊
[00:01:48.080 --> 00:01:49.580]  為何會這樣呢?
[00:01:49.580 --> 00:01:53.580]  其實很多人說一個世代沒有領袖
[00:01:53.580 --> 00:01:55.580]  個個都很自我
[00:01:55.580 --> 00:02:02.580]  所以當Me Too一出,現在人人都Me Too
[00:02:02.580 --> 00:02:08.580]  但我都感謝神,因為最近我的十大新聞終於沒有我了
[00:02:08.580 --> 00:02:11.580]  因為有一個機構比我更嚴重
[00:02:11.580 --> 00:02:15.580]  所以他搶了第十位,將我推了下來,我都感謝主
[00:02:15.580 --> 00:02:18.580]  現在開始沒有人罵我了,感謝主
[00:02:18.580 --> 00:02:25.580]  因為我發覺我們這一代,究竟我們這一代說的話
[00:02:25.580 --> 00:02:29.580]  對於新一代,究竟他們怎樣去聽呢?
[00:02:29.580 --> 00:02:34.580]  所以很多人說我們這一代的牧者是「堅離地」
[00:02:34.580 --> 00:02:35.580]  大家明白嗎?「堅離地」
[00:02:35.580 --> 00:02:41.580]  即是說我們說話,你們這班人老套,還說不明白我們
[00:02:41.580 --> 00:02:45.580]  我都在想,究竟我們說話是不是真的不明白呢?
[00:02:45.580 --> 00:02:51.580]  我昨晚和師母去了女拔萃家長會去說話
[00:02:51.580 --> 00:02:54.580]  和一班女拔萃的家長,小學家長
[00:02:54.580 --> 00:02:57.580]  小學家長都不知道多少歲了
[00:02:57.580 --> 00:03:01.580]  我現在坐巴士已經過九了,坐車就一蚊
[00:03:01.580 --> 00:03:03.580]  和小學家長說話
[00:03:03.580 --> 00:03:08.580]  那些小孩子還在讀什麼呢?小學是吧?
[00:03:08.580 --> 00:03:10.580]  有幾年輕了
[00:03:10.580 --> 00:03:13.580]  我就在想,我昨晚和師父說的話,是否適合我們去聽呢?
[00:03:13.580 --> 00:03:17.580]  我們在說那些夫婦、親子,是否適合我們去聽呢?
[00:03:17.580 --> 00:03:19.580]  我們都不知道
