
[00:00:00.000 --> 00:00:03.760]  虎連平安 弟兄姊妹 春節快樂
[00:00:03.760 --> 00:00:08.520]  相信這一週大家的生活該是又開心又忙碌吧
[00:00:08.520 --> 00:00:10.480]  忙碌的其中一個原因呢
[00:00:10.480 --> 00:00:14.760]  可能就是趕急在春節搞個大掃除
[00:00:14.760 --> 00:00:19.080]  那大掃除真的是挺累的
[00:00:19.080 --> 00:00:21.840]  只是往往經過一番勞動之後
[00:00:21.840 --> 00:00:25.120]  看到家裏乾乾淨淨 歡人一心
[00:00:25.120 --> 00:00:27.640]  心裏也是挺開心的吧
[00:00:27.640 --> 00:00:33.320]  那現在我來邀請你一起把手放在你的胸前
[00:00:33.320 --> 00:00:35.280]  感受一下自己的心
[00:00:35.280 --> 00:00:40.120]  然後我們也碰碰我們的腦袋
[00:00:40.120 --> 00:00:44.280]  那過年除了家裏需要大掃除
[00:00:44.280 --> 00:00:48.000]  其實是不是也該爲我們的心思
[00:00:48.000 --> 00:00:50.640]  還有意念來個大掃除
[00:00:50.640 --> 00:00:52.400]  把垃圾扔掉
[00:00:52.400 --> 00:00:56.000]  或者把一些不好的東西就摔在地上
[00:00:56.000 --> 00:00:58.360]  不要它了
[00:00:58.360 --> 00:01:05.000]  今天想和大家看舊約創世紀所談的雅各的經歷
[00:01:05.000 --> 00:01:08.480]  看看神怎麼爲他的內心來個大掃除
[00:01:08.480 --> 00:01:13.040]  讓他摔掉 把舊我摔在地上
[00:01:13.040 --> 00:01:14.160]  摔掉舊我
[00:01:14.160 --> 00:01:17.440]  然後迎來新的人生
[00:01:17.440 --> 00:01:19.480]  對於雅各來說呢
[00:01:19.480 --> 00:01:26.960]  雅各河邊的一個晚上可以說是他的人生的一個分水嶺
[00:01:26.960 --> 00:01:29.840]  可是在那裏呢
[00:01:29.840 --> 00:01:32.680]  他經歷了一樁神祕事件
[00:01:32.680 --> 00:01:35.760]  可以說成爲他一生的轉捩點
[00:01:35.760 --> 00:01:39.080]  可是在談那個雅各事件之前呢
[00:01:39.080 --> 00:01:47.560]  我們先來看看雅各他在那個雅各事件之前經歷了一些什麼呢
[00:01:47.560 --> 00:01:51.880]  那雅各呢是以色列的老祖宗亞伯拉罕的兒子
[00:01:51.880 --> 00:01:53.800]  以撒的兒子
[00:01:53.800 --> 00:01:56.480]  就是說他是亞伯拉罕的孫兒
[00:01:56.480 --> 00:01:57.600]  他出生的時候呢
[00:01:57.600 --> 00:01:59.840]  他抓住哥哥的腳跟出來
[00:01:59.840 --> 00:02:01.960]  成了雙生子的老二
[00:02:01.960 --> 00:02:04.840]  後來又用套路奪取了哥哥
[00:02:04.840 --> 00:02:06.800]  姨嫂的長子名分
[00:02:06.800 --> 00:02:13.760]  再以詭計騙爸爸把長子該得的祝福給他
[00:02:13.760 --> 00:02:19.000]  後來各姨嫂知道就打算在爸爸死後就殺死弟弟
[00:02:19.000 --> 00:02:20.800]  那雅各聽到風聲害怕了
