
[00:00:00.000 --> 00:00:02.000]  我們講到信仰的發展
[00:00:02.000 --> 00:00:06.500]  是跟他的頭腦的發展很有關係的
[00:00:06.500 --> 00:00:08.800]  所以我們就平列了它
[00:00:08.800 --> 00:00:15.000]  你就用你們資料的表格
[00:00:15.000 --> 00:00:16.200]  你就會看到的了
[00:00:16.200 --> 00:00:17.700]  可以填什麼
[00:00:17.700 --> 00:00:22.800]  我們說他第一的發展就是很初期的
[00:00:22.800 --> 00:00:25.700]  是一種信念、信仰
[00:00:25.700 --> 00:00:30.500]  對外界一種不能夠分開自己還是別人
[00:00:30.500 --> 00:00:34.500]  很基本的信仰
[00:00:34.500 --> 00:00:41.000]  這個信就是他對於外面的環境很有安全感
[00:00:41.000 --> 00:00:45.200]  這個安全感就是primal faith
[00:00:45.200 --> 00:00:46.700]  看不看到的
[00:00:54.700 --> 00:00:57.000]  我們再下去就是
[00:00:57.000 --> 00:00:59.700]  在他兩歲到四歲的時候
[00:00:59.700 --> 00:01:01.200]  他有一個直覺
[00:01:01.200 --> 00:01:03.100]  他腦裡面的發展
[00:01:03.100 --> 00:01:05.100]  頭腦裡面的發展
[00:01:05.100 --> 00:01:12.100]  就是他思想是有形象的
[00:01:12.100 --> 00:01:13.500]  image
[00:01:13.500 --> 00:01:16.200]  他是會跟著別人的
[00:01:16.200 --> 00:01:17.100]  做事
[00:01:17.100 --> 00:01:18.300]  媽媽
[00:01:18.300 --> 00:01:20.800]  在現實的世界上
[00:01:20.800 --> 00:01:23.200]  有什麼他就會跟什麼
[00:01:23.200 --> 00:01:27.100]  他會有很多他自己的幻想
[00:01:27.100 --> 00:01:29.700]  在他的信仰的發展
[00:01:29.700 --> 00:01:34.100]  這個小朋友他現在是很直覺的
[00:01:34.100 --> 00:01:37.600]  還有會用自我中心做出發點
[00:01:37.600 --> 00:01:40.300]  這樣來信外面的環境
[00:01:40.300 --> 00:01:42.800]  所以你看到他
[00:01:42.800 --> 00:01:45.200]  你教他讀故事
[00:01:45.200 --> 00:01:49.600]  你給他很多的景象、物件
[00:01:49.600 --> 00:01:51.200]  或者儀式
[00:01:51.200 --> 00:01:53.400]  信仰裡面的禮儀
[00:01:53.400 --> 00:01:55.700]  他會吸收得很快
[00:01:55.700 --> 00:01:58.900]  這個成為了他很基本很基本
[00:01:58.900 --> 00:02:04.500]  一直建造他對信仰的塑造
[00:02:04.500 --> 00:02:05.900]  所以你帶他
[00:02:05.900 --> 00:02:10.000]  很小的時候常常帶他去上香
[00:02:10.000 --> 00:02:11.900]  或者去拜菩薩
[00:02:11.900 --> 00:02:16.500]  還有你小時候跟他去上主教學
[00:02:16.500 --> 00:02:18.000]  參加崇拜
[00:02:18.000 --> 00:02:20.700]  對他來說沒有什麼分別
[00:02:20.700 --> 00:02:23.400]  因為他在吸收這些
[00:02:23.400 --> 00:02:25.300]  他不知道基督是怎樣
[00:02:25.300 --> 00:02:31.100]  他就是一直在吸收外界給他的影響
[00:02:31.100 --> 00:02:35.200]  所以一個人如果他很多年來
[00:02:35.200 --> 00:02:40.800]  都是在另外一個儀式的信仰宗教裡面長大
[00:02:40.800 --> 00:02:43.400]  他一下子信基督
[00:02:43.400 --> 00:02:46.100]  他有很多東西都要轉的
[00:02:46.100 --> 00:02:48.900]  他裡面很多東西都要轉的
[00:02:48.900 --> 00:02:51.100]  我們下到來
[00:02:51.100 --> 00:02:53.400]  五歲到七歲
[00:02:53.400 --> 00:02:57.000]  他裡面頭腦的發展就是
[00:02:57.000 --> 00:03:01.200]  他慢慢會有很多邏輯的思維
[00:03:01.200 --> 00:03:05.800]  還有他知道外面那張椅子是椅子
[00:03:05.800 --> 00:03:08.400]  所以他看到那些小豬有三顆
[00:03:08.400 --> 00:03:10.200]  他就可以做加數
[00:03:10.200 --> 00:03:12.700]  他看不到他做不到加數
[00:03:12.700 --> 00:03:14.100]  他不懂得代數
[00:03:14.100 --> 00:03:16.700]  代數是一種意念
[00:03:16.700 --> 00:03:18.200]  他加減
[00:03:18.200 --> 00:03:21.100]  他數手指
[00:03:21.100 --> 00:03:26.200]  所以他的思維的做作
[00:03:26.200 --> 00:03:28.500]  全部都是很具體的
[00:03:28.500 --> 00:03:30.500]  concrete 具體的
[00:03:30.500 --> 00:03:32.700]  讓他看到一個一個
[00:03:32.700 --> 00:03:33.900]  一隻一隻豬
