
[00:00:00.000 --> 00:00:05.740]  好在去年有一個牧師叫恰克比爾斯牧師
[00:00:05.740 --> 00:00:07.740]  他有先知性的恩賜
[00:00:07.740 --> 00:00:13.440]  他就說臺灣在未來的兩年
[00:00:13.440 --> 00:00:15.440]  怎要把臺灣舉起來
[00:00:15.440 --> 00:00:20.340]  對臺灣是個很大的祝福
[00:00:20.340 --> 00:00:25.540]  然後在今年三月的時候
[00:00:25.540 --> 00:00:28.040]  有一個佐治阿多乃牧師
[00:00:28.040 --> 00:00:30.040]  從國外來
[00:00:30.040 --> 00:00:33.260]  他也是一個有先知性恩賜的人
[00:00:33.260 --> 00:00:38.040]  他就說在末世
[00:00:38.040 --> 00:00:42.040]  末世是從耶穌基督降生開始
[00:00:42.040 --> 00:00:44.040]  整個世界進入末世
[00:00:44.040 --> 00:00:50.540]  然後末世到現在已經是上半場結束了
[00:00:50.540 --> 00:00:52.540]  要進入下半場
[00:00:52.540 --> 00:00:54.040]  那為什麼這樣說呢
[00:00:54.040 --> 00:00:59.040]  是因為從今年開始有四次的月蝕
[00:00:59.040 --> 00:01:03.040]  那這四次的月蝕都在猶太的節期發生
[00:01:03.040 --> 00:01:08.040]  那這月蝕會有一個現象是月亮要變成紅色
[00:01:08.040 --> 00:01:11.040]  那就應驗了約爾蘇說
[00:01:11.040 --> 00:01:15.040]  末日就那大而可畏的日子來到的時候
[00:01:15.040 --> 00:01:18.040]  月亮要像雪一樣
[00:01:18.040 --> 00:01:20.040]  我們就稱作雪月亮
[00:01:20.040 --> 00:01:23.540]  那這個事情就經過美國太空總署
[00:01:23.540 --> 00:01:27.040]  證實就是有這種天象的變化
[00:01:27.040 --> 00:01:30.040]  那所以這個佐治牧師就禱告神說
[00:01:30.040 --> 00:01:32.040]  那這什麼意思呢
[00:01:32.040 --> 00:01:33.540]  神就告訴他說
[00:01:33.540 --> 00:01:38.040]  這就是末世要進入下半場的記號
[00:01:38.040 --> 00:01:42.040]  那結果今年不是世俗賽在比賽嗎
[00:01:42.040 --> 00:01:46.540]  那所以足球變成一個很流行的話題
[00:01:46.540 --> 00:01:48.540]  所以這佐治牧師呢
[00:01:48.540 --> 00:01:51.540]  聖靈就跟他說撒加利亞書八章二十三節
[00:01:51.540 --> 00:01:54.540]  那裡就講到說在末日的時候
[00:01:54.540 --> 00:01:56.540]  一個特別的現象會發生
[00:01:56.540 --> 00:02:02.540]  就是有十國的人民會來抓住一個猶太人的伊金
[00:02:02.540 --> 00:02:05.540]  跟他說帶我們同去
[00:02:05.540 --> 00:02:09.540]  因為你們那裡有神跟你們同在
[00:02:09.540 --> 00:02:11.540]  所以就是呢
[00:02:11.540 --> 00:02:16.540]  那這個十國加上猶太以色列國就變成十一國
[00:02:16.540 --> 00:02:21.040]  那這十一國剛好組成一個足球隊
[00:02:21.040 --> 00:02:23.540]  因為一個足球隊就是十一個人
[00:02:23.540 --> 00:02:26.540]  那他說聖靈就告訴他就是
[00:02:26.540 --> 00:02:29.540]  末世的賽局如果是一場足球賽
[00:02:29.540 --> 00:02:32.040]  就從上半場要進入下半場
[00:02:32.040 --> 00:02:34.540]  那上半場的足球員是誰呢
[00:02:34.540 --> 00:02:38.540]  就是歐洲跟美洲 歐美人士
[00:02:38.540 --> 00:02:43.540]  但是下半場就是亞洲人的時代要開啟了
[00:02:43.540 --> 00:02:45.040]  那然後他就問神說
[00:02:45.040 --> 00:02:47.540]  那麼這十國的哪十國
[00:02:47.540 --> 00:02:51.040]  神就啟示他說先告訴你五個國家
[00:02:51.040 --> 00:02:53.040]  這五個國家是哪五個國家呢
[00:02:53.040 --> 00:02:55.040]  就五個筷子國
[00:02:55.040 --> 00:02:57.040]  就是五個拿筷子的國家
[00:02:57.040 --> 00:02:59.040]  五個拿筷子的國家是哪五國呢
[00:02:59.040 --> 00:03:01.040]  就是中國 日本 韓國
[00:03:01.040 --> 00:03:05.040]  那還有加上新加坡 還有台灣
[00:03:05.040 --> 00:03:11.040]  那他這些都有聖經根據
[00:03:11.040 --> 00:03:14.040]  那這五個筷子國呢
[00:03:14.040 --> 00:03:18.040]  就是本來都應該是基督化的國家
[00:03:18.040 --> 00:03:21.040]  但是就是因為撒旦知道說
[00:03:21.040 --> 00:03:23.040]  在這末世的下半場
[00:03:23.040 --> 00:03:25.040]  神要重用這五個國家
[00:03:25.040 --> 00:03:28.040]  所以就有很多的偷竊 殺害跟毀壞
[00:03:28.040 --> 00:03:31.040]  在這些國家發生
[00:03:31.040 --> 00:03:34.040]  那從什麼時候開始發生呢
[00:03:34.040 --> 00:03:37.040]  從1894年開始
[00:03:37.040 --> 00:03:41.040]  那你要知道1894年在台灣發生什麼事情
[00:03:41.040 --> 00:03:45.040]  就是日本人跟中國戰爭
[00:03:45.040 --> 00:03:49.040]  然後1895年台灣就割讓給日本
[00:03:49.040 --> 00:03:54.040]  你看撒旦就是要偷竊殺害毀壞台灣的命定
[00:03:54.040 --> 00:03:58.040]  讓台灣不能進入神的心意當中
[00:03:58.040 --> 00:04:02.040]  所以讓台灣就一個孤兒的靈
[00:04:02.040 --> 00:04:04.040]  剛剛明學說他有孤兒的靈在裡面
[00:04:04.040 --> 00:04:07.040]  就一個孤兒的靈就綁架住整個台灣
[00:04:07.040 --> 00:04:11.040]  所以其實在台灣人
[00:04:11.040 --> 00:04:15.040]  不管哪一個種族都有孤兒的靈
[00:04:15.040 --> 00:04:18.040]  因為呢像我是外省人
[00:04:18.040 --> 00:04:22.040]  但是我從小就是台灣人不愛
[00:04:22.040 --> 00:04:26.040]  外省人不接納的人
[00:04:26.040 --> 00:04:30.040]  就是台灣外省人看你是台灣人
[00:04:30.040 --> 00:04:32.040]  台灣人看你是外省人
[00:04:32.040 --> 00:04:36.040]  然後一天到晚我就必須靠著跟別人打架
[00:04:36.040 --> 00:04:38.040]  來生存下去
[00:04:38.040 --> 00:04:42.040]  就是活在那種年代裡面
[00:04:42.040 --> 00:04:46.040]  就是那個歧視很深的年代
[00:04:46.040 --> 00:04:49.040]  那是你們這個世代的人不能理解
[00:04:49.040 --> 00:04:54.040]  我們小時候那種省籍情結
[00:04:54.040 --> 00:04:58.040]  因為我的家是一個外省人家庭
[00:04:58.040 --> 00:05:02.040]  住在一個本省人的環境當中
[00:05:02.040 --> 00:05:07.040]  就有很多的問題在我小時候
[00:05:07.040 --> 00:05:12.040]  在我的童年當中發生
[00:05:12.040 --> 00:05:18.040]  那所以台灣是一個被竊奪的
[00:05:18.040 --> 00:05:21.040]  所以這個佐治牧師就
[00:05:21.040 --> 00:05:25.040]  所以台灣呢就因為日本佔據了台灣
[00:05:25.040 --> 00:05:31.040]  那日本人不准台灣人做很多很多的活動
[00:05:31.040 --> 00:05:33.040]  那但是呢
[00:05:33.040 --> 00:05:36.040]  他就對台灣人產生一個愚民的政策
[00:05:36.040 --> 00:05:39.040]  就讓台灣人崇拜偶像
[00:05:39.040 --> 00:05:41.040]  所以台灣人去拜偶像他們不管
[00:05:41.040 --> 00:05:49.040]  所以台灣的偶像崇拜的文化是非常的厲害的
[00:05:49.040 --> 00:05:52.040]  非常非常厲害的
[00:05:52.040 --> 00:05:55.040]  那一直到現在你只要在中元季
[00:05:55.040 --> 00:06:00.040]  你到我們的那個愛三路那條街上
[00:06:00.040 --> 00:06:05.040]  你會看家家戶戶就擺出那個拜拜的東西出來
[00:06:05.040 --> 00:06:06.040]  每個商店都擺出來
[00:06:06.040 --> 00:06:12.040]  整條街就是那個二氧化碳充滿著香煙繚繞
[00:06:12.040 --> 00:06:15.040]  到現在仍然是這個光景
[00:06:15.040 --> 00:06:16.040]  所以這個佐治牧師說
[00:06:16.040 --> 00:06:20.040]  台灣是神要興起的要祝福的
[00:06:20.040 --> 00:06:24.040]  那要進入這末世的賽局
[00:06:24.040 --> 00:06:28.040]  2014跟2015是關鍵的兩年
[00:06:28.040 --> 00:06:33.040]  就看我們台灣的人認不認真要進入
[00:06:33.040 --> 00:06:37.040]  如果台灣在這兩年不認真進入的話
[00:06:37.040 --> 00:06:39.040]  我們就會出局
[00:06:39.040 --> 00:06:43.040]  所以雖然神已經命定我們要進入這場賽局
[00:06:43.040 --> 00:06:45.040]  但是你能不能完成這個賽局
[00:06:45.040 --> 00:06:52.040]  要看我們肯不肯抓住這個命定
[00:06:52.040 --> 00:06:54.040]  所以很感謝神
[00:06:54.040 --> 00:06:58.040]  就是這兩個先知式的牧師都預告
[00:06:58.040 --> 00:07:00.040]  台灣要進入一個新的季節
[00:07:00.040 --> 00:07:02.040]  新的時代要來臨
[00:07:02.040 --> 00:07:05.040]  那但是神其實也啟示我們這些傳道童工
[00:07:05.040 --> 00:07:07.040]  給我們看見一個意象
[00:07:07.040 --> 00:07:10.040]  什麼意象是我們本堂的青少年
[00:07:10.040 --> 00:07:14.040]  要奪奴天上的星海邊的沙
[00:07:14.040 --> 00:07:16.040]  所以本堂的青少年呢
[00:07:16.040 --> 00:07:19.040]  其實也是要進入一個新的季節
[00:07:19.040 --> 00:07:23.040]  我們不再是少數的青少年在教會
[00:07:23.040 --> 00:07:27.040]  我們要成為多數的人在教會
[00:07:27.040 --> 00:07:30.040]  要增長奴天上的星海邊的沙
[00:07:30.040 --> 00:07:34.040]  這是我第一次跟你們這樣說
[00:07:34.040 --> 00:07:36.040]  我相信神的話也會成就
[00:07:36.040 --> 00:07:40.040]  但是就要看我們認不認真來接受
[00:07:40.040 --> 00:07:47.040]  相信神對我們本堂青少年有這樣子的應許
[00:07:47.040 --> 00:07:52.040]  如果我們相信祂就會成就
[00:07:52.040 --> 00:07:54.040]  那所以呢
[00:07:54.040 --> 00:07:59.040]  自從去年我們參加台灣回家的聚會
[00:07:59.040 --> 00:08:01.040]  然後這些牧師就這樣預告
[00:08:01.040 --> 00:08:03.040]  然後他們就預告說
[00:08:03.040 --> 00:08:07.040]  神要興起青少年約書亞的世代
[00:08:07.040 --> 00:08:08.040]  然後呢
[00:08:08.040 --> 00:08:11.040]  興起這約書亞的世代就要有新的敬拜
[00:08:11.040 --> 00:08:13.040]  新的禱告的恩高要進來
[00:08:13.040 --> 00:08:17.040]  可是我們就不知道該怎麼辦來進入
[00:08:17.040 --> 00:08:20.040]  感謝主神就差了加拿大艾斯特牧師
[00:08:20.040 --> 00:08:23.040]  來帶領我們給我們訓練
[00:08:23.040 --> 00:08:27.040]  要帶領我們進入一個新的敬拜的領域
[00:08:27.040 --> 00:08:30.040]  新的禱告的領域
[00:08:30.040 --> 00:08:34.040]  那我認識這艾斯特牧師也是很奇特的
