
[00:00:00.000 --> 00:00:03.580]  教會這一季的講道題目是
[00:00:03.580 --> 00:00:09.020]  「傳言愛主又愛人」雅各書的研讀
[00:00:09.020 --> 00:00:12.640]  到今天是最後一章
[00:00:12.640 --> 00:00:14.940]  不知道大家還記不記得
[00:00:14.940 --> 00:00:16.860]  過去幾章的內容
[00:00:16.860 --> 00:00:20.980]  我在這裡很簡單和大家做個總結
[00:00:20.980 --> 00:00:23.200]  雅各書的教導很豐富
[00:00:23.200 --> 00:00:26.220]  牽涉的範圍也很廣泛
[00:00:26.220 --> 00:00:28.420]  有個人靈命的提醒
[00:00:28.420 --> 00:00:31.820]  好像在試煉裡要有喜樂
[00:00:31.820 --> 00:00:34.680]  求智慧去忍受試探
[00:00:34.680 --> 00:00:38.080]  行道不要單單聽道
[00:00:38.080 --> 00:00:41.560]  因為沒有行為的信心是死的
[00:00:41.560 --> 00:00:44.800]  我們要虔誠過日
[00:00:44.800 --> 00:00:48.820]  小心話語上有過失
[00:00:48.820 --> 00:00:51.980]  保守自己不沾染世俗
[00:00:51.980 --> 00:00:53.360]  要愛人如己
[00:00:53.360 --> 00:00:55.460]  不要偏心待人
[00:00:55.460 --> 00:01:00.080]  在患難裡要看顧孤兒寡婦
[00:01:00.080 --> 00:01:03.240]  不要被別人批評
[00:01:03.240 --> 00:01:05.960]  對於富足的人要小心
[00:01:05.960 --> 00:01:08.040]  不要依靠財物
[00:01:08.040 --> 00:01:11.040]  世上不是只有幸福
[00:01:11.040 --> 00:01:15.300]  到頭來上帝必有審判
[00:01:15.300 --> 00:01:18.360]  我們一起禱告
[00:01:18.360 --> 00:01:21.500]  七因主強尼的靈與我們同在
[00:01:21.500 --> 00:01:24.900]  幫助我們去明白聖經的說話
[00:01:24.900 --> 00:01:29.340]  特別看到雅各書很豐富的教導
[00:01:29.340 --> 00:01:30.540]  我們知道
[00:01:30.540 --> 00:01:33.800]  就這樣去聽可能比較沉重
[00:01:33.800 --> 00:01:37.000]  但是如果我們是屬於一個屬靈群體
[00:01:37.000 --> 00:01:39.880]  有祢在當中去幫助的話
[00:01:39.880 --> 00:01:42.340]  我們相信雅各書的教導
[00:01:42.340 --> 00:01:46.980]  當堂可以讓我們的靈命更新過來
[00:01:46.980 --> 00:01:48.440]  求主引領我們
[00:01:48.440 --> 00:01:49.800]  聽我們這樣禱告
[00:01:49.800 --> 00:01:53.800]  奉耶穌基督的聖名祈求
[00:01:53.800 --> 00:02:00.040]  的確是雅各書有很多教訓
[00:02:00.040 --> 00:02:02.740]  好像是很多的do's and don'ts
[00:02:02.740 --> 00:02:07.640]  可以做不可以做什麼
[00:02:07.640 --> 00:02:09.580]  有些人我聽過說
[00:02:09.580 --> 00:02:11.140]  他不相信耶穌
[00:02:11.140 --> 00:02:14.980]  是因為覺得基督教有很多這些規條
[00:02:14.980 --> 00:02:17.140]  可以做什麼 不可以做什麼
[00:02:17.140 --> 00:02:20.180]  有些事情是想都不想的
[00:02:20.180 --> 00:02:23.700]  我們是不是都這樣看聖經呢
[00:02:23.700 --> 00:02:25.440]  其實聖經的教導
[00:02:25.440 --> 00:02:29.040]  從來都不是停在字面
[00:02:29.040 --> 00:02:31.580]  do's or don'ts上
[00:02:31.580 --> 00:02:33.980]  今天我們嘗試藉著
[00:02:33.980 --> 00:02:36.840]  雅各書第五章最後的部分
[00:02:36.840 --> 00:02:38.840]  去了解一下
[00:02:38.840 --> 00:02:43.040]  聖經給我們更加深的意思
[00:02:43.040 --> 00:02:45.940]  首先說說作者
[00:02:45.940 --> 00:02:47.840]  大家知道雅各
[00:02:47.840 --> 00:02:50.340]  我們相信或者傳統上都認為
[00:02:50.340 --> 00:02:53.180]  他是屬於耶穌基督的兄弟
[00:02:53.180 --> 00:02:56.980]  他在耶路撒冷城作教會領袖
[00:02:56.980 --> 00:02:58.280]  三十多年
[00:02:58.280 --> 00:02:59.880]  作為領袖
[00:02:59.880 --> 00:03:02.980]  他的關注
[00:03:02.980 --> 00:03:08.080]  不只是聖經說要什麼不要什麼
[00:03:08.080 --> 00:03:09.480]  做什麼不做什麼
[00:03:09.480 --> 00:03:11.980]  他更加會關注到弟兄姊妹
[00:03:11.980 --> 00:03:14.080]  這個信仰群體
[00:03:14.080 --> 00:03:17.980]  怎樣在這些教導裡面可以成熟
[00:03:17.980 --> 00:03:20.580]  很靠近的
[00:03:20.580 --> 00:03:23.080]  有時候有很多個人的問題
[00:03:23.080 --> 00:03:24.680]  他要去處理
[00:03:24.680 --> 00:03:29.080]  弟兄姊妹相處方面發生問題
[00:03:29.080 --> 00:03:30.680]  他又要去處理
[00:03:30.680 --> 00:03:33.780]  甚至很多世俗的思想
[00:03:33.780 --> 00:03:35.380]  滲入了教會
[00:03:35.380 --> 00:03:38.080]  雅各作為教會領袖
[00:03:38.080 --> 00:03:40.480]  必然要去處理
[00:03:40.480 --> 00:03:42.880]  這個教會群體
[00:03:42.880 --> 00:03:46.180]  是雅各所關注的
[00:03:46.180 --> 00:03:48.280]  所以在這個大前提下
[00:03:48.280 --> 00:03:49.680]  他的教訓
[00:03:49.680 --> 00:03:54.280]  其實也是幫助信徒去建立
[00:03:54.280 --> 00:03:58.780]  或者更新這個屬靈群體
[00:03:58.780 --> 00:04:00.880]  不要變成了律法主義
[00:04:00.880 --> 00:04:05.080]  以為跟著這些的解命去做
[00:04:05.080 --> 00:04:07.380]  你就有一個好的信徒
[00:04:07.380 --> 00:04:08.880]  這些就是當日耶穌基督
[00:04:08.880 --> 00:04:13.080]  去責備法利賽人的原因
[00:04:13.080 --> 00:04:17.880]  聖經不只是一大堆的
[00:04:17.880 --> 00:04:21.180]  do's and don'ts 要做什麼不做什麼
[00:04:21.180 --> 00:04:24.880]  聖經的核心是耶穌基督的救恩
[00:04:24.880 --> 00:04:28.880]  我們接受耶穌基督救恩的信徒
[00:04:28.880 --> 00:04:30.880]  在行事為人上
[00:04:30.880 --> 00:04:32.680]  怎樣去表現出來呢?
[00:04:32.680 --> 00:04:34.580]  就要跟我們蒙恩
[00:04:34.580 --> 00:04:37.080]  蒙召的恩相稱
[00:04:37.080 --> 00:04:39.480]  所以這是一個基礎
[00:04:39.480 --> 00:04:43.880]  這些教導最重要的目的
