
[00:00:00.000 --> 00:00:02.240]  今日很高興可以和你們分享這個題目
[00:00:02.240 --> 00:00:03.760]  叫做「與神共舞」
[00:00:03.760 --> 00:00:06.840]  我們未開始之前先做個禱告
[00:00:06.840 --> 00:00:10.240]  求神祝福我們今天以下的時間
[00:00:10.240 --> 00:00:11.880]  將來感謝祢讓我們有機會
[00:00:11.880 --> 00:00:13.280]  我們從祢的話語裏面
[00:00:13.280 --> 00:00:15.800]  我們彼此的鼓勵、彼此的學習
[00:00:15.800 --> 00:00:20.320]  我們如何有一個專一的心
[00:00:20.320 --> 00:00:24.000]  來到祢的面前敬拜和侍奉祢
[00:00:24.000 --> 00:00:26.800]  將來求祢打開我們心靈的眼睛
[00:00:26.800 --> 00:00:29.560]  讓我們真正了解到
[00:00:29.560 --> 00:00:31.720]  為何我們每一個星期
[00:00:31.720 --> 00:00:34.160]  都要集合在一起
[00:00:34.160 --> 00:00:37.440]  去集體的敬拜和侍奉祢
[00:00:37.440 --> 00:00:39.680]  讓我們明白祢的真理之後
[00:00:39.680 --> 00:00:42.840]  我們就將祢的真理
[00:00:42.840 --> 00:00:46.320]  將祢教導給我們的真理
[00:00:46.320 --> 00:00:48.680]  我們可以在日常的生活裏面
[00:00:48.680 --> 00:00:50.560]  我們可以實行出來
[00:00:50.560 --> 00:00:52.640]  我們可以榮神益人
[00:00:52.640 --> 00:00:53.880]  成為多人的祝福
[00:00:53.880 --> 00:00:54.960]  我們這樣祈禱
[00:00:54.960 --> 00:00:57.120]  奉靠主耶穌基督永持以求
[00:00:57.120 --> 00:00:58.720]  Amen
[00:00:58.720 --> 00:01:02.560]  今天其實是講到敬拜
[00:01:02.560 --> 00:01:03.920]  為何我們每一個星期
[00:01:03.920 --> 00:01:06.160]  要回來一起敬拜呢?
[00:01:06.160 --> 00:01:08.240]  為何我們要在敬拜裏面
[00:01:08.240 --> 00:01:10.600]  有奉獻、有禱告
[00:01:10.600 --> 00:01:14.720]  有讀經、有聽道理等等
[00:01:14.720 --> 00:01:17.400]  其實每一個星期回來
[00:01:17.400 --> 00:01:21.920]  有一個很高興的時間
[00:01:21.920 --> 00:01:23.920]  我們又見到弟兄姊妹
[00:01:23.920 --> 00:01:25.800]  除了在小組裏面見
[00:01:25.800 --> 00:01:29.080]  在這裏我們可以一同唱歌
[00:01:29.080 --> 00:01:30.200]  一同敬拜
[00:01:30.200 --> 00:01:31.600]  是很開心的一回事
[00:01:31.600 --> 00:01:35.320]  所以我利用以下三十秒的時間
[00:01:35.320 --> 00:01:39.560]  希望你們和周圍的隔壁的人
[00:01:39.560 --> 00:01:41.600]  大約四、五個人
[00:01:41.600 --> 00:01:43.280]  和他們打個招呼
[00:01:43.280 --> 00:01:45.080]  問問他們
[00:01:45.080 --> 00:01:48.840]  和他們說「我今天很開心,你在我旁邊」
[00:01:48.840 --> 00:01:50.600]  你會發覺打了招呼之後
[00:01:50.600 --> 00:01:52.080]  氣氛不一樣
[00:01:52.080 --> 00:01:53.480]  和你的感覺很好
[00:01:53.480 --> 00:01:56.360]  我們每一次回來
[00:01:56.360 --> 00:02:01.760]  周圍都被一些愛主的弟兄姊妹、朋友圍繞著
[00:02:01.760 --> 00:02:03.280]  感覺非常好
[00:02:03.280 --> 00:02:05.440]  其實神做人
[00:02:05.440 --> 00:02:09.160]  放在我們心裏面的一個需要
[00:02:09.160 --> 00:02:13.080]  就是我們需要大家彼此來幫助
[00:02:13.080 --> 00:02:14.320]  彼此來扶持
[00:02:14.320 --> 00:02:16.560]  今天我們就講到「與神共舞」
[00:02:16.560 --> 00:02:20.440]  就是講到如何我們在敬拜裏面
[00:02:20.440 --> 00:02:21.720]  用不同的方式
[00:02:21.720 --> 00:02:24.600]  我們向神表達我們對祂的愛
