
[00:00:00.000 --> 00:00:02.960]  好 大興師傅 讓我們在聆聽主的說話
[00:00:02.960 --> 00:00:07.240]  以先我們再次同心低頭禱告 仰望愛主我們的誓
[00:00:07.240 --> 00:00:12.960]  慈悲的天父 多隨你 讓我們可以打開你寶貴的說話
[00:00:12.960 --> 00:00:18.400]  讓我們再一次去看上帝你的作為
[00:00:18.400 --> 00:00:23.200]  並且上帝你是怎樣在這個世界當中
[00:00:23.200 --> 00:00:29.400]  去參與在很多人間裡面的活動
[00:00:30.120 --> 00:00:34.480]  而神的指紋亦都怎樣在當中去配搭
[00:00:34.480 --> 00:00:39.800]  求你給我們每一個屬你的指紋都透過你的經文
[00:00:39.800 --> 00:00:44.680]  重新擔當起我們在這個的人生
[00:00:44.680 --> 00:00:47.440]  生命生活的過程裡面
[00:00:47.440 --> 00:00:52.160]  去怎樣進上上帝你所交託的委託
[00:00:52.160 --> 00:00:56.720]  我們同心的禱告 奉靠主耶穌基督
[00:00:56.720 --> 00:00:58.960]  得聖的名字而求
[00:00:59.480 --> 00:01:00.040]  阿門
[00:01:00.040 --> 00:01:06.040]  最近我看了一個YouTube短片很有意思
[00:01:06.040 --> 00:01:12.520]  就是來自於一個網絡或者基督教的群體
[00:01:12.520 --> 00:01:17.160]  叫做Gospel Coalition的一個講道
[00:01:17.160 --> 00:01:22.960]  其中有一位講員他就做了一個這樣的運動
[00:01:22.960 --> 00:01:26.960]  做了一個這樣的運作練習
[00:01:26.960 --> 00:01:30.200]  他就走去用ChatGPT
[00:01:30.200 --> 00:01:32.560]  有沒有人用ChatGPT
[00:01:32.560 --> 00:01:36.800]  我用過幾次
[00:01:36.800 --> 00:01:39.320]  都很嚇人我發覺
[00:01:39.320 --> 00:01:41.840]  很多東西你都猜不到
[00:01:41.840 --> 00:01:47.240]  尤其是他做出來的圖片聲音真是很真
[00:01:47.240 --> 00:01:50.440]  這位牧者在講道裡面
[00:01:50.440 --> 00:01:56.680]  他就打進去ChatGP這個人工智慧裡面
[00:01:56.680 --> 00:01:58.440]  就這樣跟他說
[00:01:58.440 --> 00:02:06.320]  他說ChatGPT請你為我預備一篇讚美的討論
[00:02:06.320 --> 00:02:12.680]  我要求要用一位我們很熟悉的牧者
[00:02:12.680 --> 00:02:16.880]  叫做D.A. Carson他的用字用詞
[00:02:16.880 --> 00:02:22.520]  來去讚美這位上主那份創造的榮美
[00:02:22.520 --> 00:02:25.800]  以及我們對他的傳言維新
[00:02:26.880 --> 00:02:30.800]  接著他打完之後按Enter輸入
[00:02:30.800 --> 00:02:33.960]  不用一分鐘之後
[00:02:33.960 --> 00:02:37.320]  就不用一秒鐘了應該不是一分鐘
[00:02:37.320 --> 00:02:38.840]  不用一秒鐘之後
[00:02:38.840 --> 00:02:41.240]  那篇的討論就出來了
[00:02:41.240 --> 00:02:46.040]  那篇的討論是這樣的內容
[00:02:46.040 --> 00:02:49.360]  他說我們親愛的天父
[00:02:49.360 --> 00:02:55.160]  感謝你能夠讓到我可以在你面前有生命生活
[00:02:55.640 --> 00:02:59.840]  能夠在你當中活著是我一份光榮
[00:02:59.840 --> 00:03:05.440]  而上帝請你越立我在你面前的侍奉
[00:03:05.440 --> 00:03:08.760]  看見你行事的特色
[00:03:08.760 --> 00:03:12.360]  你的大能大力如何在我的當中
[00:03:12.360 --> 00:03:15.600]  以及人群裡面去見證出來
[00:03:15.600 --> 00:03:18.640]  並且使用我在當中的信復
[00:03:18.640 --> 00:03:24.240]  能夠讓人看見信復上帝是何等的榮美的一件事
[00:03:24.640 --> 00:03:27.440]  但願所有的以色列民
[00:03:27.440 --> 00:03:32.200]  以及今天的基督徒都能夠重新認識
[00:03:32.200 --> 00:03:37.080]  這位創始承宗在這個世界掌管大地
[00:03:37.080 --> 00:03:40.000]  充滿大能大力的上帝
[00:03:40.000 --> 00:03:43.280]  願意你的榮美永遠長存
[00:03:43.280 --> 00:03:46.960]  我們的禱告完全獻在你的面前
[00:03:46.960 --> 00:03:49.800]  奉靠主耶穌基督
[00:03:49.800 --> 00:03:51.800]  得聖明治義求
[00:03:51.800 --> 00:03:53.000]  阿們
[00:03:54.640 --> 00:03:58.280]  接著他問了一條問題
[00:03:58.280 --> 00:04:07.160]  這篇是否真正讚美上帝的禱告呢
[00:04:07.160 --> 00:04:15.040]  他的答案是
[00:04:15.040 --> 00:04:17.040]  不是
[00:04:19.760 --> 00:04:25.440]  因為這個是由ChatGPT所塑造出來
[00:04:25.440 --> 00:04:28.800]  根據各式各樣的條件
[00:04:28.800 --> 00:04:30.440]  你規限了它出來
[00:04:30.440 --> 00:04:33.720]  製造出來的美麗的詞彙
[00:04:33.720 --> 00:04:37.120]  而今天
[00:04:37.120 --> 00:04:41.080]  很多的信徒活在教會裡面
[00:04:41.080 --> 00:04:46.480]  學的就是如何構造這套這麼漂亮的詞彙
[00:04:47.720 --> 00:04:55.040]  而不是構造一個真正向上帝仰望的敬乾的生命
[00:04:55.040 --> 00:04:58.560]  但是在教會裡面
[00:04:58.560 --> 00:04:59.880]  如果有任何一個人
[00:04:59.880 --> 00:05:03.360]  好像上述那篇的圖文一樣講述的時候
[00:05:03.360 --> 00:05:07.800]  你的回應一定會讚歎不已
[00:05:07.800 --> 00:05:11.720]  而在上個星期裡面
[00:05:11.720 --> 00:05:13.800]  我們剛剛所看完的
[00:05:13.800 --> 00:05:18.800]  彈爾里書的第四章的開始
[00:05:18.800 --> 00:05:21.560]  尼布加利薩王就做了一篇
[00:05:21.560 --> 00:05:29.200]  同樣好像ChatGPT一樣的一個宣告
[00:05:29.200 --> 00:05:31.320]  用字用詞
[00:05:31.320 --> 00:05:33.840]  非常漂亮宏偉
[00:05:33.840 --> 00:05:39.000]  但是沒有實質的生命在當中
[00:05:39.000 --> 00:05:42.720]  明白上帝是整存的怎樣的威神
[00:05:42.720 --> 00:05:46.920]  或許他可能已經比先前好很多了
[00:05:46.920 --> 00:05:49.480]  但是如果來到這段聖經
[00:05:49.480 --> 00:05:52.440]  我們以為他已經信了主
[00:05:52.440 --> 00:05:55.200]  得著了永恆生命的時候
[00:05:55.200 --> 00:05:56.440]  我可以告訴你
[00:05:56.440 --> 00:06:02.240]  他還距離得救的門檻很遠
[00:06:02.240 --> 00:06:05.240]  上帝不想失落一個
[00:06:05.240 --> 00:06:10.000]  他真的可以有機會去認識他的人
