
[00:00:00.000 --> 00:00:04.020]  今天繼續和大家思想到菲律賓書第八講
[00:00:04.020 --> 00:00:07.720]  要一生經歷基督復活的大能
[00:00:07.720 --> 00:00:10.540]  保羅寫菲律賓書的時候已經在坐牢
[00:00:10.540 --> 00:00:12.140]  有點生死未卜
[00:00:12.140 --> 00:00:14.400]  都是相對年長的時期
[00:00:14.400 --> 00:00:17.160]  但在今天經文去到菲律賓書第三章
[00:00:17.160 --> 00:00:20.240]  他是一個非常熱切侍奉主的心
[00:00:20.240 --> 00:00:22.600]  仍然是一個拼力去侍奉主
[00:00:22.600 --> 00:00:24.140]  拼力去認識耶穌
[00:00:24.140 --> 00:00:27.640]  拼力去經歷基督的復活大能的生命
[00:00:27.640 --> 00:00:29.720]  我們在人生不同的光景裏面
[00:00:29.720 --> 00:00:31.300]  有沒有這個心志呢?
[00:00:31.300 --> 00:00:33.500]  就是過去的我曾經有侍奉的
[00:00:33.500 --> 00:00:34.900]  有經歷的不足
[00:00:34.900 --> 00:00:37.900]  我仍然很希望經歷主這個復活大能
[00:00:37.900 --> 00:00:39.020]  輪到自己
[00:00:39.020 --> 00:00:40.740]  輪到其他人身上
[00:00:40.740 --> 00:00:44.000]  我們在今天經文第三章第八到十四節
[00:00:44.000 --> 00:00:45.140]  我讀雙數節
[00:00:45.140 --> 00:00:47.380]  請弟兄姐妹讀單數節
[00:00:47.380 --> 00:00:48.560]  不但如此
[00:00:48.560 --> 00:00:51.240]  我也將萬事當作有損的
[00:00:51.240 --> 00:00:54.800]  因我以認識我主基督耶穌爲至寶
[00:00:54.800 --> 00:00:57.160]  我爲他以經雕器萬事
[00:00:57.160 --> 00:01:00.120]  漢族奮鬥爲要得着基督
[00:01:00.120 --> 00:01:11.040]  (廣東話)
[00:01:11.040 --> 00:01:12.680]  使我認識基督
[00:01:12.680 --> 00:01:14.360]  曉得他復活的大能
[00:01:14.360 --> 00:01:16.760]  並且曉得和他同受苦
[00:01:16.760 --> 00:01:18.160]  效法他的死
[00:01:18.160 --> 00:01:22.640]  (廣東話)
[00:01:22.640 --> 00:01:24.960]  這不是說我已經得着了
[00:01:24.960 --> 00:01:26.240]  已經完全了
[00:01:26.240 --> 00:01:27.960]  我乃是竭力追求
[00:01:27.960 --> 00:01:30.200]  或者可以得着基督耶穌
[00:01:30.200 --> 00:01:32.320]  所以得着我的
[00:01:32.320 --> 00:01:41.400]  (廣東話)
[00:01:41.400 --> 00:01:42.640]  十四節一起讀
[00:01:42.640 --> 00:01:44.760]  向着標杆直跑
[00:01:44.760 --> 00:01:47.280]  要得神在基督耶穌裏
[00:01:47.280 --> 00:01:51.040]  從天上而來的上上
[00:01:51.040 --> 00:01:52.720]  你看保羅很有心智
[00:01:52.720 --> 00:01:55.040]  他很想很想認識基督
[00:01:55.040 --> 00:01:57.560]  甚至他爲了受苦都不怕
[00:01:57.560 --> 00:01:59.000]  要更深去認識基督
[00:01:59.000 --> 00:02:01.440]  因爲耶穌基督是生命的至寶
[00:02:01.440 --> 00:02:03.560]  我們生命裏是不是也很想
