
[00:00:00.000 --> 00:00:04.500]  到底我們的信仰是甚麼呢?
[00:00:04.500 --> 00:00:07.240]  在外國有一個電視台的節目
[00:00:07.240 --> 00:00:11.400]  已經約了50個小孩子做一個對話
[00:00:11.400 --> 00:00:15.080]  為甚麼這班小孩子能夠受到英訓呢?
[00:00:15.080 --> 00:00:20.420]  是因為他們來自各種不同的宗教信仰的家庭
[00:00:20.420 --> 00:00:26.120]  有基督教、有羅馬教徒、牧章教徒、印度教徒
[00:00:26.120 --> 00:00:30.080]  就想他們實質教導我們這個主旨人
[00:00:30.080 --> 00:00:32.380]  叫做「天父,天母」
[00:00:32.380 --> 00:00:36.560]  他們問他們的信仰是甚麼?
[00:00:36.560 --> 00:00:38.920]  這班小孩子的回答是
[00:00:38.920 --> 00:00:41.760]  我的信仰是來自父母
[00:00:41.760 --> 00:00:44.760]  我的信仰是來自祖父、祖母
[00:00:44.760 --> 00:00:47.560]  我的愛公、愛嫂
[00:00:47.560 --> 00:00:48.840]  他們的表達是
[00:00:48.840 --> 00:00:51.240]  我們印度教徒相信這些
[00:00:51.240 --> 00:00:54.640]  我們牧章教徒相信那些
[00:00:54.640 --> 00:00:59.720]  你會怎樣去回應這不同的信仰呢?
[00:00:59.720 --> 00:01:01.720]  今天,我們再讀次
[00:01:01.720 --> 00:01:04.320]  「照行福音四章四十六節」
[00:01:04.320 --> 00:01:06.640]  至「天父,天母」這次
[00:01:06.640 --> 00:01:13.080]  「福信在星信」
[00:01:13.080 --> 00:01:18.640]  「信」這個字在四點福音書的顏色字
[00:01:18.640 --> 00:01:22.640]  如果以前沒有人「信」這五字的「星信」
[00:01:22.640 --> 00:01:26.640]  究竟四福音出現多少次呢?
[00:01:26.640 --> 00:01:29.640]  「馬海福音」出現了十一次
[00:01:29.640 --> 00:01:32.880]  「馬河福音」出現了十四次
[00:01:32.880 --> 00:01:35.640]  「老花福音」出現了九次
[00:01:35.640 --> 00:01:38.280]  今天我們所訪問的「逸頌福音」
[00:01:38.280 --> 00:01:42.280]  這幾支出現了多少次呢?
[00:01:42.280 --> 00:01:46.240]  不是,是出現了九百八次
[00:01:46.240 --> 00:01:52.680]  今天訪問「順徳福音」的就是「順經福」出現了三十四次
[00:01:52.680 --> 00:01:58.400]  「順經福」出現了三十四次
[00:01:58.400 --> 00:02:01.720]  這些輪保留的「臣」和「天父」是不一樣的
[00:02:01.720 --> 00:02:05.040]  因為「順」呢,跟「順」不一樣
[00:02:05.040 --> 00:02:09.120]  因為它是「順淫」和「順態」
[00:02:09.120 --> 00:02:12.200]  「順經福」是屬於「徳徳福音」這四個字
[00:02:12.200 --> 00:02:21.440]  它們都外文說得非常精準,不像理所當然,而是理所當然
