
[00:00:00.000 --> 00:00:04.040]  西班牙書可能大家不是經常去讀
[00:00:04.040 --> 00:00:06.080]  不過那個先知的訊息
[00:00:06.080 --> 00:00:09.580]  我相信對大家來說也不會太過陌生
[00:00:09.580 --> 00:00:12.340]  我想問一下大家
[00:00:12.340 --> 00:00:14.980]  看看你有沒有這樣的經驗
[00:00:14.980 --> 00:00:17.340]  當你和另一位朋友
[00:00:17.340 --> 00:00:20.840]  或者一群朋友在一起的時候
[00:00:20.840 --> 00:00:23.340]  如果大家都不發聲
[00:00:23.340 --> 00:00:26.840]  你會不會覺得不太自在
[00:00:27.340 --> 00:00:30.340]  好像很不舒服一樣
[00:00:30.340 --> 00:00:33.340]  即是大家你眼望我眼
[00:00:33.340 --> 00:00:35.340]  想不到話題
[00:00:35.340 --> 00:00:36.840]  沒話說
[00:00:36.840 --> 00:00:39.840]  接著可能你就會想
[00:00:39.840 --> 00:00:41.840]  有什麼話可以說呢
[00:00:41.840 --> 00:00:44.840]  一個這樣的所謂dead air的情況
[00:00:44.840 --> 00:00:48.340]  大家會有一種這樣的焦慮產生
[00:00:48.340 --> 00:00:51.340]  大家有沒有這個情況
[00:00:51.340 --> 00:00:53.840]  或者當你遇到
[00:00:53.840 --> 00:00:56.840]  你認識的或者你不認識的人
[00:00:56.840 --> 00:00:59.340]  你知道他當時是很不開心
[00:00:59.340 --> 00:01:00.340]  很難過
[00:01:00.340 --> 00:01:04.840]  不過你又想不到一些合適的
[00:01:04.840 --> 00:01:06.340]  安慰的說話
[00:01:06.340 --> 00:01:08.340]  來跟他說
[00:01:08.340 --> 00:01:12.840]  相信你會渾身不舒服
[00:01:12.840 --> 00:01:16.840]  然後腦袋不斷在轉
[00:01:16.840 --> 00:01:20.840]  應該說什麼話題才是對的呢
[00:01:20.840 --> 00:01:24.340]  很多人對於靜默
[00:01:24.340 --> 00:01:26.340]  都有一個很大的抗拒
[00:01:27.840 --> 00:01:31.840]  很多信徒都會有這樣的想法
[00:01:31.840 --> 00:01:33.840]  上帝是要發聲的
[00:01:33.840 --> 00:01:35.840]  上帝是要說話的
[00:01:35.840 --> 00:01:39.840]  上帝是要一些具體的行動出來的
[00:01:39.840 --> 00:01:43.840]  我們才知道上帝有回應
[00:01:43.840 --> 00:01:46.840]  如果上帝是默然不語
[00:01:46.840 --> 00:01:48.840]  或者沒有任何的行動
[00:01:48.840 --> 00:01:50.840]  你就會去質疑
[00:01:50.840 --> 00:01:52.840]  上帝是不是已經忘記了你
[00:01:52.840 --> 00:01:55.840]  或者上帝是不是聽不到你的呼求
[00:01:55.840 --> 00:01:57.840]  聽不到你的祈禱
[00:01:57.840 --> 00:02:01.840]  西班牙先知對於上帝的靜默
[00:02:01.840 --> 00:02:04.840]  有一個很深度的了解
[00:02:04.840 --> 00:02:06.840]  原來上帝的愛
[00:02:06.840 --> 00:02:10.840]  是可以透過靜默來流露的
[00:02:10.840 --> 00:02:13.840]  似乎聽起來很奇怪
[00:02:13.840 --> 00:02:16.840]  究竟這個是一回什麼事呢
[00:02:16.840 --> 00:02:19.840]  我們就去經文那裡看一看
[00:02:19.840 --> 00:02:24.840]  首先要介紹一下西班牙先知給大家認識
[00:02:24.840 --> 00:02:29.840]  西班牙先知當他履行先知的職份的時候
[00:02:29.840 --> 00:02:33.840]  大概是在主前的622年
[00:02:33.840 --> 00:02:36.840]  那個是什麼時間呢
[00:02:36.840 --> 00:02:39.840]  就是猶大王約西亞
[00:02:39.840 --> 00:02:42.840]  他準備去進行一個宗教上的改革
[00:02:42.840 --> 00:02:47.840]  因為在約西亞王之前
[00:02:47.840 --> 00:02:51.840]  有一個王叫馬拿西
[00:02:51.840 --> 00:02:54.840]  馬拿西這個皇帝
[00:02:54.840 --> 00:02:57.840]  在猶大的歷史當中
[00:02:57.840 --> 00:03:00.840]  可以說是最壞的一個王
[00:03:00.840 --> 00:03:02.840]  差不多沒有人比他更壞
[00:03:02.840 --> 00:03:04.840]  但竟然他繼後的人
[00:03:04.840 --> 00:03:06.840]  是一個很好的皇帝
[00:03:06.840 --> 00:03:09.840]  這個是歷史很有趣的地方
[00:03:09.840 --> 00:03:11.840]  有時候好的君王
[00:03:11.840 --> 00:03:14.840]  會得到一些很壞很壞的後裔
[00:03:14.840 --> 00:03:15.840]  但反過來也會有的
[00:03:15.840 --> 00:03:17.840]  很壞很壞的君王
[00:03:17.840 --> 00:03:19.840]  接下來可以是好的
[00:03:19.840 --> 00:03:22.840]  這個似乎是一個鐘擺
[00:03:22.840 --> 00:03:24.840]  擺在另一邊的時候
[00:03:24.840 --> 00:03:26.840]  又可以回頭
[00:03:26.840 --> 00:03:30.840]  大概在約西亞王這個好的皇帝
[00:03:30.840 --> 00:03:32.840]  進行改革之前的十年
[00:03:32.840 --> 00:03:36.840]  西班牙就來履行先知的任務
[00:03:36.840 --> 00:03:40.840]  他當時要去做些什麼呢
[00:03:40.840 --> 00:03:47.840]  因為在這個罪大惡極的當中
[00:03:47.840 --> 00:03:49.840]  很多猶大的百姓
[00:03:49.840 --> 00:03:53.840]  他們就是沉溺於偶像的崇拜
[00:03:53.840 --> 00:03:55.840]  這個也是拜君王所賜
[00:03:55.840 --> 00:03:58.840]  因為上樑不正下樑歪
