
[00:00:00.000 --> 00:00:02.160]  感恩神,今天我們雖然外面有風雨
[00:00:02.160 --> 00:00:04.920]  但我們仍然能夠回到神的家裡
[00:00:04.920 --> 00:00:08.340]  一同去親近神,一同去敬拜神
[00:00:08.340 --> 00:00:12.940]  今天我想和大家分享一個有關傳福音的信息
[00:00:12.940 --> 00:00:16.500]  我相信相關的信息,大家可能已經聽過很多次
[00:00:16.500 --> 00:00:19.540]  特別是你可能已經信了主一段長時間的時候
[00:00:19.540 --> 00:00:21.920]  可能已經聽過無數次,是不是?
[00:00:21.920 --> 00:00:26.440]  傳福音,救人靈魂,我們都耳熟能詳
[00:00:26.440 --> 00:00:27.940]  當我預備今天的信息的時候
[00:00:27.940 --> 00:00:31.680]  我想有沒有些什麼嶄新的道理
[00:00:31.680 --> 00:00:33.680]  來和大家分享
[00:00:33.680 --> 00:00:36.160]  我想了一段時間,答案是沒有
[00:00:36.160 --> 00:00:39.780]  不過,今天我仍然懷著一個火熱的心
[00:00:39.780 --> 00:00:45.300]  和大家一起重溫這個很重要的信息
[00:00:45.300 --> 00:00:47.840]  因為這個信息,這個使命
[00:00:47.840 --> 00:00:50.940]  是我們作主門徒一個最根本
[00:00:50.940 --> 00:00:53.740]  很根本很根本的使命
[00:00:53.740 --> 00:00:55.480]  有一個比喻很有意思
[00:00:55.480 --> 00:00:58.300]  說到當人信了耶穌之後
[00:00:58.300 --> 00:01:01.160]  他的生命就好像一個指南針一樣
[00:01:01.160 --> 00:01:03.560]  無論在什麼境況裡面
[00:01:03.560 --> 00:01:07.320]  紅色的指針永遠是指向同一個方向
[00:01:07.320 --> 00:01:09.100]  信徒的生命都一樣
[00:01:09.100 --> 00:01:11.940]  我們應該永遠指向神
[00:01:11.940 --> 00:01:13.820]  在這個人生的指向裡面
[00:01:13.820 --> 00:01:16.920]  有一個很重要的實踐是什麼?
[00:01:16.920 --> 00:01:19.520]  就是將福音傳開
[00:01:19.520 --> 00:01:21.720]  因為耶穌基督,祂呼召門徒的時候
[00:01:21.720 --> 00:01:23.020]  祂呼召我們的時候
[00:01:23.020 --> 00:01:26.860]  是呼召我們成為得人的漁夫
[00:01:26.860 --> 00:01:28.860]  當耶穌基督復活之後
[00:01:28.860 --> 00:01:31.400]  祂頒佈的大使命裡面都是一樣
[00:01:31.400 --> 00:01:34.500]  甚至進一步要我們將萬民
[00:01:34.500 --> 00:01:35.760]  帶到神的面前
[00:01:35.760 --> 00:01:39.260]  成為主耶穌基督的真正的門徒
[00:01:39.260 --> 00:01:42.480]  所以,傳福音這個使命
[00:01:42.480 --> 00:01:45.420]  是我們每一個擁有新生命的人
[00:01:45.420 --> 00:01:49.220]  一個必然要有的DNA
[00:01:49.220 --> 00:01:52.420]  今天想和大家一起分享的題目
[00:01:52.420 --> 00:01:57.100]  是「往迷失的羊那裡去」
[00:01:57.100 --> 00:01:59.300]  首先,請聽我讀出
[00:01:59.300 --> 00:02:03.820]  今日經文在《瑪德福音》十章五至十五節
[00:02:03.820 --> 00:02:05.840]  耶穌差借十二個人去
[00:02:05.840 --> 00:02:06.940]  吩咐他們說
[00:02:06.940 --> 00:02:09.560]  「愛邦人的路你們不要走
[00:02:09.560 --> 00:02:12.280]  撒瑪利亞人的城你們不要進
[00:02:12.280 --> 00:02:15.860]  寧可往以色列迷失的羊那裡去
[00:02:15.860 --> 00:02:19.420]  隨走隨存,說天國近了
[00:02:19.420 --> 00:02:21.760]  醫治病人,叫死人復活
[00:02:21.760 --> 00:02:26.200]  叫長大麻瘋的潔淨,把鬼趕出去
[00:02:26.200 --> 00:02:30.240]  你們白白得來,也要白白地捨去
[00:02:30.240 --> 00:02:32.340]  腰袋裡不要帶金銀銅錢
[00:02:32.340 --> 00:02:34.360]  行路不要帶口袋
[00:02:34.360 --> 00:02:36.120]  不要帶兩件掛紙
[00:02:36.120 --> 00:02:39.080]  也不要帶鞋和拐杖
[00:02:39.080 --> 00:02:43.060]  因為工人不飲食是應當的
[00:02:43.060 --> 00:02:46.000]  你們無論進哪一城哪一村
[00:02:46.000 --> 00:02:48.300]  要打聽那裡誰是好人
[00:02:48.300 --> 00:02:52.560]  就住在他家,直住到走的時候
[00:02:52.560 --> 00:02:55.140]  進他家裡去,邀請他的安
[00:02:55.140 --> 00:02:56.840]  那家若配得平安
[00:02:56.840 --> 00:02:59.600]  你們所求的平安就必臨到那家
[00:02:59.600 --> 00:03:03.940]  若不配得,你們所求的平安,仍歸你們
[00:03:03.940 --> 00:03:06.920]  凡不接待你們,不聽你們話的人
[00:03:06.920 --> 00:03:10.460]  你們離開那家,或是那城的時候
[00:03:10.460 --> 00:03:12.980]  要把腳上的塵土躲下去
[00:03:12.980 --> 00:03:16.700]  我實在告訴你們,當審判的日子
[00:03:16.700 --> 00:03:19.220]  所多馬和俄摩拉所受的
[00:03:19.220 --> 00:03:22.800]  比那城還容易受呢?
[00:03:22.800 --> 00:03:25.240]  來到《馬遞福音》第十章的時候
[00:03:25.240 --> 00:03:28.640]  相信門徒已經跟從了耶穌一段時間
[00:03:28.640 --> 00:03:31.860]  見證過祂帶著權柄的宣講
[00:03:31.860 --> 00:03:35.660]  治病、趕鬼,甚至平靜風和浪
[00:03:35.660 --> 00:03:40.200]  連大自然都要聽命於主
[00:03:40.200 --> 00:03:45.560]  如今是應該來到這班門徒要實習的時候了
[00:03:45.560 --> 00:03:48.580]  因此,耶穌在這裏要差遣他們出去
[00:03:48.580 --> 00:03:50.280]  在《馬遞福音》裏面更加是形容
