
[00:00:00.000 --> 00:00:03.940]  (聲音)
[00:00:03.940 --> 00:00:05.940]  各位大纖維媒平安
[00:00:05.940 --> 00:00:08.900]  當兩日前我早上6點多起床
[00:00:08.900 --> 00:00:10.500]  一打開電視
[00:00:10.500 --> 00:00:13.500]  嚇了我一跳有一個很大的標題
[00:00:13.500 --> 00:00:19.500]  就是以色列宣告向哈馬斯進入戰爭的狀態
[00:00:19.500 --> 00:00:22.580]  原來在早一晚半夜的時候
[00:00:22.580 --> 00:00:26.580]  在加沙的哈馬斯對整個以色列
[00:00:26.580 --> 00:00:28.900]  無論北部 中部 南部
[00:00:28.900 --> 00:00:31.500]  進行大規模的襲擊
[00:00:31.500 --> 00:00:34.700]  於是以色列就報復式地
[00:00:34.700 --> 00:00:38.700]  要向哈馬斯發動反擊
[00:00:38.700 --> 00:00:41.100]  真是沒有辦法想到
[00:00:41.100 --> 00:00:44.200]  突然之間整個以色列國
[00:00:44.200 --> 00:00:47.500]  就宣佈進入戰爭狀態
[00:00:47.500 --> 00:00:49.900]  是來得很快 很突然
[00:00:49.900 --> 00:00:52.300]  你沒有辦法預先知道的
[00:00:52.300 --> 00:00:56.800]  因為這是一件很緊急 很緊急的事情
[00:00:56.800 --> 00:01:02.100]  原來聖經裡面有很多時候形容耶穌回來
[00:01:02.100 --> 00:01:07.200]  都是用一種很緊急 很趕迫的一種口吻
[00:01:07.200 --> 00:01:10.700]  來形容耶穌回來的
[00:01:10.700 --> 00:01:13.300]  所以今天我要跟大家分享
[00:01:13.300 --> 00:01:16.500]  被提系列裡面的第二講
[00:01:16.500 --> 00:01:20.500]  就是耶穌回來那種緊急性
[00:01:20.500 --> 00:01:21.900]  Urgency
[00:01:21.900 --> 00:01:26.900]  是很 imminent 的 是很快速的就要來到
[00:01:26.900 --> 00:01:29.000]  首先請大家一起看
[00:01:29.000 --> 00:01:32.300]  約翰福音第14章
[00:01:32.300 --> 00:01:36.500]  耶穌他快要離開這班門徒的時候
[00:01:36.500 --> 00:01:38.400]  他怎麼說呢?
[00:01:38.400 --> 00:01:41.900]  他說你們心裡面不要憂愁
[00:01:41.900 --> 00:01:47.900]  我會去為你們預備地方去
[00:01:47.900 --> 00:01:51.300]  我若去為你們預備地方
[00:01:51.300 --> 00:01:56.900]  我必在來接你們到我那裡去
[00:01:56.900 --> 00:02:02.300]  我在那裡 你們也在那裡
[00:02:02.300 --> 00:02:06.600]  首先耶穌要安定這班門徒的心
[00:02:06.600 --> 00:02:08.400]  他說你們不要憂愁
