
[00:00:00.000 --> 00:00:03.000]  好 弟兄姊妹主 內平安
[00:00:03.000 --> 00:00:06.000]  願大家都有開心的日子
[00:00:06.000 --> 00:00:07.400]  特別是父親節的日子
[00:00:07.400 --> 00:00:08.800]  無論你是父親的
[00:00:08.800 --> 00:00:11.400]  或者你不是父親的
[00:00:11.400 --> 00:00:14.800]  但是我們盼望每天都開開心心的
[00:00:14.800 --> 00:00:17.200]  這樣去過我們的每一天
[00:00:17.200 --> 00:00:20.600]  好 我們一起先有個祈禱
[00:00:20.600 --> 00:00:22.600]  親愛的主 我們感謝祢
[00:00:22.600 --> 00:00:25.600]  讓我們一起可以在祢的面前
[00:00:25.600 --> 00:00:27.600]  我們去敬拜天父祢
[00:00:27.600 --> 00:00:29.800]  因為祢就是我們最好的父親
[00:00:29.800 --> 00:00:31.000]  讓今天父親節
[00:00:31.000 --> 00:00:34.000]  祢就得到最好的榮耀
[00:00:34.000 --> 00:00:36.000]  也讓祢自己先喜悅
[00:00:36.000 --> 00:00:38.000]  我們在祢面前的敬拜
[00:00:38.000 --> 00:00:40.600]  也讓父親祢自己親自對我們說話
[00:00:40.600 --> 00:00:42.400]  讓我們聽到父親祢的說話
[00:00:42.400 --> 00:00:44.400]  我們就成為一個乖孩子一樣
[00:00:44.400 --> 00:00:47.000]  我們是遵從主祢的吩咐
[00:00:47.000 --> 00:00:48.200]  求祢帶領我們
[00:00:48.200 --> 00:00:51.600]  聽我們祈禱奉耶穌名字而求
[00:00:51.600 --> 00:00:52.600]  阿們
[00:00:52.600 --> 00:00:57.200]  今天和大家分享的題目
[00:00:57.200 --> 00:01:01.800]  叫做《覆浸眼眉的驚喜》
[00:01:01.800 --> 00:01:04.800]  就是一個這樣的畫面
[00:01:04.800 --> 00:01:08.800]  在未去到裡面的內容之先
[00:01:08.800 --> 00:01:14.000]  首先和大家說一個故事
[00:01:14.000 --> 00:01:17.800]  大家都有喝中國茶
[00:01:17.800 --> 00:01:19.000]  有喝過中國茶
[00:01:19.000 --> 00:01:20.000]  中國茶裡面
[00:01:20.000 --> 00:01:22.600]  我們有時候也有一些叫茶道
[00:01:22.600 --> 00:01:24.800]  就是茶友茶道
[00:01:24.800 --> 00:01:26.800]  其中我們的茶道裡面
[00:01:26.800 --> 00:01:30.200]  有一個叫寇子禮
[00:01:30.200 --> 00:01:32.600]  不知道大家知不知道這個寇子禮
[00:01:32.600 --> 00:01:36.200]  為什麼會有這個寇子禮這件事發生呢
[00:01:36.200 --> 00:01:38.600]  原來按一些資料顯示
[00:01:38.600 --> 00:01:43.400]  其實這個寇子禮是和乾隆王有關的
[00:01:43.400 --> 00:01:48.400]  原來話說乾隆有一次微服出巡
