
[00:00:00.000 --> 00:00:02.800]  當我自己在預備講章的過程當中
[00:00:02.800 --> 00:00:06.160]  這段時間跟大家在講約伯記
[00:00:06.160 --> 00:00:07.520]  當然講約伯記
[00:00:07.520 --> 00:00:11.520]  我們會覺得有時心裏都有一種很沉悶的感覺
[00:00:11.520 --> 00:00:13.880]  因為看到苦難
[00:00:13.880 --> 00:00:17.120]  當然我們極想人生當中
[00:00:17.120 --> 00:00:20.720]  是不會面對任何的苦難
[00:00:20.720 --> 00:00:22.080]  我們很多時都會講
[00:00:22.080 --> 00:00:24.400]  上帝,你千萬不要看得起我們
[00:00:24.400 --> 00:00:26.080]  我根本就不想做約伯
[00:00:26.080 --> 00:00:27.320]  我真的不想做約伯
[00:00:27.320 --> 00:00:28.400]  你不要看得起我
[00:00:28.400 --> 00:00:30.040]  你看得起隔壁那個就算了
[00:00:30.040 --> 00:00:31.560]  我就千萬不要
[00:00:31.560 --> 00:00:34.800]  所以變了我們苦難是我們不想要
[00:00:34.800 --> 00:00:38.240]  但另一方面我們亦都不能否定
[00:00:38.240 --> 00:00:40.800]  在過去這個日子當中
[00:00:40.800 --> 00:00:43.960]  我們看到全世界,不只是香港
[00:00:43.960 --> 00:00:47.800]  看到全世界的而且確有很多的天災
[00:00:47.800 --> 00:00:49.720]  有很多的人禍
[00:00:49.720 --> 00:00:52.040]  看回香港過去這一年那邊
[00:00:52.040 --> 00:00:55.680]  我們看到很多突然之間的災難
[00:00:55.680 --> 00:01:02.400]  而這些災難很容易奪去了家裏的某些幾位成員
[00:01:02.400 --> 00:01:05.400]  以致到我們看到一場火災
[00:01:05.400 --> 00:01:08.920]  可以奪去了自己兩位兒子的生命
[00:01:08.920 --> 00:01:10.880]  我們看到一場海難
[00:01:10.880 --> 00:01:13.160]  可能帶來很多家人當中
[00:01:13.160 --> 00:01:17.160]  一些自己所愛的至親好友離開
[00:01:17.160 --> 00:01:19.520]  以致到我們看到原來這個世界
[00:01:19.520 --> 00:01:21.920]  真是有很多很多的問題出現
[00:01:21.920 --> 00:01:23.760]  甚至報紙都說
[00:01:23.760 --> 00:01:28.080]  即是現在因為南極和北極的冰山
[00:01:28.080 --> 00:01:29.920]  不斷的融化的速度
[00:01:29.920 --> 00:01:33.000]  是快到今天你和我都沒有感受過
[00:01:33.000 --> 00:01:35.680]  甚至現在所融化的冰山
[00:01:35.680 --> 00:01:37.800]  那個面積報紙就說
[00:01:37.800 --> 00:01:40.600]  是大過美國本土的面積
[00:01:40.600 --> 00:01:42.720]  以致到過去一年
[00:01:42.720 --> 00:01:48.600]  全世界的海洋的水量
[00:01:48.600 --> 00:01:52.440]  是提高了1.11厘米
[00:01:52.440 --> 00:01:56.480]  都幾厲害 全世界的海洋提高了
[00:01:56.480 --> 00:02:00.960]  以致到我們看到天氣的變化
[00:02:00.960 --> 00:02:02.680]  海洋的變化
[00:02:02.680 --> 00:02:04.280]  很多很多的變化
[00:02:04.280 --> 00:02:07.120]  以致到人生真是很無奈地
[00:02:07.120 --> 00:02:10.880]  好像面對更多苦難的臨在
[00:02:10.880 --> 00:02:11.640]  但另一方面
[00:02:11.640 --> 00:02:14.480]  當我自己想約伯記的時候
[00:02:14.480 --> 00:02:15.800]  我自己心裏面想
[00:02:15.800 --> 00:02:17.640]  喜歡約伯記裏面
[00:02:17.640 --> 00:02:19.480]  很強調一個訊息
[00:02:19.480 --> 00:02:23.000]  是否罪帶來苦難
[00:02:23.000 --> 00:02:27.040]  我強調罪是可以帶來苦難
[00:02:27.040 --> 00:02:29.040]  上帝亦因為人有罪
[00:02:29.040 --> 00:02:32.320]  很多時都會降下一些難處
[00:02:32.320 --> 00:02:35.240]  讓人去反省自己內心的生命
[00:02:35.240 --> 00:02:38.880]  但是否罪是唯一的原因帶來苦難呢
[00:02:38.880 --> 00:02:39.960]  有時我們都會想
[00:02:39.960 --> 00:02:41.520]  會否好像約伯一樣
[00:02:41.520 --> 00:02:42.920]  在他無奈的裏面
[00:02:42.920 --> 00:02:46.240]  在他根本不知道天上發生甚麼事的過程當中
[00:02:46.240 --> 00:02:48.560]  他經歷到家破人亡
[00:02:48.560 --> 00:02:51.240]  他經歷到自己的身體的健康
[00:02:51.240 --> 00:02:52.960]  一夜之間消失
[00:02:52.960 --> 00:02:54.080]  但弟兄姊妹
[00:02:54.080 --> 00:02:55.560]  當我自己想
[00:02:55.560 --> 00:02:57.240]  特別報紙都說
[00:02:57.240 --> 00:03:00.760]  如果我們信年初有人這樣說
[00:03:00.760 --> 00:03:04.560]  2012年12月21日
[00:03:04.560 --> 00:03:06.120]  就是世界末日
[00:03:06.120 --> 00:03:07.480]  很多人這樣說
[00:03:07.480 --> 00:03:09.600]  有人因為聽完這個消息
[00:03:09.600 --> 00:03:10.880]  自殺都有
[00:03:10.880 --> 00:03:12.200]  因為快要到了
[00:03:12.200 --> 00:03:14.400]  不如先死掉吧
[00:03:14.400 --> 00:03:16.360]  真是恐懼
[00:03:16.360 --> 00:03:19.320]  但我們知道耶穌回來的日子
[00:03:19.320 --> 00:03:21.280]  根本我們都不知道
[00:03:21.280 --> 00:03:23.080]  我們反而要好好地
[00:03:23.080 --> 00:03:24.720]  在耶穌未回來的時候
[00:03:24.720 --> 00:03:25.680]  我們好好地
[00:03:25.680 --> 00:03:28.600]  一方面要過一個敬虔的生活
[00:03:28.600 --> 00:03:29.920]  另一方面我們要好好地
[00:03:29.920 --> 00:03:32.600]  去把握耶穌未回來的日子
[00:03:32.600 --> 00:03:34.080]  耶穌說我現在不回來
[00:03:34.080 --> 00:03:35.960]  是因為我仍然在寬容
[00:03:35.960 --> 00:03:38.280]  寬容我們繼續傳福音
[00:03:38.280 --> 00:03:42.560]  繼續將更多更多未信耶穌的朋友
[00:03:42.560 --> 00:03:44.520]  我們的家人能夠認識耶穌
[00:03:44.520 --> 00:03:47.840]  耶穌說我們的主說大願萬人得救
[00:03:47.840 --> 00:03:50.120]  不願一個人來沉淪
[00:03:50.120 --> 00:03:51.480]  以致到上帝的寬容
[00:03:51.480 --> 00:03:53.080]  上帝給我們有時間
[00:03:53.080 --> 00:03:55.160]  去面對耶穌回來的日子
[00:03:55.160 --> 00:03:56.880]  縱然說我們很快
[00:03:56.880 --> 00:03:58.440]  但因為這種急迫
[00:03:58.440 --> 00:04:00.400]  讓我們更加願意將福音
[00:04:00.400 --> 00:04:01.960]  帶給更多人
[00:04:01.960 --> 00:04:04.400]  所以12月的教會有這麼多事情要做
[00:04:04.400 --> 00:04:06.040]  不是說我們很空閒
[00:04:06.040 --> 00:04:07.120]  我們可以在家裏睡覺
[00:04:07.120 --> 00:04:08.000]  不知道多舒服
[00:04:08.000 --> 00:04:09.920]  但我們很渴望能夠帶著
[00:04:09.920 --> 00:04:12.360]  很多弟兄姊妹那種興奮的心情
[00:04:12.360 --> 00:04:13.800]  去到不同的社區
[00:04:13.800 --> 00:04:16.520]  我們能夠祝福不同的對象
[00:04:16.520 --> 00:04:18.320]  我們讓他們能夠感受到
[00:04:18.320 --> 00:04:21.320]  原來人間裏面仍然是有情
[00:04:21.320 --> 00:04:23.600]  人間裏面仍然有溫暖
[00:04:23.600 --> 00:04:24.800]  這就是我們的心
[00:04:24.800 --> 00:04:28.840]  因為我們的神就是愛
[00:04:28.840 --> 00:04:30.720]  聖經說「神就是愛」
[00:04:30.720 --> 00:04:32.320]  我們很渴望將這份愛
[00:04:32.320 --> 00:04:34.400]  帶給更多人
[00:04:34.400 --> 00:04:36.440]  我不知道大家對於《約伯記》
[00:04:36.440 --> 00:04:39.240]  你們有沒有真的看過它
[00:04:39.240 --> 00:04:40.320]  當我們看《約伯記》的時候
[00:04:40.320 --> 00:04:41.800]  我們很多時候都會覺得
[00:04:41.800 --> 00:04:44.520]  為什麼說來說去
[00:04:44.520 --> 00:04:46.920]  好像在說同一個主題
[00:04:46.920 --> 00:04:51.160]  究竟是不是罪帶來了人一個苦難
[00:04:51.160 --> 00:04:53.040]  對於約伯的三位朋友
[00:04:53.040 --> 00:04:55.120]  他們在第一輪的循環當中
[00:04:55.120 --> 00:04:58.760]  今天去到第三位南亞人所發的時候
[00:04:58.760 --> 00:05:00.840]  我們看到這三位的朋友
[00:05:00.840 --> 00:05:02.880]  是他自己所愛的朋友
[00:05:02.880 --> 00:05:05.120]  亦都是這三位朋友很愛約伯的
[00:05:05.120 --> 00:05:06.080]  這三位朋友
[00:05:06.080 --> 00:05:08.720]  他們能夠面對約伯苦難的時候
[00:05:08.720 --> 00:05:10.200]  可以七天七夜
[00:05:10.200 --> 00:05:13.080]  與他共度、一起陪伴他
[00:05:13.080 --> 00:05:15.960]  的而且確不簡單的三位朋友
[00:05:15.960 --> 00:05:17.080]  不過很可惜
[00:05:17.080 --> 00:05:20.480]  當約伯覺得這三位朋友是可信的
[00:05:20.480 --> 00:05:21.400]  可信任的
[00:05:21.400 --> 00:05:23.160]  甚至真的明白他
[00:05:23.160 --> 00:05:26.760]  可以與他同坐七天七夜之後
[00:05:26.760 --> 00:05:27.920]  他覺得這三位朋友
[00:05:27.920 --> 00:05:29.960]  一定對他內心的世界
[00:05:29.960 --> 00:05:31.240]  是很明顯的時候
[00:05:31.240 --> 00:05:32.920]  於是他很坦誠地
