
[00:00:00.000 --> 00:00:04.180]  好 今天就要和大家講的是《馬拉基書》
[00:00:04.180 --> 00:00:07.760]  《馬拉基書》這本書只有四章
[00:00:07.760 --> 00:00:09.780]  其實第四章是很短的
[00:00:09.780 --> 00:00:11.660]  其實你當它是三章多
[00:00:11.660 --> 00:00:14.580]  但是這本書其實都挺複雜的
[00:00:14.580 --> 00:00:16.880]  我今天就會和大家介紹一個
[00:00:16.880 --> 00:00:19.600]  可能比較簡單的一個結構
[00:00:19.600 --> 00:00:23.020]  中間就有六段上帝和以色列人的對話
[00:00:23.020 --> 00:00:25.540]  但是也都有一些結構
[00:00:25.540 --> 00:00:27.720]  外面去看是複雜一點的
[00:00:27.720 --> 00:00:32.540]  不只是六個對話 可能七個八個對話都有的
[00:00:32.540 --> 00:00:35.520]  要去明白《馬拉基書》
[00:00:35.520 --> 00:00:36.920]  最重要的一樣東西
[00:00:36.920 --> 00:00:41.120]  就是明白它的舊約的歷史背景
[00:00:41.120 --> 00:00:44.500]  《馬拉基書》基本上發生的年代
[00:00:44.500 --> 00:00:47.800]  已經是回歸了之後的一百年
[00:00:47.800 --> 00:00:49.920]  你想一下 以色列人說
[00:00:49.920 --> 00:00:53.400]  我們經常都說他們的歷史上最悲慘的
[00:00:53.400 --> 00:00:55.640]  就是秘魯 秘魯 巴比倫
[00:00:55.640 --> 00:00:58.840]  但是秘魯 巴比倫之後上帝也都憐憫他們
[00:00:58.840 --> 00:01:03.540]  認許他們在七十年之後可以回歸去耶路撒冷
[00:01:03.540 --> 00:01:08.060]  我們現在說的 他們已經回歸了一百年之後
[00:01:08.060 --> 00:01:10.620]  回歸應該是很開心的一件事
[00:01:10.620 --> 00:01:13.660]  應該是真的 不是說香港回歸
[00:01:13.660 --> 00:01:16.620]  是很不一樣的 以色列人復國了一點點
[00:01:16.620 --> 00:01:18.380]  雖然那個國家還沒有復國
[00:01:18.380 --> 00:01:22.700]  但是他們應該是在重建上帝的聖殿等等
[00:01:22.700 --> 00:01:27.500]  一百年之後應該都差不多可以復國了
[00:01:27.500 --> 00:01:29.220]  但是竟然不是的
[00:01:29.220 --> 00:01:33.660]  原來一百年之後 我們如果用一個題目來寫
[00:01:33.660 --> 00:01:37.300]  就是回歸一百年是叛逆依然
[00:01:37.300 --> 00:01:39.220]  原來沒有好過的
[00:01:39.220 --> 00:01:42.320]  以色列人之所以去秘魯 巴比倫
[00:01:42.320 --> 00:01:44.640]  不是因為政治上的一些錯誤
[00:01:44.640 --> 00:01:46.740]  或者軍事上的一些錯誤
[00:01:46.740 --> 00:01:50.260]  而是因為他們叛逆 離開了上帝
[00:01:50.260 --> 00:01:52.020]  於是被上帝審判
[00:01:52.020 --> 00:01:55.240]  現在回歸應該是一個迴轉
[00:01:55.240 --> 00:01:59.640]  也都代表了他們可以得到上帝的罪德赦免
[00:01:59.640 --> 00:02:00.660]  但是原來不是的
[00:02:00.660 --> 00:02:04.300]  原來雖然上帝很欽點之下帶他們回歸
[00:02:04.300 --> 00:02:08.200]  但是其實他們是沒有真正的
[00:02:08.200 --> 00:02:11.380]  在屬靈層面上回歸
[00:02:11.380 --> 00:02:13.820]  於是帶領我們去到《馬拉基書》
[00:02:13.820 --> 00:02:15.500]  《馬拉基書》一開始的時候
[00:02:15.500 --> 00:02:20.140]  是上帝的話籍馬拉基全級以色列的默示
[00:02:20.140 --> 00:02:22.140]  其實很簡單的 什麼都沒有說
[00:02:22.140 --> 00:02:24.220]  沒有皇帝 不說其它東西
[00:02:24.220 --> 00:02:27.200]  其實就很簡單直接單刀直入
[00:02:27.200 --> 00:02:29.300]  就是上帝要有一些
[00:02:29.300 --> 00:02:32.980]  我可以說是非常憤怒的說話
[00:02:32.980 --> 00:02:34.820]  不開心的說話給他們
[00:02:34.820 --> 00:02:36.420]  也都是最後的說話
[00:02:36.420 --> 00:02:40.940]  因為《馬拉基書》是最後一本書
[00:02:40.940 --> 00:02:45.580]  架構方面有些聖經學家就會覺得
[00:02:45.580 --> 00:02:49.820]  其實它中間未到最後總結之前
