
[00:00:00.000 --> 00:00:02.080]  如果上個星期六有在這裡 你知道
[00:00:02.080 --> 00:00:04.540]  我們就講了第四講的
[00:00:04.540 --> 00:00:07.760]  這個基督自保盡藏於舊約裡面
[00:00:07.760 --> 00:00:10.700]  我們就講了《文素記》
[00:00:10.700 --> 00:00:14.740]  再下一個月我們就可以講這個《生命記》
[00:00:14.740 --> 00:00:17.860]  這個摩西五經就可以完成
[00:00:17.860 --> 00:00:22.180]  摩西五經是整本聖經的開始
[00:00:22.180 --> 00:00:23.940]  其實你可以說它是五本書
[00:00:23.940 --> 00:00:25.780]  也可以說它是一本書
[00:00:25.780 --> 00:00:31.080]  其實是一個五本一起的連續劇
[00:00:31.080 --> 00:00:35.380]  我們之前有講過它的主題是
[00:00:35.380 --> 00:00:39.100]  墮落救贖三部曲《創世記》
[00:00:39.100 --> 00:00:41.860]  《偶像之家》《逃生記》《差異及記》
[00:00:41.860 --> 00:00:44.340]  《聖潔》《君王保衛者》
[00:00:44.340 --> 00:00:46.960]  《利美記》《抗野中的大叛營》
[00:00:46.960 --> 00:00:49.940]  我們上個星期六講的《文素記》
[00:00:49.940 --> 00:00:51.820]  接著去到《生命記》
[00:00:51.820 --> 00:00:55.620]  都是沉重的《深受割禮》《深愛主》
[00:00:55.620 --> 00:00:57.940]  所有我們正在看的聖經
[00:00:57.940 --> 00:01:01.520]  最後都是為我們指向著耶穌基督
[00:01:01.520 --> 00:01:04.700]  因為我們讀經我們就快過我們的講座的
[00:01:04.700 --> 00:01:09.040]  我們讀經出了已經應該是出了埃及的了
[00:01:09.040 --> 00:01:13.500]  已經是進入了這個應許之地
[00:01:13.500 --> 00:01:16.040]  在創出《利民生》之後
[00:01:16.040 --> 00:01:17.960]  我們有的是《約書亞記》
[00:01:17.960 --> 00:01:21.840]  我們的題目叫做《書劍恩仇進迦南》
[00:01:21.840 --> 00:01:25.740]  講到以色列人要打聖戰進入迦南
[00:01:25.740 --> 00:01:28.060]  接著進了迦南之後
[00:01:28.060 --> 00:01:29.900]  很可惜就不是好事了
[00:01:29.900 --> 00:01:34.900]  就是史詩記的一個很混亂的時代
[00:01:34.900 --> 00:01:38.340]  我們叫做亂世史詩真舊著
[00:01:38.340 --> 00:01:40.520]  在尋求一個真舊著
[00:01:40.520 --> 00:01:44.780]  以色列人國中沒有王國人做自己眼中寒為對
[00:01:44.780 --> 00:01:46.980]  或眼中寒為惡的事
[00:01:46.980 --> 00:01:50.020]  而路德基繼續這個主題
[00:01:50.020 --> 00:01:53.400]  就是說真正的君王應該是大衛
[00:01:53.400 --> 00:01:56.540]  而不是數羅家
[00:01:56.540 --> 00:01:59.720]  我們早一個禮拜已經
[00:01:59.720 --> 00:02:02.520]  兩個禮拜已經開始進入了《撒姆爾記》
[00:02:02.520 --> 00:02:06.860]  《撒姆爾記》正式是講君王的歷史
[00:02:06.860 --> 00:02:12.760]  就是有數羅、有大衛和撒姆爾的故事
[00:02:12.760 --> 00:02:16.840]  我們的題目叫做《永約上主三君王》
[00:02:16.840 --> 00:02:18.800]  如果你問《撒姆爾記》
[00:02:18.800 --> 00:02:20.320]  我們就沒有上下的了
[00:02:20.320 --> 00:02:24.120]  因為在原本的希伯來文裡面
[00:02:24.120 --> 00:02:27.900]  其實是一本書 只不過太長 所以分為上下
[00:02:27.900 --> 00:02:33.540]  最重要的是講到上帝與大衛所立的君王之約
[00:02:33.540 --> 00:02:35.160]  大衛之約
[00:02:35.160 --> 00:02:39.940]  而《永約上主》在這個《撒姆爾記》裡面
[00:02:39.940 --> 00:02:41.760]  是講述三個君王的故事
[00:02:41.760 --> 00:02:44.860]  包括第一個數羅、第二個大衛
[00:02:44.860 --> 00:02:48.300]  但其實大衛都不是那個完美的舊主
[00:02:48.300 --> 00:02:54.480]  所以是第三個指向將來新約裡面的主耶穌基督
[00:02:54.480 --> 00:02:58.940]  如果你有跟著我們的讀經計劃
[00:02:58.940 --> 00:03:02.760]  今天應該是12月11號
[00:03:02.760 --> 00:03:09.200]  就應該開始讀這個《撒姆爾記》第一、第二章
[00:03:09.200 --> 00:03:12.120]  繼續還有一個多禮拜 十天左右
[00:03:12.120 --> 00:03:16.540]  我們其實就可以完成這個《撒姆爾記》
[00:03:16.540 --> 00:03:20.780]  這本都挺長篇的書
[00:03:20.780 --> 00:03:23.260]  今天想跟大家講一個加油站
[00:03:23.260 --> 00:03:26.960]  就是《撒姆爾記》上第30章
[00:03:26.960 --> 00:03:30.680]  想和大家看看《撒姆爾記》上的結束
[00:03:30.680 --> 00:03:32.660]  我只是會讀六節
[00:03:32.660 --> 00:03:35.500]  但是我們會整個故事一起去看的
[00:03:35.500 --> 00:03:41.700]  因為講到大衛有一個非常沉重的事情在發生
[00:03:41.700 --> 00:03:45.240]  他已經被數羅追逼了很多年
[00:03:45.240 --> 00:03:47.780]  已經是走投無路
[00:03:47.780 --> 00:03:51.340]  但是現在屋漏兼逢夜雨
[00:03:51.340 --> 00:03:54.840]  現在亞馬遜人又殺到來了
[00:03:54.840 --> 00:03:58.920]  《撒姆爾記》上第30章第一節這麼說
[00:03:58.920 --> 00:04:04.300]  第三天大衛和他的人到了洗格拉
[00:04:04.300 --> 00:04:09.420]  亞馬遜人已經侵奪尼格夫和洗格拉
[00:04:09.420 --> 00:04:13.420]  他們攻破洗格拉用火焚燒
[00:04:13.420 --> 00:04:15.420]  就是大衛的大本營
[00:04:15.420 --> 00:04:20.560]  他們擄去城裡的婦女和城中的大小人口
[00:04:20.560 --> 00:04:22.260]  一個都沒有殺
[00:04:22.260 --> 00:04:25.380]  全都帶走他們就上路去了
[00:04:25.380 --> 00:04:28.100]  沒有殺不過全部都被你擄劫了
[00:04:28.100 --> 00:04:31.080]  大衛和他的人到了那城巷
