
[00:00:00.000 --> 00:00:01.000]  鄧英姊妹平安
[00:00:01.000 --> 00:00:04.000]  今天我們看到的經文
[00:00:04.000 --> 00:00:08.000]  在歷代至上二十一章一節至二十二章一節
[00:00:08.000 --> 00:00:11.000]  我想和大家分享一件事
[00:00:11.000 --> 00:00:16.000]  聖靈降臨節在復活節計起五十日
[00:00:16.000 --> 00:00:21.000]  當舊約的如意節之後的五十日
[00:00:21.000 --> 00:00:24.000]  即五巡節都是互相呼應的
[00:00:24.000 --> 00:00:27.000]  而五巡即是五十日的意思
[00:00:27.000 --> 00:00:29.000]  主耶穌曾經應許
[00:00:29.000 --> 00:00:32.000]  當聖天之後聖靈就會降臨
[00:00:32.000 --> 00:00:37.000]  而聖靈剛好就是在當時五巡節那天降臨
[00:00:37.000 --> 00:00:40.000]  今天的聖靈降臨節是哪一天
[00:00:40.000 --> 00:00:41.000]  就是今天
[00:00:41.000 --> 00:00:43.000]  就是五月十九日
[00:00:43.000 --> 00:00:44.000]  今年就是這一天
[00:00:44.000 --> 00:00:45.000]  就是今天
[00:00:45.000 --> 00:00:50.000]  新約裏面使徒行轉第二章提到五巡節
[00:00:50.000 --> 00:00:55.000]  因為當時聖靈在那天降臨在信徒身上
[00:00:55.000 --> 00:00:58.000]  教會就在那時候被建立起來了
[00:00:58.000 --> 00:01:00.000]  所以對於我們來說
[00:01:00.000 --> 00:01:04.000]  五巡節都是一個最大的應許和喜樂
[00:01:04.000 --> 00:01:05.000]  是甚麼呢
[00:01:05.000 --> 00:01:08.000]  就是我們能夠去愛教會
[00:01:08.000 --> 00:01:12.000]  因為教會就是上帝同在最大的憑證
[00:01:12.000 --> 00:01:15.000]  至於教會裏面有多少人一起聚集
[00:01:15.000 --> 00:01:19.000]  並不會影響到神愛祂的子民的程度
[00:01:19.000 --> 00:01:23.000]  神愛人並不會局限在這個建築物裏面
[00:01:23.000 --> 00:01:25.000]  即使是一群信徒
[00:01:25.000 --> 00:01:29.000]  身處一個任何一個地方一起敬拜
[00:01:29.000 --> 00:01:33.000]  都不會被人數的影響而覺得很自卑
[00:01:33.000 --> 00:01:36.000]  或者覺得很驕傲
[00:01:36.000 --> 00:01:38.000]  很自豪尖尖自喜
[00:01:38.000 --> 00:01:39.000]  不會的
[00:01:39.000 --> 00:01:44.000]  反而我們是應該要更加謙卑地去愛神愛人
[00:01:44.000 --> 00:01:50.000]  我們進入經文之前我們有一個禱告
[00:01:50.000 --> 00:01:52.000]  親愛天父
[00:01:52.000 --> 00:01:56.000]  祢賜我們有屬靈的眼光
[00:01:56.000 --> 00:02:00.000]  也感謝祢賜給我們有教會
[00:02:00.000 --> 00:02:03.000]  讓我們可以聚集一起去敬拜祢
[00:02:03.000 --> 00:02:04.000]  聆聽祢的話語
[00:02:04.000 --> 00:02:06.000]  求聖靈充滿我們
[00:02:06.000 --> 00:02:10.000]  讓我們學習懂得去謙卑去待人
[00:02:10.000 --> 00:02:14.000]  做一位合神心意的信徒去榮耀祢的名
[00:02:14.000 --> 00:02:17.000]  求主帶領今天要我們學習的地方
[00:02:17.000 --> 00:02:18.000]  我們感謝祢
[00:02:18.000 --> 00:02:20.000]  祈禱奉主耶穌基督的名祈求
[00:02:20.000 --> 00:02:22.000]  阿們
[00:02:22.000 --> 00:02:29.000]  今天的題目是驕傲的代價與上帝的憐憫
[00:02:29.000 --> 00:02:31.000]  會分開三個重點
[00:02:31.000 --> 00:02:33.000]  和大家一起去學習一下
[00:02:33.000 --> 00:02:36.000]  第一個是權力充分頭腦
[00:02:36.000 --> 00:02:39.000]  第二個是數點民數受罰
[00:02:39.000 --> 00:02:43.000]  然後就是悔改哀求憐憫
[00:02:43.000 --> 00:02:45.000]  今天分享的經文
[00:02:45.000 --> 00:02:49.000]  都是有關於大衛數點以色列民日
[00:02:49.000 --> 00:02:53.000]  大衛在《使徒行傳》十三章二十二節
[00:02:53.000 --> 00:02:56.000]  他被稱為一位合神心意的人
[00:02:56.000 --> 00:03:00.000]  凡事都遵行神的旨意去做
[00:03:00.000 --> 00:03:03.000]  他給人的印象就是依靠上帝
[00:03:03.000 --> 00:03:05.000]  是一個很優秀的勇士
[00:03:05.000 --> 00:03:07.000]  也是一個音樂家
[00:03:07.000 --> 00:03:10.000]  並且他也是一位私人
[00:03:10.000 --> 00:03:12.000]  但在大衛的生命中
[00:03:12.000 --> 00:03:15.000]  其實也犯過錯
[00:03:15.000 --> 00:03:18.000]  例如他霸佔別人的妻子
[00:03:18.000 --> 00:03:20.000]  去殺害別人的丈夫
[00:03:20.000 --> 00:03:22.000]  去藐視耶和華的命令
[00:03:22.000 --> 00:03:25.000]  今天我和大家分享的經文
[00:03:25.000 --> 00:03:27.000]  都是有關大衛的
[00:03:27.000 --> 00:03:29.000]  今次他因為數點民數
