
[00:00:00.000 --> 00:00:01.220]  開始一個新的講道系列
[00:00:01.220 --> 00:00:02.680]  就是講什麼呢?就是講到
[00:00:02.680 --> 00:00:04.680]  不着這地
[00:00:04.680 --> 00:00:06.600]  爲什麼會講這個題目呢?
[00:00:06.600 --> 00:00:09.000]  首先,今天第一個題目是講團結起來
[00:00:09.000 --> 00:00:11.640]  我相信我們大家都知道
[00:00:11.640 --> 00:00:13.400]  團結就是力量的
[00:00:13.400 --> 00:00:14.120]  是不是?
[00:00:14.120 --> 00:00:15.760]  團結就是力量
[00:00:15.760 --> 00:00:16.760]  那問題是
[00:00:16.760 --> 00:00:19.560]  什麼會令到我們會團結在一起呢?
[00:00:19.560 --> 00:00:21.000]  通常是兩樣東西
[00:00:21.000 --> 00:00:22.480]  第一是什麼呢?
[00:00:22.480 --> 00:00:25.920]  當我們遇到危難、遇到危險
[00:00:25.920 --> 00:00:27.720]  譬如說有人來拆教會
[00:00:28.120 --> 00:00:30.240]  我們的十字架太小了,可能沒人拆了
[00:00:30.240 --> 00:00:31.760]  拆教會
[00:00:31.760 --> 00:00:33.760]  不行,這是我們的教會
[00:00:33.760 --> 00:00:36.240]  我們一定要團結起來
[00:00:36.240 --> 00:00:38.880]  面對這個危機
[00:00:38.880 --> 00:00:39.920]  有苦難的時間
[00:00:39.920 --> 00:00:41.240]  通常我們都會團結
[00:00:41.240 --> 00:00:43.440]  無論教會也好,家庭也好,都是這樣
[00:00:43.440 --> 00:00:44.960]  有問題出現的時間
[00:00:44.960 --> 00:00:46.400]  我們就會團結在一起
[00:00:46.400 --> 00:00:48.520]  去應付這些難處
[00:00:48.520 --> 00:00:50.480]  那另外一個呢?
[00:00:50.480 --> 00:00:52.160]  令我們團結的是什麼呢?
[00:00:52.160 --> 00:00:53.960]  當我們見到一個異象
[00:00:53.960 --> 00:00:55.360]  一個挑戰
[00:00:55.360 --> 00:00:57.400]  一個目標,都是大家認同的
[00:00:57.600 --> 00:00:59.800]  爲了我們去達到這個目標
[00:00:59.800 --> 00:01:01.520]  爲了我們去完成這個異象
[00:01:01.520 --> 00:01:03.720]  於是我們能夠團結起來
[00:01:03.720 --> 00:01:06.080]  一起去做好這個工作
[00:01:06.080 --> 00:01:08.400]  問題是什麼呢?
[00:01:08.400 --> 00:01:11.560]  問題是,無論這是危難也好
[00:01:11.560 --> 00:01:14.080]  或者是異象挑戰也好
