
[00:00:00.000 --> 00:00:02.040]  好,讓我們一起聆聽主導而先,
[00:00:02.040 --> 00:00:03.580]  讓我們一起同心先禱告,
[00:00:03.580 --> 00:00:05.540]  讓我們一起同心低頭禱告。
[00:00:05.540 --> 00:00:10.140]  天父,多謝祢讓我們可以回來,
[00:00:10.140 --> 00:00:13.480]  再次去一起打開祢的說話,
[00:00:13.480 --> 00:00:15.860]  去明白當中祢的教導,
[00:00:15.860 --> 00:00:17.760]  祢的啟示。
[00:00:17.760 --> 00:00:22.500]  藉著愛之耶穌基督在居地上的工作,
[00:00:22.500 --> 00:00:25.500]  讓我們看到今天我們如何學校,
[00:00:25.500 --> 00:00:28.160]  在我們侍奉的當中。
[00:00:28.160 --> 00:00:30.060]  求祢與我們同在,
[00:00:30.060 --> 00:00:33.200]  讓無論聽的、說的,
[00:00:33.200 --> 00:00:36.440]  都同樣在主祢的教導當中,
[00:00:36.440 --> 00:00:37.880]  同蒙恩福。
[00:00:37.880 --> 00:00:39.180]  多謝祢,
[00:00:39.180 --> 00:00:40.640]  去同心的禱告,
[00:00:40.640 --> 00:00:42.680]  奉靠主耶穌基督,
[00:00:42.680 --> 00:00:44.680]  得聖的名字而求。
[00:00:44.680 --> 00:00:46.720]  阿們。
[00:00:46.720 --> 00:00:51.420]  如果大家還記得在我們去看《馬太福音》的時候,
[00:00:51.420 --> 00:00:54.560]  在《馬太福音》的第五章,
[00:00:54.560 --> 00:00:57.220]  在第八節裡面,
[00:00:57.220 --> 00:00:59.500]  這段是我們很熟悉的經文,
[00:00:59.500 --> 00:01:02.340]  叫做《八福》的經文當中,
[00:01:02.340 --> 00:01:04.500]  有一句這樣的經文記載的,
[00:01:04.500 --> 00:01:05.340]  它說:
[00:01:05.340 --> 00:01:07.840]  「清心的人有福了,
[00:01:07.840 --> 00:01:12.040]  因為他們必得見神。」
[00:01:12.040 --> 00:01:14.420]  究竟什麼叫做清心呢?
[00:01:14.420 --> 00:01:17.320]  怎樣才可以叫做清心呢?
[00:01:17.320 --> 00:01:19.540]  什麼人才可以做到清心?
[00:01:19.540 --> 00:01:22.880]  或者我們怎樣可以做到清心呢?
[00:01:22.880 --> 00:01:26.620]  於是乎就有很多不同的哲學、哲理,
[00:01:26.620 --> 00:01:31.700]  我們去嘗試去掌握什麼叫做清心。
[00:01:31.700 --> 00:01:34.540]  不過我不知道大家有沒有一個同感,
[00:01:34.540 --> 00:01:38.740]  就是要保持一份所謂清心,
[00:01:38.740 --> 00:01:40.740]  pure 的 heart,
[00:01:40.740 --> 00:01:42.740]  其實是一件很大的學問,
[00:01:42.740 --> 00:01:46.140]  不是說單三言兩語用兩句說話,
[00:01:46.140 --> 00:01:49.420]  或者用一個的方程式,
[00:01:49.420 --> 00:01:52.820]  就可以透露或者去做得到的。
[00:01:52.820 --> 00:02:02.960]  因為尤其是清心這東西是經常受著很多不同類型的事物去影響和挑戰我們。
