
[00:00:00.000 --> 00:00:05.400]  我先和大家簡單交代一下這段經文的背景
[00:00:05.400 --> 00:00:09.040]  先簡單跟大家交代一下這段經文的背景
[00:00:09.040 --> 00:00:11.840]  摩西帶領以色列人出了埃及之後
[00:00:11.840 --> 00:00:14.640]  就在河東區駐紮
[00:00:14.640 --> 00:00:17.760]  摩西帶領以色列人出了埃及之後
[00:00:17.760 --> 00:00:19.880]  就在河東區駐紮
[00:00:19.880 --> 00:00:21.440]  沒多久就死了
[00:00:21.440 --> 00:00:22.720]  沒多久就死掉了
[00:00:22.720 --> 00:00:27.040]  就由約書亞帶領以色列人進入了迦南地
[00:00:27.040 --> 00:00:30.480]  就由約書亞帶領以色列人進入了迦南地
[00:00:30.480 --> 00:00:32.880]  在順利分地之後
[00:00:32.880 --> 00:00:35.040]  約書亞也離開了世界
[00:00:35.040 --> 00:00:37.480]  在順利分地之後
[00:00:37.480 --> 00:00:39.640]  約書亞都離開了回到神的家
[00:00:39.640 --> 00:00:41.760]  以色列人的歷史就開始進入了
[00:00:41.760 --> 00:00:46.320]  大概二百多年的士司管治時期
[00:00:46.320 --> 00:00:48.440]  結果以色列人的歷史就進入到了
[00:00:48.440 --> 00:00:50.840]  兩百多年的士司的管理時代
[00:00:50.840 --> 00:00:52.520]  士司是一個制度
[00:00:52.520 --> 00:00:54.120]  士司是一個制度
[00:00:54.120 --> 00:00:57.960]  就是由上帝差派的士司去管治以色列人
[00:00:57.960 --> 00:01:01.640]  就由上帝差派一些士司來管理以色列人
[00:01:01.640 --> 00:01:03.680]  士司的職責有三樣
[00:01:03.680 --> 00:01:05.560]  士司的職責有三樣
[00:01:05.560 --> 00:01:08.360]  第一就是管治百姓的行政長官
[00:01:08.360 --> 00:01:10.440]  就是管理百姓的行政長官
[00:01:10.440 --> 00:01:13.720]  第二就是審理民間案件的法官
[00:01:13.720 --> 00:01:16.800]  第二就是審理民間案件的法官
[00:01:16.800 --> 00:01:22.960]  最後就是一個帶領軍隊打仗的三軍司令
[00:01:22.960 --> 00:01:27.240]  第三就是帶領群眾打仗的一個三軍司令
[00:01:27.240 --> 00:01:32.880]  薩姆爾和兩個兒子是最後一個階段的一批士司
[00:01:32.880 --> 00:01:37.320]  薩姆爾和他兩個兒子就是最後一批的士司
[00:01:37.320 --> 00:01:39.120]  我們進入經文第一節
[00:01:39.120 --> 00:01:40.520]  我們進入經文第一節
