
[00:00:00.000 --> 00:00:04.900]  在今天想到和大家分享什麼的時候
[00:00:04.900 --> 00:00:08.400]  就很自然想到今年我們的標題
[00:00:08.400 --> 00:00:13.600]  大家都看到「裝備聖徒,共建神家」
[00:00:13.600 --> 00:00:17.400]  我們今年是很希望鼓勵弟兄姊妹
[00:00:17.400 --> 00:00:19.100]  去考慮一下
[00:00:19.100 --> 00:00:24.500]  就是我們幫忙建立一些門徒
[00:00:24.500 --> 00:00:29.900]  建立門徒不是一些節目
[00:00:29.900 --> 00:00:33.100]  乃是建立生命
[00:00:33.100 --> 00:00:36.400]  首先我們自己先建立生命
[00:00:36.400 --> 00:00:39.600]  然後一代一代傳下去
[00:00:39.600 --> 00:00:43.200]  我們都在討論應該怎麼做
[00:00:43.200 --> 00:00:46.800]  當我將來告訴大家的時候
[00:00:46.800 --> 00:00:49.300]  希望大家都能夠參加
[00:00:49.300 --> 00:00:54.900]  這個建立生命的一個事工
[00:00:54.900 --> 00:00:57.600]  這段日子也是我想到教會
[00:00:57.600 --> 00:01:01.500]  面臨一個相當大的問題
[00:01:01.500 --> 00:01:04.300]  就是我們要建堂
[00:01:04.300 --> 00:01:06.700]  我們要求問神的心意
[00:01:06.700 --> 00:01:09.900]  在建這麼大的堂
[00:01:09.900 --> 00:01:12.500]  動用這麼多的資金的時候
[00:01:12.500 --> 00:01:14.200]  神的心意是怎樣
[00:01:14.200 --> 00:01:16.600]  我們求神感動弟兄姊妹
[00:01:16.600 --> 00:01:20.500]  一起去求問神的心意
[00:01:20.500 --> 00:01:23.900]  而我找了一段經文在《心靈記》裡面
[00:01:23.900 --> 00:01:29.700]  他們也有相關的一些訊息
[00:01:29.700 --> 00:01:32.700]  在《心靈記》
[00:01:32.700 --> 00:01:34.700]  就是我今天會和大家分享的
[00:01:34.700 --> 00:01:38.200]  第三十一章一到五節
[00:01:38.200 --> 00:01:45.200]  《心靈記》三十三章第一到五節
[00:01:45.200 --> 00:01:48.200]  為什麼《心靈記》這麼重要呢
[00:01:48.200 --> 00:01:53.700]  因為以色列人他們準備入迦南美地
[00:01:53.700 --> 00:01:58.200]  到約旦河去到迦南美地之前
[00:01:58.200 --> 00:02:00.800]  其實他們在曠野裡面
[00:02:00.800 --> 00:02:02.900]  他們有很多東西要學
[00:02:02.900 --> 00:02:07.700]  以致他們準備好入到迦南
[00:02:07.700 --> 00:02:10.100]  他們入迦南的時候
[00:02:10.100 --> 00:02:12.100]  面對很多的困難
[00:02:12.100 --> 00:02:13.700]  摩西是知道的
[00:02:13.700 --> 00:02:19.100]  所以摩西在摩亞平原那裡
[00:02:19.100 --> 00:02:23.100]  這個摩亞平原就是約旦河一路流
[00:02:23.100 --> 00:02:26.900]  流向南邊去到死海那裡
