
[00:00:00.000 --> 00:00:02.940]  其實聖經裏面主耶穌一早已經說了
[00:00:02.940 --> 00:00:04.700]  當主耶穌回來之前
[00:00:04.700 --> 00:00:10.660]  仍然會有很多地震、戰爭、饑荒
[00:00:10.660 --> 00:00:14.560]  很多所謂天災、人禍會發生
[00:00:14.560 --> 00:00:19.020]  而且這個發生的頻率會越來越密
[00:00:19.020 --> 00:00:20.640]  所以過去十多年
[00:00:20.640 --> 00:00:23.640]  我們會覺得可能現在我們的資訊發達
[00:00:23.640 --> 00:00:28.200]  很快知道這個世界每一個角落發生什麼事
[00:00:28.200 --> 00:00:30.720]  但相對之下我們也看得到
[00:00:30.720 --> 00:00:36.200]  過去十多二十年裏面地震的頻率
[00:00:36.200 --> 00:00:38.980]  甚至是嚴重地震的頻率
[00:00:38.980 --> 00:00:43.580]  是真的多過過去五十年的總和
[00:00:43.580 --> 00:00:49.560]  我們過去很少聽到8.1、7.9這些地震
[00:00:49.560 --> 00:00:52.280]  甚至海嘯也很少
[00:00:52.280 --> 00:00:55.280]  在我自己的成長裏面
[00:00:55.280 --> 00:00:56.640]  到了現在六十多歲
[00:00:56.640 --> 00:00:58.600]  我也是十多二十年前
[00:00:58.600 --> 00:01:03.960]  南亞海嘯才第一次看到海嘯的威力
[00:01:03.960 --> 00:01:09.140]  去到今次日本的3.11的威力
[00:01:09.140 --> 00:01:12.380]  所以我們看到不同的時段
[00:01:12.380 --> 00:01:15.640]  我們看到很多天災人禍
[00:01:15.640 --> 00:01:18.040]  這也是給我們一個提醒
[00:01:18.040 --> 00:01:22.480]  今天你和我可以有生命有氣息
[00:01:22.480 --> 00:01:26.800]  今天你和我仍然可以在社會那邊工作
[00:01:26.800 --> 00:01:29.480]  可以去敬拜神
[00:01:29.480 --> 00:01:32.040]  回到教會可以敬拜我們的天父
[00:01:32.040 --> 00:01:34.520]  我們可以用詩歌來讚美我們的天父
[00:01:34.520 --> 00:01:37.240]  用我們的聲音來讚美我們的天父
[00:01:37.240 --> 00:01:40.000]  其實真的不是偶然的
[00:01:40.000 --> 00:01:41.880]  我經常覺得並不是偶然
[00:01:41.880 --> 00:01:44.720]  因為現在看回全世界
[00:01:44.720 --> 00:01:49.520]  甚至我們香港很多人的病
[00:01:49.520 --> 00:01:54.400]  現在已經是無分年齡的界線
[00:01:54.400 --> 00:01:57.400]  我們看到一個小朋友幾歲
[00:01:57.400 --> 00:01:58.880]  因為心臟的問題
[00:01:58.880 --> 00:02:01.560]  也可以在家裏面離開世界
[00:02:01.560 --> 00:02:05.120]  我們看到前幾天星期三的教會祈禱會
[00:02:05.120 --> 00:02:07.560]  甚至昨天的崇拜裏面
[00:02:07.560 --> 00:02:11.800]  我們也看到一些很年輕的病患者
[00:02:11.800 --> 00:02:14.120]  他們二十多三十歲
[00:02:14.120 --> 00:02:17.600]  已經可能是一個癌症末期的裏面
[00:02:17.600 --> 00:02:19.600]  所以我們看到
[00:02:19.600 --> 00:02:23.120]  原來這個世界所面對的事情
[00:02:23.120 --> 00:02:24.400]  再回到今天
[00:02:24.400 --> 00:02:26.720]  原來我們今天能夠有生命氣息
[00:02:26.720 --> 00:02:28.600]  真的不是偶然
[00:02:28.600 --> 00:02:32.440]  也是求主給我們帶著感恩的心
[00:02:32.440 --> 00:02:35.720]  來過每一天的生活
[00:02:35.720 --> 00:02:38.880]  《詩篇》二十三篇是我們比較熟悉的一首詩篇
[00:02:38.880 --> 00:02:40.000]  《詩篇》二十三篇很多時候
[00:02:40.000 --> 00:02:42.680]  就算我們未信耶穌的時候
[00:02:42.680 --> 00:02:46.600]  我們或多或少都會背誦這篇詩篇
[00:02:46.600 --> 00:02:47.680]  如果嚴格來說
[00:02:47.680 --> 00:02:49.240]  我們看回《詩篇》二十三篇
[00:02:49.240 --> 00:02:52.800]  可以說是一隻羊的獨白
[00:02:52.800 --> 00:02:55.840]  一隻羊如何感受到一個牧羊人
[00:02:55.840 --> 00:02:58.640]  對他的鼓勵、對他的教導
[00:02:58.640 --> 00:03:01.120]  對他的帶領、對他的餵養
