
[00:00:00.000 --> 00:00:05.400]  廣播系列是活在水深火熱的環境當中
[00:00:05.400 --> 00:00:07.200]  為什麼要講這個題目呢?
[00:00:07.200 --> 00:00:09.200]  因為基督徒是要常作準備
[00:00:09.200 --> 00:00:11.400]  耶穌早就提醒我們
[00:00:11.400 --> 00:00:13.600]  因為在末世生活的時候
[00:00:13.600 --> 00:00:15.800]  我們時時都會遇到苦難
[00:00:15.800 --> 00:00:18.000]  所以我們要時時做好準備
[00:00:18.000 --> 00:00:19.800]  不單止耶穌是這樣教導我們的
[00:00:19.800 --> 00:00:22.000]  事實上耶穌的門徒
[00:00:22.000 --> 00:00:24.800]  約翰、彼得、保羅
[00:00:24.800 --> 00:00:29.200]  都在不同的書卷當中提醒我們要做好準備
[00:00:29.200 --> 00:00:31.800]  為什麼要強調要做好準備
[00:00:31.800 --> 00:00:34.200]  讓那些不利的環境
[00:00:34.200 --> 00:00:35.800]  出現在我們當中的時候
[00:00:35.800 --> 00:00:37.800]  我們能夠站立得住呢?
[00:00:37.800 --> 00:00:38.800]  理由很簡單
[00:00:38.800 --> 00:00:40.200]  你不準備的話
[00:00:40.200 --> 00:00:42.600]  人在情急的時候
[00:00:42.600 --> 00:00:44.400]  就會亂做事
[00:00:44.400 --> 00:00:47.200]  很多時候在危難當中
[00:00:47.200 --> 00:00:49.400]  可能我們就像彼得一樣
[00:00:49.400 --> 00:00:52.600]  我們會否定我們的信仰
[00:00:52.600 --> 00:00:54.600]  甚至好像彼得一樣
[00:00:54.600 --> 00:00:58.200]  三次不認耶穌基督
[00:00:58.200 --> 00:00:59.600]  其實我在想
[00:00:59.600 --> 00:01:01.200]  彼得三次不認耶穌基督
[00:01:01.200 --> 00:01:03.200]  不知道我們有沒有試過呢?
[00:01:03.200 --> 00:01:04.200]  我在想
[00:01:04.200 --> 00:01:07.000]  如果彼得在那個時候
[00:01:07.000 --> 00:01:09.200]  不是一個人在課堂裡
[00:01:09.200 --> 00:01:10.800]  被人挑戰他
[00:01:10.800 --> 00:01:13.400]  如果有其他基督徒陪著他的時候
[00:01:13.400 --> 00:01:15.000]  情況會不會好一點呢?
[00:01:15.000 --> 00:01:17.000]  他會不會能夠站立得穩呢?
[00:01:17.000 --> 00:01:19.000]  他會不會在那個時候
[00:01:19.000 --> 00:01:22.400]  不會否認耶穌基督三次呢?
[00:01:22.400 --> 00:01:27.400]  當然我這個假設是沒辦法去印證的
[00:01:27.400 --> 00:01:33.200]  不過我們看到當耶穌復活升天之後
[00:01:33.200 --> 00:01:36.800]  基督徒事實上是面對很多的挑戰
[00:01:36.800 --> 00:01:38.400]  甚至困難
[00:01:38.400 --> 00:01:40.400]  甚至是壓迫的
[00:01:40.400 --> 00:01:42.000]  但是由於基督徒在那個時候
[00:01:42.000 --> 00:01:43.800]  他們經常聚在一起
[00:01:43.800 --> 00:01:45.800]  去祈禱、去敬拜
[00:01:45.800 --> 00:01:48.600]  去思想神的說話
[00:01:48.600 --> 00:01:50.200]  當他們再遇到一些難處
[00:01:50.200 --> 00:01:52.000]  挑戰和困難的時候
[00:01:52.000 --> 00:01:54.600]  我們發覺他們真的能夠站立得穩
[00:01:54.600 --> 00:01:59.200]  我們發覺他們在這些種種不利的環境當中
[00:01:59.200 --> 00:02:01.000]  可以繼續去為主做見證
[00:02:01.000 --> 00:02:02.200]  傳福音
[00:02:02.200 --> 00:02:05.600]  完成天父上帝給他們的使命
[00:02:05.600 --> 00:02:08.800]  所以我們看到早期的基督徒
[00:02:08.800 --> 00:02:11.000]  當他們聚在一起成為教會的時候
[00:02:11.000 --> 00:02:15.600]  是帶著一種很大的屬靈的力量
[00:02:15.600 --> 00:02:17.800]  他們不單單是躲在家裡敬拜
[00:02:17.800 --> 00:02:20.200]  也不單單是在聖殿裡敬拜
[00:02:20.200 --> 00:02:22.200]  我相信早期的教會
[00:02:22.200 --> 00:02:24.800]  是經常活在人群當中
[00:02:24.800 --> 00:02:27.000]  在人群、在社會裡面來說
[00:02:27.000 --> 00:02:31.200]  早期的教會是成為一個有生命力
[00:02:31.200 --> 00:02:34.600]  能夠改變、影響社會
[00:02:34.600 --> 00:02:39.600]  能夠觸動人生命的一個屬靈的群體
[00:02:39.600 --> 00:02:42.800]  所以教會在那個時間裡面來說
[00:02:42.800 --> 00:02:44.400]  真的不簡單
[00:02:44.400 --> 00:02:45.800]  接下來這幾個星期
[00:02:45.800 --> 00:02:48.400]  剛剛說完活在水深火熱當中
[00:02:48.400 --> 00:02:52.800]  我們很希望有一個迷你系列,只有三堂
[00:02:52.800 --> 00:02:54.400]  在這三堂裡面來說
[00:02:54.400 --> 00:02:56.400]  我們希望挑戰大家
[00:02:56.400 --> 00:03:00.000]  Don't just go to church
[00:03:00.000 --> 00:03:03.000]  不要只是來參加教會的聚會
[00:03:03.000 --> 00:03:04.600]  Be the church
[00:03:04.600 --> 00:03:05.800]  要成為教會
[00:03:05.800 --> 00:03:08.200]  要成為一個有感染力
[00:03:08.200 --> 00:03:09.800]  能夠影響社區
[00:03:09.800 --> 00:03:14.000]  能夠觸動人生命的一個屬靈群體
[00:03:14.000 --> 00:03:15.600]  這是接下來這三個星期
[00:03:15.600 --> 00:03:19.600]  我們教睦同工會跟大家分享的一個題目
[00:03:19.600 --> 00:03:23.400]  但今早這個時間我們先說第一個
[00:03:23.400 --> 00:03:26.400]  Be the giver of your life
[00:03:26.400 --> 00:03:31.200]  將我們的生命完全奉獻給主耶穌基督
[00:03:31.200 --> 00:03:32.800]  牧師我們不是傳道人
[00:03:32.800 --> 00:03:34.000]  我不是宣教士
[00:03:34.000 --> 00:03:37.200]  我不是一個full time(全職)
[00:03:37.200 --> 00:03:39.400]  去為主作供的人
[00:03:39.400 --> 00:03:42.000]  我不是要呼召大家去做宣教士
[00:03:42.000 --> 00:03:44.000]  我不是要呼召大家去做傳道人
[00:03:44.000 --> 00:03:45.400]  事實上真是
[00:03:45.400 --> 00:03:47.600]  我們希望挑戰大家
[00:03:47.600 --> 00:03:49.200]  如果你說自己信耶穌
[00:03:49.200 --> 00:03:50.600]  你有guilt的話
[00:03:50.600 --> 00:03:51.600]  我們挑戰大家
[00:03:51.600 --> 00:03:55.800]  能夠將自己的生命完全奉獻給主
[00:03:55.800 --> 00:04:01.200]  做一個認真擁有基督生命的guilt
