
[00:00:00.000 --> 00:00:04.000]  剛才的詩歌是一首很好的詩歌
[00:00:04.000 --> 00:00:06.000]  很深遠的一首詩歌
[00:00:06.000 --> 00:00:09.000]  「成為你的相信」
[00:00:09.000 --> 00:00:13.000]  詩歌的幾節內容是觸動我的
[00:00:13.000 --> 00:00:17.000]  願詩恩的主憐憫你
[00:00:17.000 --> 00:00:20.000]  主念光輝引導你
[00:00:20.000 --> 00:00:24.000]  願主賦慈保守你
[00:00:24.000 --> 00:00:30.000]  願主聖靈常與你相伴
[00:00:30.000 --> 00:00:34.000]  願你一生盡心服侍愛主
[00:00:34.000 --> 00:00:41.000]  願你在天庭親瞻主聖容
[00:00:41.000 --> 00:00:44.000]  今個月是社關月
[00:00:44.000 --> 00:00:49.000]  我們曾經思想過什麼叫做福音
[00:00:49.000 --> 00:00:52.000]  在上週的主餐當中
[00:00:52.000 --> 00:00:55.000]  我們一同領受和思想
[00:00:55.000 --> 00:00:59.000]  什麼叫做整全的宣教使命
[00:00:59.000 --> 00:01:02.000]  整全的宣教使命強調
[00:01:02.000 --> 00:01:04.000]  耶穌基督的福音不單止
[00:01:04.000 --> 00:01:08.000]  是關乎人靈魂的依治
[00:01:08.000 --> 00:01:11.000]  也是關乎人的生理、心理
[00:01:11.000 --> 00:01:13.000]  和社會方面
[00:01:13.000 --> 00:01:17.000]  耶穌基督就是那位好榜樣
[00:01:17.000 --> 00:01:19.000]  祂曾經這樣教導
[00:01:19.000 --> 00:01:22.000]  祂說主的靈在我身上
[00:01:22.000 --> 00:01:24.000]  因為祂用高告我
[00:01:24.000 --> 00:01:27.000]  叫我傳福音給貧窮人
[00:01:27.000 --> 00:01:29.000]  差遣我宣告
[00:01:29.000 --> 00:01:32.000]  被老的得釋放
[00:01:32.000 --> 00:01:35.000]  失明的得罕見
[00:01:35.000 --> 00:01:37.000]  受壓迫的得自由
[00:01:37.000 --> 00:01:42.000]  宣告神越立人的欺憐
[00:01:42.000 --> 00:01:44.000]  耶穌基督不單止是
[00:01:44.000 --> 00:01:47.000]  人的靈魂的救贖主
[00:01:47.000 --> 00:01:51.000]  祂叫人從罪當中得釋放
[00:01:51.000 --> 00:01:55.000]  祂又醫治人的心靈
[00:01:55.000 --> 00:01:57.000]  人的身體
[00:01:57.000 --> 00:01:59.000]  祂關心貧窮的人
[00:01:59.000 --> 00:02:01.000]  被老的人
[00:02:01.000 --> 00:02:03.000]  受壓制的人
[00:02:03.000 --> 00:02:07.000]  所以祂關心的是人的整體
[00:02:07.000 --> 00:02:09.000]  Christopher Wright
[00:02:09.000 --> 00:02:11.000]  賴特
[00:02:11.000 --> 00:02:15.000]  他是福音派的一位聖經學者
[00:02:15.000 --> 00:02:21.000]  他是強調整全宣教的使命
[00:02:21.000 --> 00:02:24.000]  他認為整全的宣教使命
[00:02:24.000 --> 00:02:29.000]  是所有宣教模式的正確的一種
[00:02:29.000 --> 00:02:31.000]  意思就是說
[00:02:31.000 --> 00:02:34.000]  福音不單止關心人的靈魂的得救
[00:02:34.000 --> 00:02:37.000]  也會關心人的食物
[00:02:37.000 --> 00:02:39.000]  清潔的水、空氣
[00:02:39.000 --> 00:02:41.000]  基本的醫療
