
[00:00:00.000 --> 00:00:03.260]  今天是聖餐主日
[00:00:03.260 --> 00:00:11.080]  其實我們很多時候這個聖餐
[00:00:11.080 --> 00:00:16.760]  我們忘掉聖餐不是只是一個禮儀
[00:00:16.760 --> 00:00:21.360]  聖餐 聖經裡面很清楚的告訴我們說
[00:00:21.360 --> 00:00:24.000]  我們是在這個地方祭煉主
[00:00:24.000 --> 00:00:28.120]  那我們這樣祭煉主要祭煉到什麼時候呢
[00:00:30.480 --> 00:00:32.800]  要等到主再來的時候
[00:00:32.800 --> 00:00:37.960]  所以今天這段經文裡面就讓我們看見
[00:00:37.960 --> 00:00:42.480]  保羅對提多
[00:00:42.480 --> 00:00:47.520]  他前面第一節一直到第十節
[00:00:47.520 --> 00:00:49.760]  他在前面講什麼呢
[00:00:49.760 --> 00:00:52.360]  他告訴他提醒提多
[00:00:52.360 --> 00:00:56.360]  你要教導這些年輕的這些婦人
[00:00:56.960 --> 00:01:00.160]  連長的婦人他們應該怎麼樣應該怎麼樣
[00:01:00.160 --> 00:01:01.640]  所以他提醒提多
[00:01:01.640 --> 00:01:05.880]  講完這些之後接著他就講了這段話
[00:01:05.880 --> 00:01:09.680]  剛才我們讀的這段聖經
[00:01:09.680 --> 00:01:11.200]  他就講了這段話
[00:01:11.200 --> 00:01:17.360]  他說因為神救眾人的恩典已經顯明出來
[00:01:17.360 --> 00:01:23.560]  所以他首先講到神救眾人的恩典
[00:01:23.560 --> 00:01:24.520]  就是指的什麼呢
[00:01:24.760 --> 00:01:29.800]  就是指的耶穌基督祂為我們釘在十字架上面
[00:01:29.800 --> 00:01:32.680]  他流血捨身這一個恩典
[00:01:32.680 --> 00:01:35.920]  always記得 親愛的牛子們
[00:01:35.920 --> 00:01:39.240]  我們常常需要回到主耶穌
[00:01:39.240 --> 00:01:43.120]  祂為我們釘十字架救贖的恩典上面
[00:01:43.120 --> 00:01:45.280]  這是我們西洋的根基
