
[00:00:00.000 --> 00:00:04.800]  很感謝主讓我有機會在會點這裡
[00:00:04.800 --> 00:00:08.960]  在Pleasanton跟大家分享神的話語
[00:00:08.960 --> 00:00:12.000]  在過去幾個禮拜我身體有點軟弱
[00:00:12.000 --> 00:00:14.760]  每次以為好了
[00:00:14.760 --> 00:00:19.000]  但是手尾長還在拖
[00:00:19.000 --> 00:00:22.640]  所以請大家包容
[00:00:22.640 --> 00:00:26.600]  今天開始的時候我想問大家一個問題
[00:00:26.600 --> 00:00:28.400]  你不要開聲回答
[00:00:28.400 --> 00:00:29.760]  為什麼不要開聲回答呢?
[00:00:29.760 --> 00:00:34.400]  因為你的答案可能你說了出來會覺得尷尬
[00:00:34.400 --> 00:00:35.720]  所以你不要回答出來
[00:00:35.720 --> 00:00:38.600]  心裡面回答就可以了
[00:00:38.600 --> 00:00:40.000]  我問你
[00:00:40.000 --> 00:00:45.000]  你每個禮拜都來教會聽道
[00:00:45.000 --> 00:00:49.120]  一年你又聽了52篇道
[00:00:49.120 --> 00:00:53.000]  兩個禮拜放假你一年聽了50篇道
[00:00:53.000 --> 00:00:58.000]  你記得有多少呢?
[00:00:58.000 --> 00:00:59.200]  再簡單一點
[00:00:59.200 --> 00:01:02.200]  上個禮拜是復活主日
[00:01:02.200 --> 00:01:07.520]  你記得上個禮拜的編導說了些什麼嗎?
[00:01:07.520 --> 00:01:14.120]  你記不記得誰在那裡說道?
[00:01:14.120 --> 00:01:15.200]  很多時候我在想
[00:01:15.200 --> 00:01:17.800]  如果我們一個禮拜可以記得一句
[00:01:17.800 --> 00:01:20.320]  或者一個概念
[00:01:20.320 --> 00:01:26.000]  一年我就記得52句52個概念
[00:01:26.000 --> 00:01:28.200]  我們再進一步來說的時候
[00:01:28.200 --> 00:01:33.200]  如果我們有52個的思想在我們心裡面
[00:01:33.200 --> 00:01:37.200]  我們去實踐我們去走出來的時候
[00:01:37.200 --> 00:01:42.000]  我們生命會有多大的改變呢?
[00:01:42.000 --> 00:01:44.400]  我們每天應該做靈修的
[00:01:44.400 --> 00:01:46.200]  如果我們每天靈修的時候
[00:01:46.200 --> 00:01:50.000]  可以記得一樣東西的時候
[00:01:50.000 --> 00:01:55.800]  我們屬靈生命會有多大的長進呢?
[00:01:55.800 --> 00:02:01.000]  說到這裡大家可能覺得會灰心
[00:02:01.000 --> 00:02:04.000]  聽了聽了很多
[00:02:04.000 --> 00:02:07.400]  但是靈命一點長進都沒有
[00:02:07.400 --> 00:02:11.200]  我們年紀比較大一點就說
[00:02:11.200 --> 00:02:13.800]  我是個老人了
[00:02:13.800 --> 00:02:16.000]  我沒什麼記性
[00:02:16.000 --> 00:02:17.400]  所以聽了一些東西
[00:02:17.400 --> 00:02:20.200]  這裡聽了進去接著出去了
[00:02:20.200 --> 00:02:21.600]  我裡頭沒什麼的
[00:02:21.600 --> 00:02:22.800]  我年紀老了
[00:02:22.800 --> 00:02:27.000]  老人之外記不了多少
[00:02:27.000 --> 00:02:29.800]  但是自己知道自己的事
[00:02:29.800 --> 00:02:33.600]  很多時候這個只不過是一個藉口
[00:02:33.600 --> 00:02:36.400]  但是有些時候
[00:02:36.400 --> 00:02:38.400]  我們面對一些事情的時候
[00:02:38.400 --> 00:02:41.400]  突然間靈光一閃
[00:02:41.400 --> 00:02:44.000]  茅塞頓開
[00:02:44.000 --> 00:02:48.400]  好像突然間通了
[00:02:48.400 --> 00:02:50.800]  明白過來了
[00:02:50.800 --> 00:02:53.800]  原來我聽了這麼久
[00:02:53.800 --> 00:02:56.600]  牧師說了這麼久
[00:02:56.600 --> 00:02:58.000]  就是這樣的東西
[00:02:58.000 --> 00:03:00.600]  我明白了裡面的意思
[00:03:00.600 --> 00:03:02.400]  原來就是這麼簡單
[00:03:02.400 --> 00:03:05.200]  為什麼這麼久我都不明白呢?
[00:03:05.200 --> 00:03:08.200]  為什麼我這麼蠢呢?
[00:03:08.200 --> 00:03:09.600]  一燈一光
[00:03:09.600 --> 00:03:13.000]  什麼事都清楚了
[00:03:13.000 --> 00:03:15.600]  你有沒有這樣的經驗?
[00:03:15.600 --> 00:03:17.200]  我有
[00:03:17.200 --> 00:03:18.800]  有時候看聖經的時候
[00:03:18.800 --> 00:03:22.000]  看來看去就是這個意思
[00:03:22.000 --> 00:03:23.800]  但是過了一段時間
[00:03:23.800 --> 00:03:26.400]  一年五年十年
[00:03:26.400 --> 00:03:28.600]  再回去看的時候
[00:03:28.600 --> 00:03:30.200]  突然間明白了
[00:03:30.200 --> 00:03:34.400]  原來裡面是這樣的意思
[00:03:34.400 --> 00:03:35.800]  可能說到這裡
[00:03:35.800 --> 00:03:36.800]  牧師你這麼說
[00:03:36.800 --> 00:03:40.800]  我也覺得舒服一點
[00:03:40.800 --> 00:03:43.800]  原來我不是自己是這樣的
[00:03:43.800 --> 00:03:44.800]  我跟你說
[00:03:44.800 --> 00:03:45.800]  不單止我是這樣
[00:03:45.800 --> 00:03:47.800]  不單止你是這樣
[00:03:47.800 --> 00:03:50.800]  耶穌的門徒和我們都差不多
[00:03:50.800 --> 00:03:51.800]  你不要以為
[00:03:51.800 --> 00:03:54.800]  約翰彼得,聖約翰,聖彼得
[00:03:54.800 --> 00:03:56.800]  他們是聖人
[00:03:56.800 --> 00:03:58.800]  特別又可以什麼
[00:03:58.800 --> 00:04:01.800]  其實他們和我們差不多
[00:04:01.800 --> 00:04:04.800]  你看看聖經就可以看出來
[00:04:04.800 --> 00:04:08.800]  所以門徒和我站在一起的時候
[00:04:08.800 --> 00:04:10.800]  我也不怕認為
[00:04:10.800 --> 00:04:13.800]  我自己也不記得很多東西
[00:04:13.800 --> 00:04:15.800]  我們看看
[00:04:15.800 --> 00:04:18.800]  在馬太福音16章20節說
[00:04:18.800 --> 00:04:21.800]  耶穌帶門徒去以色列的最北邊
[00:04:21.800 --> 00:04:24.800]  一個地方叫蓋薩尼亞菲勒比
[00:04:24.800 --> 00:04:26.800]  當他去到的時候
[00:04:26.800 --> 00:04:29.800]  耶穌問門徒
[00:04:29.800 --> 00:04:32.800]  人家說我是誰
[00:04:32.800 --> 00:04:34.800]  門徒說
[00:04:34.800 --> 00:04:37.800]  我聽到有些人叫你施浸約翰
[00:04:37.800 --> 00:04:41.800]  有些人說你是先知以利亞
[00:04:41.800 --> 00:04:44.800]  有些人說你是先知耶利米
[00:04:44.800 --> 00:04:47.800]  這些都是偉大的人
[00:04:47.800 --> 00:04:50.800]  耶穌再問他們
[00:04:50.800 --> 00:04:52.800]  你們呢
[00:04:52.800 --> 00:04:53.800]  人家說我是誰
[00:04:53.800 --> 00:04:56.800]  你們說我是誰
[00:04:56.800 --> 00:04:59.800]  彼得爭著說
[00:04:59.800 --> 00:05:00.800]  大聲地回答
[00:05:00.800 --> 00:05:01.800]  你是基督
[00:05:01.800 --> 00:05:04.800]  你是永生神的兒子
