
[00:00:00.000 --> 00:00:05.240]  剛才詩歌是一首令你不禁從心底裡搖動的身體
[00:00:05.240 --> 00:00:07.740]  去到和應的一首美妙的詩歌
[00:00:07.740 --> 00:00:10.820]  表達出上帝給我們的賜福 何等的美好
[00:00:10.820 --> 00:00:14.140]  感謝神透過詩歌幫助我們去到祂的面前
[00:00:14.140 --> 00:00:15.980]  我們也一起去祈禱
[00:00:15.980 --> 00:00:17.720]  求神幫助我們去領受祂的話語
[00:00:17.720 --> 00:00:21.400]  以致能夠在祂的關係裡領受各樣的恩典
[00:00:21.400 --> 00:00:22.920]  我們一起去祈禱
[00:00:22.920 --> 00:00:29.400]  天父使的 一切你所賜的都是美好
[00:00:29.400 --> 00:00:32.700]  我們只求祢用祢的話語擦亮我們的眼睛
[00:00:32.700 --> 00:00:35.860]  好讓我們看到祢自己的美善
[00:00:35.860 --> 00:00:39.040]  祢的榮耀彰顯 又塗鑿我們的生命
[00:00:39.040 --> 00:00:41.980]  好讓我們可以將自己獻情作為活祭
[00:00:41.980 --> 00:00:44.920]  討祢的喜悅 又在世上作祢的見證
[00:00:44.920 --> 00:00:47.180]  同心將以下的時間仰望
[00:00:47.180 --> 00:00:50.820]  向主祈求 奉耶穌的名 阿們
[00:00:50.820 --> 00:00:53.020]  好 我請大家翻開剛才所讀的聖經
[00:00:53.020 --> 00:00:57.060]  在舊約的第131-32頁的《釵及記》
[00:00:57.060 --> 00:00:59.460]  33章的經文
[00:00:59.460 --> 00:01:08.000]  思想到這段聖經裡 上帝的經歷的時候
[00:01:08.000 --> 00:01:11.380]  特別是上個星期我們看32章裡
[00:01:11.380 --> 00:01:13.300]  以色人撥逆的那段經歷
[00:01:13.300 --> 00:01:16.940]  讓我想起一個香港的情況
[00:01:16.940 --> 00:01:19.180]  第一個類比
[00:01:19.180 --> 00:01:21.540]  香港樓價高企
[00:01:21.540 --> 00:01:22.780]  高到什麼地步
[00:01:22.780 --> 00:01:25.380]  早前說連深水埗也有些地方
[00:01:25.380 --> 00:01:27.540]  三萬元一呎
[00:01:27.540 --> 00:01:30.300]  你們聽到心都寒了
[00:01:30.300 --> 00:01:32.140]  不過依然有很多父母
[00:01:32.140 --> 00:01:33.620]  盡了一切的努力
[00:01:33.620 --> 00:01:35.780]  為了幫子女上車的緣故
[00:01:35.780 --> 00:01:38.740]  就將許休金 棺材本都拿出來
[00:01:38.740 --> 00:01:40.340]  幫子女上車
[00:01:40.340 --> 00:01:42.700]  就給了很大筆的首期
[00:01:42.700 --> 00:01:44.780]  假定如果有一個父母
[00:01:44.780 --> 00:01:46.900]  他幫子女給了首期之後
[00:01:46.900 --> 00:01:48.660]  簽了買賣合約
[00:01:48.660 --> 00:01:51.940]  接著子女有一個很撥逆的行為 很不孝
[00:01:51.940 --> 00:01:55.900]  你想像一下這對父母傷不傷心 傷心
[00:01:55.900 --> 00:01:59.180]  很大的禮物去送給他 去幫助他
[00:01:59.180 --> 00:02:04.780]  但是卻是不重視這個親情的關係 傷心
[00:02:04.780 --> 00:02:07.540]  但是相比於以色列人
