
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹 朋友 大家好
[00:00:03.000 --> 00:00:05.000]  我好多謝神
[00:00:05.000 --> 00:00:07.000]  亦都多謝林誠信牧師
[00:00:07.000 --> 00:00:09.000]  給我機會同大家分享
[00:00:09.000 --> 00:00:14.000]  我對那幅堂不是最認識
[00:00:14.000 --> 00:00:18.000]  不過我好多謝你們前任的吳忠文牧師
[00:00:18.000 --> 00:00:20.000]  他曾經幫過我們北約建堂
[00:00:20.000 --> 00:00:24.000]  有一次我們來到香港有個儀仗分享會
[00:00:24.000 --> 00:00:27.000]  吳牧師都有參與 為我們祝福
[00:00:27.000 --> 00:00:29.000]  特別多謝蔣麗萍姊妹
[00:00:29.000 --> 00:00:34.000]  她親臨去過多倫多北約
[00:00:34.000 --> 00:00:37.000]  幫我們建堂籌款
[00:00:37.000 --> 00:00:40.000]  當時她要分享她的全方負擔
[00:00:40.000 --> 00:00:43.000]  後來結果就開始了愛基金事工
[00:00:43.000 --> 00:00:47.000]  我們教會都好多人參與過愛基金事工
[00:00:47.000 --> 00:00:51.000]  真的很感恩 為弟兄姊妹感恩
[00:00:51.000 --> 00:00:55.000]  你們很有全方負擔 個個月都有方崇拜
[00:00:55.000 --> 00:00:57.000]  我們真的很佩服你們
[00:00:57.000 --> 00:01:00.000]  我們中間有沒有人去過多倫多
[00:01:00.000 --> 00:01:03.000]  有呀 好多人
[00:01:03.000 --> 00:01:05.000]  你有親戚朋友住在那裏嗎
[00:01:05.000 --> 00:01:07.000]  都有
[00:01:07.000 --> 00:01:12.000]  多倫多是加拿大最多廣東人的城市
[00:01:12.000 --> 00:01:14.000]  比溫哥華還多
[00:01:14.000 --> 00:01:19.000]  多倫多好多港式餐館
[00:01:19.000 --> 00:01:23.000]  好多茶樓 好多粵菜
[00:01:23.000 --> 00:01:29.000]  我們多倫多人跟香港人都好多關係
[00:01:29.000 --> 00:01:31.000]  我們都好關心香港
[00:01:31.000 --> 00:01:33.000]  譬如沙士的時候
[00:01:33.000 --> 00:01:37.000]  或者在疫情的時候
[00:01:37.000 --> 00:01:42.000]  或者是最近你們逮捕黃福遠的大火
[00:01:42.000 --> 00:01:44.000]  好多人喪命
[00:01:44.000 --> 00:01:47.000]  好多人失去他們的親人 失去家園
[00:01:47.000 --> 00:01:52.000]  整個香港都好似被黑雲遮蓋著
[00:01:52.000 --> 00:01:56.000]  我們知道全香港的人都好悲傷難過
[00:01:56.000 --> 00:02:04.000]  其實我們在多倫多的廣東人都感同身受
[00:02:04.000 --> 00:02:10.000]  現在我知道香港政府好多慈善團體和教會
[00:02:10.000 --> 00:02:12.000]  我看到你們教會都有
[00:02:12.000 --> 00:02:16.000]  都是繼續關心越南的人
[00:02:16.000 --> 00:02:19.000]  要幫助受影響的家庭
[00:02:19.000 --> 00:02:22.000]  真是我們都感恩
[00:02:22.000 --> 00:02:26.000]  都為黃福遠那些災民繼續祈禱
[00:02:26.000 --> 00:02:31.000]  這個世界其實是好多各種各樣的災難
[00:02:31.000 --> 00:02:35.000]  時不時就有巨風又來
[00:02:35.000 --> 00:02:38.000]  一陣又說地震 一陣又說海嘯
[00:02:38.000 --> 00:02:41.000]  而且好多地方有戰爭
[00:02:41.000 --> 00:02:43.000]  我們其實活在這個世界上
[00:02:43.000 --> 00:02:49.000]  好多好多的情況使你很震驚
[00:02:49.000 --> 00:02:54.000]  忽然間你好好的又說有癌症
[00:02:54.000 --> 00:03:00.000]  一陣又說老闆要辭工
[00:03:00.000 --> 00:03:03.000]  或者婚姻出了問題
[00:03:03.000 --> 00:03:05.000]  說有了第三者
[00:03:05.000 --> 00:03:10.000]  或者你的子女好好的忽然意外受傷
[00:03:10.000 --> 00:03:13.000]  甚至是沒了
[00:03:13.000 --> 00:03:19.000]  你就會落到一個好大的黑暗裏面
[00:03:19.000 --> 00:03:22.000]  你好像入了一個山洞
[00:03:22.000 --> 00:03:24.000]  你很想看見光
[00:03:24.000 --> 00:03:26.000]  但有時你又看不到光
[00:03:26.000 --> 00:03:29.000]  你不知道前面的路怎樣行
[00:03:29.000 --> 00:03:37.000]  其實我們人生有一樣黑暗是更加嚴重
[00:03:37.000 --> 00:03:40.000]  大家有沒有去過希臘的雅典
[00:03:40.000 --> 00:03:43.000]  Athens都有旅遊去過
[00:03:43.000 --> 00:03:48.000]  雅典是西方哲學的發源地
[00:03:48.000 --> 00:03:53.000]  雅典也是奧林匹克運動會開始的地方
[00:03:53.000 --> 00:03:56.000]  在二千三百多年前
[00:03:56.000 --> 00:04:00.000]  有一天在雅典的街頭
[00:04:00.000 --> 00:04:03.000]  就有一班人圍住在那裏
[00:04:03.000 --> 00:04:05.000]  好稀奇地在那裏說
[00:04:05.000 --> 00:04:08.000]  你看,他又來了
[00:04:08.000 --> 00:04:11.000]  這個神經佬又出現了
[00:04:11.000 --> 00:04:13.000]  原來有一個男人
[00:04:13.000 --> 00:04:17.000]  他就拿著一盞燈
[00:04:17.000 --> 00:04:19.000]  光天化日之下
[00:04:19.000 --> 00:04:23.000]  就在街道那裏走來走去
[00:04:23.000 --> 00:04:24.000]  東張西望
[00:04:24.000 --> 00:04:26.000]  好像在那裏找甚麼
