
[00:00:00.000 --> 00:00:02.000]  各位親愛的弟兄姐妹好
[00:00:02.000 --> 00:00:07.000]  感謝神的恩典又陪大家一起來讀聖經
[00:00:07.000 --> 00:00:09.000]  作為一個基督徒
[00:00:09.000 --> 00:00:14.000]  我們需要認識我們的仇敵
[00:00:14.000 --> 00:00:18.000]  就好像孫子兵法那裡所說
[00:00:18.000 --> 00:00:22.000]  「知彼知己,百戰百勝」
[00:00:22.000 --> 00:00:25.000]  如果我們連我們的仇敵是誰
[00:00:25.000 --> 00:00:26.000]  他是怎樣攻擊的
[00:00:26.000 --> 00:00:28.000]  我們都不知道的話
[00:00:28.000 --> 00:00:31.000]  我們是很難去防備
[00:00:31.000 --> 00:00:33.000]  我發覺今天很多基督徒
[00:00:33.000 --> 00:00:35.000]  因為在傳統教會裡面
[00:00:35.000 --> 00:00:38.000]  我們很少這方面的教導
[00:00:38.000 --> 00:00:42.000]  所以我們的認識是非常有限
[00:00:42.000 --> 00:00:44.000]  包括我自己在內
[00:00:44.000 --> 00:00:47.000]  我過去的認識都是很有限
[00:00:47.000 --> 00:00:51.000]  我記得有一次我被邀請去一間教會
[00:00:51.000 --> 00:00:53.000]  一年講幾場道
[00:00:53.000 --> 00:00:56.000]  我講的信息就是羅馬書所講的
[00:00:56.000 --> 00:00:59.000]  報福音傳喜信的人
[00:00:59.000 --> 00:01:02.000]  他們的腳中是河騰街尾
[00:01:02.000 --> 00:01:04.000]  講到如果沒有人傳道
[00:01:04.000 --> 00:01:05.000]  他們怎樣聽到呢
[00:01:05.000 --> 00:01:06.000]  如果沒有奉差遣
[00:01:06.000 --> 00:01:08.000]  我們怎樣去傳道呢
[00:01:08.000 --> 00:01:09.000]  但不知道為什麼
[00:01:09.000 --> 00:01:12.000]  當我講完最後一場之後
[00:01:12.000 --> 00:01:14.000]  我整個人覺得很累
[00:01:14.000 --> 00:01:17.000]  接著那天下午我就發燒了
[00:01:17.000 --> 00:01:20.000]  燒得很高溫度
[00:01:20.000 --> 00:01:23.000]  於是由於那天是星期天
[00:01:23.000 --> 00:01:25.000]  很多診所都關了
[00:01:25.000 --> 00:01:28.000]  只能夠找到一個醫生
[00:01:28.000 --> 00:01:30.000]  幫我做一些檢查
[00:01:30.000 --> 00:01:33.000]  但由於在他的診所裡面
[00:01:33.000 --> 00:01:35.000]  他沒有什麼藥又沒有什麼設施
[00:01:35.000 --> 00:01:40.000]  於是他就說不如你去看急症室
[00:01:40.000 --> 00:01:42.000]  於是我們馬上坐的士
[00:01:42.000 --> 00:01:45.000]  就送了我去急症室
[00:01:45.000 --> 00:01:48.000]  然後就看一下要不要打針
[00:01:48.000 --> 00:01:55.000]  原來這一個是屬靈的攻擊
[00:01:55.000 --> 00:01:58.000]  因為我無端端就是這麼累
