
[00:00:00.000 --> 00:00:04.480]  今天要給大家分享的題目是做門徒的代價
[00:00:04.480 --> 00:00:08.720]  我們剛剛有禱告說要爲青年團慶的弟兄姐妹來禱告
[00:00:08.720 --> 00:00:11.660]  希望更多的人能夠參與到門訓裏面
[00:00:11.660 --> 00:00:14.740]  成爲主耶穌基督中心的門徒
[00:00:14.740 --> 00:00:18.000]  被主來使用成爲基督的精兵
[00:00:18.000 --> 00:00:22.580]  那我們常常都把門徒這個詞掛在嘴裏面
[00:00:22.580 --> 00:00:25.040]  那究竟什麼是門徒呢?
[00:00:25.040 --> 00:00:27.320]  我們先來讀一段的經文
[00:00:27.320 --> 00:00:30.140]  看一看什麼是門徒
[00:00:30.140 --> 00:00:32.720]  然後從這段經文裏面看看
[00:00:32.720 --> 00:00:36.540]  做門徒應該是要付一些什麼樣的代價
[00:00:36.540 --> 00:00:43.260]  我們經文記載在《路加福音》的九章57到62節
[00:00:43.260 --> 00:00:46.820]  那如果你有聖經請你翻到《路加福音》這段經文
[00:00:46.820 --> 00:00:48.820]  沒有的話你可以看屏幕
[00:00:48.820 --> 00:00:51.040]  我們一起來唸一下這段的經文
[00:00:51.040 --> 00:00:52.740]  一二起
[00:00:52.740 --> 00:00:54.820]  他們走路的時候
[00:00:54.820 --> 00:00:59.060]  有一人對耶穌說你無論往哪裏去
[00:00:59.060 --> 00:01:00.900]  我要跟從你
[00:01:00.900 --> 00:01:05.480]  耶穌說湖裏有洞天空的飛鳥有窩
[00:01:05.480 --> 00:01:08.920]  只是人子沒有枕頭的地方
[00:01:08.920 --> 00:01:12.160]  又對一個人說跟從我來
[00:01:12.160 --> 00:01:17.460]  那人說主容我先回去埋葬我的父親
[00:01:17.460 --> 00:01:19.480]  又有一人說
[00:01:19.480 --> 00:01:22.960]  又有一人說
[00:01:24.820 --> 00:01:26.700]  埋葬他的死人
[00:01:26.700 --> 00:01:29.540]  只管傳染神的道
[00:01:29.540 --> 00:01:33.140]  又有一人說主我要跟從你
[00:01:33.140 --> 00:01:36.660]  但容我先去識別我家裏的人
[00:01:36.660 --> 00:01:43.180]  耶穌說手扶着你向後看的不配進神的國
[00:01:43.180 --> 00:01:46.020]  這段的經文講了有三個人
[00:01:46.020 --> 00:01:50.580]  他們要跟從耶穌的時候有一個對話
[00:01:50.580 --> 00:01:58.640]  那剛纔我提過說門徒這個詞我們常常都有在我們的討論裏面我們會提到
[00:01:58.640 --> 00:02:04.180]  那在大使的命裏面也提到說我們要去使萬民做主的門徒
[00:02:04.180 --> 00:02:10.380]  那究竟門徒跟這個信徒有什麼樣的區別呢
[00:02:10.380 --> 00:02:11.580]  是不是一樣的
[00:02:11.580 --> 00:02:13.780]  還是說他是有一種不同
[00:02:13.780 --> 00:02:16.340]  那我們常常說我們是信耶穌的
[00:02:16.340 --> 00:02:17.260]  我們是基督徒
[00:02:17.260 --> 00:02:18.540]  那有時候我們也說
[00:02:18.540 --> 00:02:20.460]  我們應該要做基督的門徒
[00:02:20.460 --> 00:02:22.460]  我們要接受門訓
[00:02:22.460 --> 00:02:24.420]  是不是有不同的地方呢
[00:02:24.420 --> 00:02:26.260]  在接受門訓的可以舉一下手嗎
[00:02:26.260 --> 00:02:27.500]  聽見沒有
