
[00:00:00.000 --> 00:00:02.680]  今日在此選擇的經文
[00:00:02.680 --> 00:00:06.040]  馬太福音27章27到56節
[00:00:06.040 --> 00:00:08.440]  可以說是整個福音書中
[00:00:08.440 --> 00:00:10.440]  其中一段最重要的經文
[00:00:10.440 --> 00:00:13.920]  四福音中,特別是婦女福音中
[00:00:13.920 --> 00:00:16.280]  這一段經文的寶貴
[00:00:16.280 --> 00:00:20.360]  正正解釋了耶穌為何來世
[00:00:20.360 --> 00:00:24.920]  亦正正解釋了我們為何今天坐在此來敬拜
[00:00:24.920 --> 00:00:28.880]  我們來到敬拜神都有很多經驗
[00:00:28.880 --> 00:00:30.880]  我不知道你在想甚麼
[00:00:30.880 --> 00:00:34.040]  你看看旁邊的人,你可能不知道他在想甚麼
[00:00:34.040 --> 00:00:36.040]  不如我請你做一件事,你問問他
[00:00:36.040 --> 00:00:38.040]  你是否一個好人
[00:00:38.040 --> 00:00:40.040]  (笑聲)
[00:00:40.040 --> 00:00:43.280]  坐在這裏敬拜,也不知道旁邊的人是否好人
[00:00:43.280 --> 00:00:45.280]  其實是很危險的一件事
[00:00:45.280 --> 00:00:48.280]  (笑聲)
[00:00:48.280 --> 00:00:51.560]  不過我想起主席已經請大家
[00:00:51.560 --> 00:00:53.560]  祝福了你的
[00:00:53.560 --> 00:00:55.560]  祝福了你的當然是好人
[00:00:55.560 --> 00:00:57.560]  這個很容易回答得到
[00:00:57.560 --> 00:00:59.560]  我選的經文
[00:00:59.560 --> 00:01:01.560]  其實是教會選的經文
[00:01:01.560 --> 00:01:06.560]  在《馬太福音》27章27到56節
[00:01:06.560 --> 00:01:08.560]  我用一個很簡單的題目
[00:01:08.560 --> 00:01:10.560]  「這真是神的意志」
[00:01:10.560 --> 00:01:14.560]  「真的假不了」
[00:01:14.560 --> 00:01:16.560]  那個我就不提了
[00:01:16.560 --> 00:01:20.560]  「假的」不知道,有很多問題要回答
[00:01:20.560 --> 00:01:22.560]  在聖經裏面
[00:01:22.560 --> 00:01:25.560]  「這真是神的意志」很重要
[00:01:25.560 --> 00:01:28.560]  其實這裏解釋了一個很重要的問題
[00:01:28.560 --> 00:01:31.560]  十字架那裏之前發生過的那麼多事
[00:01:31.560 --> 00:01:34.560]  十字架上耶穌基督被釘
[00:01:34.560 --> 00:01:37.560]  而下面有很多人
[00:01:37.560 --> 00:01:40.560]  以意論論指點點
[00:01:40.560 --> 00:01:42.560]  其實解決兩個問題
[00:01:42.560 --> 00:01:44.560]  「我是誰」
[00:01:44.560 --> 00:01:45.560]  今天你來崇拜也是
[00:01:45.560 --> 00:01:47.560]  我是一個會崇拜的基督徒
[00:01:47.560 --> 00:01:49.560]  就解決了,早點照鏡子
[00:01:49.560 --> 00:01:52.560]  看看用我最好的心情
[00:01:52.560 --> 00:01:55.560]  最好的表現去敬拜神
[00:01:55.560 --> 00:01:57.560]  因為你要解決一個問題
[00:01:57.560 --> 00:01:59.560]  我是一個會敬拜的基督徒
[00:01:59.560 --> 00:02:02.560]  第二個問題就是解決人與神的關係
[00:02:02.560 --> 00:02:05.560]  就是耶穌究竟是誰
[00:02:05.560 --> 00:02:09.560]  在聖經裏面這段經文說得很清楚
[00:02:09.560 --> 00:02:12.560]  而且最後很特別
[00:02:12.560 --> 00:02:16.560]  有一個從來不會說這句話的人
[00:02:16.560 --> 00:02:18.560]  耶穌真是神的意志的人
[00:02:18.560 --> 00:02:20.560]  說了這句話出來
[00:02:20.560 --> 00:02:23.560]  或者你頂展會都知道
[00:02:23.560 --> 00:02:25.560]  我喜歡搞笑
