
[00:00:00.000 --> 00:00:03.160]  各位弟兄姊妹,我很感恩
[00:00:03.160 --> 00:00:08.600]  因為神讓我再有機會和大家講解、分享神的話語
[00:00:08.600 --> 00:00:11.920]  的確,我們現在身處的社會
[00:00:11.920 --> 00:00:15.080]  是面對很多的困難
[00:00:15.080 --> 00:00:20.600]  我們每一個人都要面對很多的轉變和挑戰
[00:00:20.600 --> 00:00:23.560]  有時我們的確無所適從
[00:00:23.560 --> 00:00:26.200]  有時我們心感困惑
[00:00:26.200 --> 00:00:29.960]  或許已經是失望了、絕望了
[00:00:29.960 --> 00:00:33.200]  但是往往在最困難的日子
[00:00:33.200 --> 00:00:37.240]  我們卻能夠看到人最好的一面
[00:00:37.240 --> 00:00:41.800]  過往我們在平安穩妥的時候
[00:00:41.800 --> 00:00:44.880]  你好、我好、大家好
[00:00:44.880 --> 00:00:49.200]  或者香港好、中國好、中國好、香港更好
[00:00:49.200 --> 00:00:50.960]  大家都相安無事
[00:00:50.960 --> 00:00:54.320]  你有你的發展,我有我的自由
[00:00:54.320 --> 00:00:57.920]  但是往往在衝擊來臨的時候
[00:00:57.920 --> 00:01:00.160]  不單止人性的好的一面
[00:01:00.160 --> 00:01:03.600]  卻是人性本質顯露的時間
[00:01:03.600 --> 00:01:06.600]  不單止是高貴的人性的顯露
[00:01:06.600 --> 00:01:09.560]  例如有人需要援手的時候
[00:01:09.560 --> 00:01:11.480]  我們去幫助人
[00:01:11.480 --> 00:01:15.320]  或者勇敢地去阻止一些惡的事情發生等等
[00:01:15.320 --> 00:01:17.880]  這些都是高貴、高尚的人性
[00:01:17.880 --> 00:01:20.440]  但是同時我們也會有很多的機會
[00:01:20.440 --> 00:01:24.040]  去看見人性醜惡的一面
[00:01:24.040 --> 00:01:27.000]  在人心慌亂的時候
[00:01:27.000 --> 00:01:31.720]  有很多人去渾水摸魚、投機取巧
[00:01:31.720 --> 00:01:36.680]  在星期五晚在電視台東張西望
[00:01:36.680 --> 00:01:40.640]  竟然有人賣氫氣水
