
[00:00:00.000 --> 00:00:04.000]  在舊約裡有很重要的就是十戒
[00:00:04.000 --> 00:00:08.000]  其實十戒可以說是十句說話
[00:00:08.000 --> 00:00:12.000]  神親自說的十句說話
[00:00:12.000 --> 00:00:14.000]  而且十戒很特別
[00:00:14.000 --> 00:00:19.000]  是神用指頭寫在一個法版上
[00:00:19.000 --> 00:00:23.000]  然後叫摩西將這十句說話
[00:00:23.000 --> 00:00:26.000]  放在這個法版上
[00:00:26.000 --> 00:00:30.000]  然後叫摩西將這個法版帶下山
[00:00:30.000 --> 00:00:35.000]  去講解給以色列人聽
[00:00:35.000 --> 00:00:39.000]  所以很多時候我們就會見到有兩個法版
[00:00:39.000 --> 00:00:42.000]  一邊是五條戒命
[00:00:42.000 --> 00:00:45.000]  另外一邊又是五條戒命
[00:00:45.000 --> 00:00:48.000]  所以有很多人說這十句話
[00:00:48.000 --> 00:00:51.000]  可以分做上下兩部分
[00:00:51.000 --> 00:00:56.000]  上半部是有關神方面的
[00:00:56.000 --> 00:00:59.000]  我們對神那方面的
[00:00:59.000 --> 00:01:05.000]  下半部另外那五戒是有關對人那方面的
[00:01:05.000 --> 00:01:10.000]  所以這十戒實在是非常之重要
[00:01:10.000 --> 00:01:13.000]  這十戒不單止是給以色列人的
[00:01:13.000 --> 00:01:16.000]  這十戒也是給全人類的
[00:01:16.000 --> 00:01:21.000]  因為當時可以說是很開頭的時候
[00:01:21.000 --> 00:01:27.000]  原來我們人與人之間是很需要倫理道德的
[00:01:27.000 --> 00:01:32.000]  需要有一些規矩來規範我們
[00:01:32.000 --> 00:01:36.000]  我們就說你必須知道有一個界限
[00:01:36.000 --> 00:01:39.000]  哪些你不可以越界的
[00:01:39.000 --> 00:01:41.000]  因為你越過那個界限
[00:01:41.000 --> 00:01:46.000]  你就侵佔了別人的事
[00:01:46.000 --> 00:01:49.000]  你不可以貪戀別人的財物
[00:01:49.000 --> 00:01:53.000]  你不可以奪取別人的性命
[00:01:53.000 --> 00:01:58.000]  你不可以去說謊欺騙人
