
[00:00:00.000 --> 00:00:01.800]  在今天母親節的日子
[00:00:01.800 --> 00:00:04.840]  我想和大家一起從詩篇139篇
[00:00:04.840 --> 00:00:08.960]  來領受神給我們的訊息
[00:00:08.960 --> 00:00:14.120]  當中有一段特別用到母親與我的關係
[00:00:14.120 --> 00:00:20.400]  來幫助我們更加明白神與我的結連
[00:00:20.400 --> 00:00:23.240]  139篇可能有一些經文
[00:00:23.240 --> 00:00:25.880]  對一些弟兄姊妹來說都很熟悉
[00:00:25.880 --> 00:00:27.880]  但我也很想邀請弟兄姊妹
[00:00:27.880 --> 00:00:30.800]  一起來讀一次詩篇
[00:00:30.800 --> 00:00:32.600]  雖然詩篇比較長
[00:00:32.600 --> 00:00:35.400]  總共有24節
[00:00:35.400 --> 00:00:36.840]  分了四個段落
[00:00:36.840 --> 00:00:39.480]  每個段落有六節
[00:00:39.480 --> 00:00:41.720]  但我相信是一首很好的詩篇
[00:00:41.720 --> 00:00:45.040]  讓我們一起從中讀裏面
[00:00:45.040 --> 00:00:48.840]  領受到神給我們寶貴的說話
[00:00:48.840 --> 00:00:51.360]  所以我想邀請弟兄姊妹一起來中讀
[00:00:51.360 --> 00:00:53.240]  詩篇139篇
[00:00:53.240 --> 00:00:54.520]  我們一起來中讀
[00:00:54.520 --> 00:00:55.560]  雖然戴著口罩
[00:00:55.560 --> 00:00:57.920]  有些不方便,大家可以慢慢讀
[00:00:57.920 --> 00:00:59.240]  或者用心去讀
[00:00:59.240 --> 00:01:00.960]  更加盼望你們回家時
[00:01:00.960 --> 00:01:04.400]  有機會可以多看這篇詩篇幾次
[00:01:04.400 --> 00:01:07.000]  我們一起來中讀,預備,起
[00:01:07.000 --> 00:01:12.080]  耶和華,你已經監察我,認識我
[00:01:12.080 --> 00:01:16.440]  我坐下,我起來,你都曉得
[00:01:16.440 --> 00:01:20.040]  你從遠處知道我的意念
[00:01:20.040 --> 00:01:24.680]  我行路,我躺臥,你都細察
[00:01:24.680 --> 00:01:28.480]  你也深知我一切所行的
[00:01:28.480 --> 00:01:31.840]  耶和華,我舌頭上的話
[00:01:31.840 --> 00:01:35.440]  你沒有一句不知道的
[00:01:35.440 --> 00:01:38.520]  你在我前後環繞我
[00:01:38.520 --> 00:01:41.240]  按手在我身上
[00:01:41.240 --> 00:01:43.720]  這樣的知識奇妙
[00:01:43.720 --> 00:01:46.040]  是我不能測的
[00:01:46.040 --> 00:01:49.400]  至高是我不能及的
[00:01:49.400 --> 00:01:52.720]  我往哪裡去躲避你的靈
[00:01:52.720 --> 00:01:56.680]  我往哪裡逃躲避你的面
[00:01:56.680 --> 00:02:00.880]  我若升到天上,你在哪裡
[00:02:00.880 --> 00:02:06.280]  我若在陰間下塌,你也在哪裡
[00:02:06.280 --> 00:02:09.680]  我若展開清晨的翅膀
[00:02:09.680 --> 00:02:12.400]  飛到海極居住
[00:02:12.400 --> 00:02:17.120]  就是在哪裡,你的手必引導我
[00:02:17.120 --> 00:02:20.680]  你的右手也必扶持我
[00:02:20.680 --> 00:02:24.800]  我若說,黑暗必定遮蔽我
[00:02:24.800 --> 00:02:29.000]  我周圍的亮光必成為黑夜
[00:02:29.000 --> 00:02:33.800]  黑暗也不能遮蔽我,使你不見
[00:02:33.800 --> 00:02:36.880]  黑夜卻如白晝發亮
[00:02:36.880 --> 00:02:42.120]  黑暗和光明在你看都是一樣
[00:02:42.120 --> 00:02:45.200]  我的肺腑是你所做的
[00:02:45.200 --> 00:02:49.280]  我在無縫中,你已覆蔽我
[00:02:49.280 --> 00:02:54.680]  我要稱謝你,因我受造奇妙可為
[00:02:54.680 --> 00:03:00.080]  你的作為奇妙,這是我深深知道的
[00:03:00.080 --> 00:03:05.760]  我在暗中受造,在地的深處被聯絡
[00:03:05.760 --> 00:03:10.520]  那時,我的形體定不向你隱藏
[00:03:10.520 --> 00:03:15.960]  我未承認的體質,你的眼早已看見了
[00:03:15.960 --> 00:03:20.400]  你所定的日子,我尚未到一日
[00:03:20.400 --> 00:03:24.160]  你都寫在你的冊上了
[00:03:24.160 --> 00:03:28.680]  神啊,你的意念向我何等寶貴
[00:03:28.680 --> 00:03:31.560]  祈禱何等眾多
[00:03:31.560 --> 00:03:35.640]  我若數點比海沙更多
[00:03:35.640 --> 00:03:40.520]  我睡醒的時候仍和你同在
[00:03:40.520 --> 00:03:44.120]  神啊,你必要殺戮惡人
[00:03:44.120 --> 00:03:50.040]  所以你們好流人血的,離開我去吧
[00:03:50.040 --> 00:03:54.040]  因為他們說惡言頂撞你
[00:03:54.040 --> 00:03:58.120]  你的仇敵也望清你的名
[00:03:58.120 --> 00:04:01.040]  耶和華啊,恨惡你的
[00:04:01.040 --> 00:04:04.040]  我豈不恨惡他們嗎?
[00:04:04.040 --> 00:04:08.680]  攻擊你的,我豈不憎厭他們嗎?
[00:04:08.680 --> 00:04:14.320]  我切切地恨惡他們,以他們為仇敵
[00:04:14.320 --> 00:04:17.320]  神啊,求你監察我
[00:04:17.320 --> 00:04:19.680]  知道我的心思
[00:04:19.680 --> 00:04:23.400]  思念我,知道我的意念
[00:04:23.400 --> 00:04:28.080]  看在我裡面有什麼惡行沒有
[00:04:28.080 --> 00:04:32.200]  引導我走永生的道路
[00:04:32.200 --> 00:04:35.800]  23、24節可能有些弟兄姊妹都很熟悉
[00:04:35.800 --> 00:04:39.800]  可能你也很喜歡用這個成為你自己向神的祈禱
[00:04:39.800 --> 00:04:44.800]  來幫助我們上上去審查我們的生命
[00:04:44.800 --> 00:04:47.800]  我們稍後有機會再讀
[00:04:47.800 --> 00:04:53.720]  其中13到18節特別提到和母親有關
[00:04:53.720 --> 00:04:56.640]  用母親和我的關係
[00:04:56.640 --> 00:05:01.400]  來幫助我們去認識神與我的關係更多
[00:05:01.400 --> 00:05:03.120]  我會用現代中文譯本
[00:05:03.120 --> 00:05:06.240]  和大家看看另外一些翻譯
[00:05:06.240 --> 00:05:11.040]  來傳遞一些訊息
[00:05:11.040 --> 00:05:12.360]  訊息有三方面
[00:05:12.360 --> 00:05:16.120]  第一個是神完全來認識我
[00:05:16.120 --> 00:05:18.400]  在一開始的第一到第六節
[00:05:18.400 --> 00:05:21.960]  說到神是那位全知的神
[00:05:21.960 --> 00:05:26.880]  神完全的監察、認識、知道、明白我們是一個怎樣的人
[00:05:26.880 --> 00:05:31.200]  當中我想弟兄姊妹來更多體會
[00:05:31.200 --> 00:05:33.520]  除了神的全知之外
[00:05:33.520 --> 00:05:35.200]  更加要反思
[00:05:35.200 --> 00:05:39.680]  其實這正正代表著告訴我們人的有限
[00:05:39.680 --> 00:05:41.560]  有時我們覺得神的全知
[00:05:41.560 --> 00:05:43.560]  可能我們都是神的兒女
[00:05:43.560 --> 00:05:45.000]  我們是神的子民
[00:05:45.000 --> 00:05:49.400]  我們都可以像神一樣
[00:05:49.400 --> 00:05:51.040]  我們都知道很多
[00:05:51.040 --> 00:05:52.120]  其實不是的
[00:05:52.120 --> 00:05:53.600]  其實當我們在神的全知之下
[00:05:53.600 --> 00:05:59.080]  我們更加要清楚明白自己人的有限
[00:05:59.080 --> 00:06:02.880]  人有時比較容易忘記了這一點
[00:06:02.880 --> 00:06:04.800]  以為神的全知
[00:06:04.800 --> 00:06:06.280]  神甚麼都知道
[00:06:06.280 --> 00:06:08.280]  我們就好像神一樣
[00:06:08.280 --> 00:06:10.280]  這是我們要很小心的
[00:06:10.280 --> 00:06:12.840]  其實我們所知有限
[00:06:12.840 --> 00:06:15.600]  反而是神完全知道我們
[00:06:15.600 --> 00:06:17.720]  有時我們回想小時候
[00:06:17.720 --> 00:06:18.720]  小朋友也是
[00:06:18.720 --> 00:06:20.720]  小朋友和父母有時都覺得
[00:06:20.720 --> 00:06:24.880]  小朋友有時想起有些不太好的事想做
[00:06:24.880 --> 00:06:26.880]  就以為靜悄悄地做
