
[00:00:00.000 --> 00:00:05.000]  請姊妹讓愛聽神的導演以先讓他誠心地懇接禱告
[00:00:05.000 --> 00:00:09.000]  今天怎麼樣讓我們聽到,怎樣讓我們誠心懇切地禱告?
[00:00:09.000 --> 00:00:20.000]  秋葵父神,我們多謝祢,給到我們今天再次能夠來到您的聖殿當中同心敬拜,與大兄姊妹一同守望
[00:00:20.000 --> 00:00:28.000]  求祢給我們今天對主祢的說話有更深的體會和領受,並且能夠付諸於實行
[00:00:29.000 --> 00:00:36.000]  願意我們能夠真正降服在神的裡面,能夠將所聽進的道理都成為生命的一部分
[00:00:36.000 --> 00:00:42.000]  切愛天父,感謝祢,給我們今天能夠再次有生命來到主祢的跟前
[00:00:42.000 --> 00:00:48.000]  跟弟兄姊妹一同守望,也一同來到聆聽主祢的教導
[00:00:48.000 --> 00:00:52.000]  求祢的幫助,求聖靈在我們當中運行
[00:00:52.000 --> 00:00:57.000]  使我們能夠完完全全地願意存活在祢的教訓裡面
[00:00:58.000 --> 00:01:05.000]  付諸於實行,求祢的幫助,和我們的禱告,供主耶穌的領受,阿們。
[00:01:05.000 --> 00:01:10.000]  中國人有一句俗語,叫做"戴眼識人"
[00:01:10.000 --> 00:01:15.000]  中國人有一句俗語,叫做"戴著眼睛看人"
[00:01:15.000 --> 00:01:21.000]  我媽媽都經常這樣跟我說,她說因為我們知人口,免不知心
[00:01:21.000 --> 00:01:25.000]  就知人知命,不知心,表面可能對你好好的人
[00:01:26.000 --> 00:01:30.000]  表面對你很好的人,可能其實他暗裡是找把刀想插你的人
[00:01:30.000 --> 00:01:34.000]  就是說可能背後就想用一把刀去捅你的人
[00:01:34.000 --> 00:01:39.000]  而事實上去認識一個人也是必然是一件很重要的事
[00:01:39.000 --> 00:01:42.000]  認識一個人其實是一個很重要的一件事
[00:01:42.000 --> 00:01:48.000]  於是乎很多基督徒就嘗試去找一些聖經來支持他自己的看法
[00:01:48.000 --> 00:01:53.000]  很多基督徒就特別想去找一些聖經來支持他的看法
[00:01:54.000 --> 00:02:02.000]  特別喜歡引用耶穌,其中有兩句經文經常被引用,說怎樣去認識朋友
[00:02:02.000 --> 00:02:09.000]  比如在經文裡面有兩句聖經,就是引用耶穌的話,怎樣去認識朋友
[00:02:09.000 --> 00:02:12.000]  或者怎樣去辨別誰是敵人
[00:02:12.000 --> 00:02:15.000]  或者怎樣去辨別誰是敵人
[00:02:15.000 --> 00:02:18.000]  這兩句聖經都同樣出自於路加福音
[00:02:18.000 --> 00:02:22.000]  這兩句聖經都同時出自於路加福音
[00:02:23.000 --> 00:02:26.000]  在路加福音第九章第五十節
[00:02:26.000 --> 00:02:40.000]  路加福音第九章第五十節
[00:02:40.000 --> 00:02:43.000]  路加福音第九章第五十節
[00:02:43.000 --> 00:02:46.000]  路加福音第九章第五十節
[00:02:46.000 --> 00:02:49.000]  路加福音第九章第五十節
[00:02:50.000 --> 00:02:54.000]  不要禁止他,因為不抵擋你們的就是幫助你們的
[00:02:54.000 --> 00:02:57.000]  路加福音第九章第五十節
[00:02:57.000 --> 00:03:00.000]  路加福音第九章第五十節
[00:03:00.000 --> 00:03:03.000]  路加福音第九章第五十節
[00:03:03.000 --> 00:03:06.000]  路加福音第九章第五十節
[00:03:06.000 --> 00:03:09.000]  路加福音第九章第五十節
[00:03:09.000 --> 00:03:12.000]  路加福音第九章第五十節
[00:03:12.000 --> 00:03:15.000]  路加福音第九章第五十節
[00:03:15.000 --> 00:03:18.000]  路加福音第九章第五十節
[00:03:19.000 --> 00:03:21.000]  路加福音第九章第五十節
[00:03:21.000 --> 00:03:24.000]  路加福音第九章第五十節
[00:03:24.000 --> 00:03:27.000]  路加福音第九章第五十節
[00:03:27.000 --> 00:03:30.000]  路加福音第九章第五十節
[00:03:30.000 --> 00:03:33.000]  路加福音第九章第五十節
[00:03:33.000 --> 00:03:36.000]  路加福音第九章第五十節
[00:03:36.000 --> 00:03:39.000]  路加福音第九章第五十節
[00:03:39.000 --> 00:03:42.000]  路加福音第九章第五十節
[00:03:42.000 --> 00:03:45.000]  路加福音第九章第五十節
[00:03:45.000 --> 00:03:48.000]  路加福音第九章第五十節
[00:03:49.000 --> 00:03:51.000]  路加福音第九章第五十節
[00:03:51.000 --> 00:03:54.000]  路加福音第九章第五十節
[00:03:54.000 --> 00:03:57.000]  路加福音第九章第五十節
[00:03:57.000 --> 00:04:00.000]  路加福音第九章第五十節
[00:04:00.000 --> 00:04:03.000]  路加福音第九章第五十節
[00:04:03.000 --> 00:04:06.000]  路加福音第九章第五十節
[00:04:06.000 --> 00:04:09.000]  路加福音第九章第五十節
[00:04:09.000 --> 00:04:12.000]  路加福音第九章第五十節
[00:04:12.000 --> 00:04:15.000]  路加福音第九章第五十節
[00:04:15.000 --> 00:04:18.000]  路加福音第九章第五十節
[00:04:19.000 --> 00:04:21.000]  路加福音第九章第五十節
[00:04:21.000 --> 00:04:24.000]  路加福音第九章第五十節
[00:04:24.000 --> 00:04:27.000]  路加福音第九章第五十節
[00:04:27.000 --> 00:04:30.000]  路加福音第九章第五十節
