
[00:00:00.000 --> 00:00:04.000]  如果大家有上Facebook
[00:00:04.000 --> 00:00:08.000]  有沒有最近看見一首打油詩
[00:00:08.000 --> 00:00:16.000]  是由一個天主教神父去勸勉教會弟兄姊妹
[00:00:16.000 --> 00:00:17.000]  就是一些提醒
[00:00:17.000 --> 00:00:21.000]  麻煩可否打一打出來
[00:00:21.000 --> 00:00:26.000]  我懷疑現在快到夏天
[00:00:26.000 --> 00:00:30.000]  教會是否要做這些提醒
[00:00:30.000 --> 00:00:36.000]  背心熱褲迷你裙
[00:00:36.000 --> 00:00:38.000]  夏日的確好迷人
[00:00:38.000 --> 00:00:40.000]  不過主日敬拜神
[00:00:40.000 --> 00:00:42.000]  切忌敢著嚇親人
[00:00:42.000 --> 00:00:45.000]  三小容易會冷親
[00:00:45.000 --> 00:00:47.000]  兼且好易變流感
[00:00:47.000 --> 00:00:49.000]  與其敢著褻瀆神
[00:00:49.000 --> 00:00:52.000]  不如端莊拿滿分
[00:00:52.000 --> 00:00:56.000]  好似針對姊妹
[00:00:56.000 --> 00:00:58.000]  弟兄同樣提醒
[00:00:58.000 --> 00:01:02.000]  穿背心小心冷親
[00:01:02.000 --> 00:01:04.000]  教會冷氣好凍
[00:01:04.000 --> 00:01:08.000]  藉著這首
[00:01:08.000 --> 00:01:10.000]  可以關回去
[00:01:10.000 --> 00:01:14.000]  否則弟兄姊妹不斷作對戀
[00:01:14.000 --> 00:01:15.000]  就不太好
[00:01:15.000 --> 00:01:17.000]  網上已經很多對戀
[00:01:17.000 --> 00:01:23.000]  今日和大家講的不是教大家
[00:01:23.000 --> 00:01:27.000]  拿一把尺去量多一寸步
[00:01:27.000 --> 00:01:30.000]  還是少一寸步的問題
[00:01:30.000 --> 00:01:33.000]  是否因為這樣就等於冒犯了上帝
[00:01:33.000 --> 00:01:35.000]  這樣你就不屬靈
[00:01:35.000 --> 00:01:37.000]  不要弄錯
[00:01:37.000 --> 00:01:39.000]  今日不是講這些問題
[00:01:39.000 --> 00:01:47.000]  是否要拿一把尺量身命有沒有問題
[00:01:47.000 --> 00:01:52.000]  這是比喻一些更重要的精神
[00:01:52.000 --> 00:01:54.000]  在裏面帶出
[00:01:54.000 --> 00:01:56.000]  弟兄姊妹你想想
[00:01:56.000 --> 00:02:02.000]  你指出或指正有問題的地方
[00:02:02.000 --> 00:02:04.000]  真的有問題的話
[00:02:04.000 --> 00:02:06.000]  是沒有問題的
[00:02:06.000 --> 00:02:09.000]  大家OK吧
[00:02:09.000 --> 00:02:10.000]  都跟到
[00:02:10.000 --> 00:02:13.000]  你指出有問題是沒有問題的
[00:02:13.000 --> 00:02:16.000]  不過聖經再講
[00:02:16.000 --> 00:02:18.000]  我問大家
[00:02:18.000 --> 00:02:20.000]  問題是在之後
[00:02:20.000 --> 00:02:24.000]  你願不願意對你去指出
[00:02:24.000 --> 00:02:27.000]  那個人或那件事
[00:02:27.000 --> 00:02:31.000]  你願不願意毀身
[00:02:31.000 --> 00:02:37.000]  在對你指出那個人的生命當中
[00:02:37.000 --> 00:02:39.000]  正如之前牧師經常提及
[00:02:39.000 --> 00:02:44.000]  你願不願意毀身在別人的生命當中
[00:02:44.000 --> 00:02:47.000]  特別當你指出了他有問題之後
[00:02:47.000 --> 00:02:51.000]  你願不願意毀身在他的生命當中
[00:02:51.000 --> 00:02:54.000]  這個正正就是大兒子
[00:02:54.000 --> 00:03:03.000]  他所表達出來的更深層次的問題
[00:03:03.000 --> 00:03:05.000]  願不願意
[00:03:05.000 --> 00:03:09.000]  願不願意陪我走這段路
[00:03:09.000 --> 00:03:10.000]  接納我
[00:03:10.000 --> 00:03:11.000]  支持我
[00:03:11.000 --> 00:03:13.000]  扶持我
[00:03:13.000 --> 00:03:14.000]  包容我
[00:03:14.000 --> 00:03:15.000]  體諒我
[00:03:15.000 --> 00:03:16.000]  陪我走
[00:03:16.000 --> 00:03:19.000]  好像結婚的誓詞
[00:03:19.000 --> 00:03:22.000]  當然配偶當然沒有問題
[00:03:22.000 --> 00:03:27.000]  不過對著你所要指正的人和事的時候
[00:03:27.000 --> 00:03:31.000]  之後你願不願意這樣走這段路
[00:03:31.000 --> 00:03:35.000]  這個就是問題的癥結所在
[00:03:35.000 --> 00:03:37.000]  在浪子的比喻裏
[00:03:37.000 --> 00:03:40.000]  大兒子和之前
[00:03:40.000 --> 00:03:42.000]  不是浪子的比喻
[00:03:42.000 --> 00:03:44.000]  這個我之前說是一個比喻
[00:03:44.000 --> 00:03:46.000]  有三個例子
[00:03:46.000 --> 00:03:49.000]  在浪子的例子裏
[00:03:49.000 --> 00:03:52.000]  大兒子和之前的例子
[00:03:52.000 --> 00:03:55.000]  失陽、失錢幣
[00:03:55.000 --> 00:03:58.000]  甚至失去小兒子這個例子
[00:03:58.000 --> 00:04:00.000]  是不同的
[00:04:00.000 --> 00:04:02.000]  之前都是在說
[00:04:02.000 --> 00:04:04.000]  這些東西是失去了
[00:04:04.000 --> 00:04:09.000]  上帝很努力地尋找、尋回
[00:04:09.000 --> 00:04:11.000]  但是到了大兒子
[00:04:11.000 --> 00:04:14.000]  他所說的情況
[00:04:14.000 --> 00:04:18.000]  他的迷失不是走了出去
[00:04:18.000 --> 00:04:22.000]  而是他的迷失正正就是在家裏
[00:04:22.000 --> 00:04:26.000]  然後大家去看第十五章第一至二節
[00:04:26.000 --> 00:04:30.000]  就會發現原來這個比喻
[00:04:30.000 --> 00:04:38.000]  是主耶穌說給當時的發理賽人和文士來聽
[00:04:38.000 --> 00:04:40.000]  用意何在呢?
