
[00:00:00.000 --> 00:00:05.680]  我們很感謝神下,差傳部,他們很多弟兄姊妹今天來獻詩
[00:00:05.680 --> 00:00:10.260]  我們今年也很特別,我要求他們差傳部
[00:00:10.260 --> 00:00:15.140]  縮成一下我們支持的一些宣教機構、宣教士
[00:00:15.140 --> 00:00:19.640]  台上有14支國旗,都代表著部分的
[00:00:19.640 --> 00:00:23.560]  我們所支持的,其實是支持更多14個地方
[00:00:23.560 --> 00:00:29.360]  我們很感恩,神給我們這個差傳普世的意象
[00:00:29.360 --> 00:00:33.440]  我們不止於此,我們很深信在這個大時代裏面
[00:00:33.440 --> 00:00:36.400]  上帝要繼續的大大使用
[00:00:36.400 --> 00:00:40.320]  所以我們繼續為差傳部的傳道同工
[00:00:40.320 --> 00:00:48.240]  包括有Paul Lim,還有王崇崇和Benjamin Lau傳道
[00:00:48.240 --> 00:00:53.360]  也有他們核心的差傳部的成員
[00:00:53.360 --> 00:01:04.160]  還有Alfred Chan,Patrick,Janice
[00:01:04.160 --> 00:01:10.560]  我們為他們感恩,他們今年在外面也有6個宣教機構
[00:01:10.560 --> 00:01:13.200]  等待大家完成崇拜的時候可以出去
[00:01:13.200 --> 00:01:18.240]  除了喝咖啡之外,其實要去參觀和鼓勵
[00:01:18.240 --> 00:01:20.560]  你們的參與是很重要的
[00:01:20.560 --> 00:01:24.080]  所以今天和大家分享這個題目
[00:01:24.080 --> 00:01:26.080]  叫做「宣教心中國情」
[00:01:26.080 --> 00:01:28.480]  你今天要做一個有心人
[00:01:28.480 --> 00:01:30.480]  什麼是有心人呢?
[00:01:30.480 --> 00:01:36.480]  如果今天你約人的話,會不會一小時後去約人
[00:01:36.480 --> 00:01:38.960]  「你有空嗎?待會跟你吃午餐吧」
[00:01:38.960 --> 00:01:41.360]  如果是這樣的話,我們會說這些好像沒什麼心
[00:01:41.360 --> 00:01:43.920]  即是即興的,看看你行不行
[00:01:43.920 --> 00:01:45.920]  如果不行,那就算了
[00:01:45.920 --> 00:01:48.160]  但如果你真的有心去約那個人的時候
[00:01:48.160 --> 00:01:53.280]  你會預算好時間,希望他能夠跟你的時間吻合
[00:01:53.280 --> 00:01:56.720]  你送禮給別人的時候,你會不會把家裡不等的東西
[00:01:56.720 --> 00:01:58.720]  「對了,我送給你了」
[00:01:58.720 --> 00:02:01.600]  不會的,如果是這樣的話,這個就是沒有心人
[00:02:01.600 --> 00:02:04.400]  有心的人就是會考慮對方的需要
[00:02:04.400 --> 00:02:06.400]  這些東西合用嗎?
[00:02:06.400 --> 00:02:11.200]  我們今天為普世的宣教要做一個有心人
[00:02:11.200 --> 00:02:17.280]  這個有心的意思就是你知道上帝的心意是如此
[00:02:17.280 --> 00:02:23.200]  我們的天父上帝不單單是愛一個民族
[00:02:23.200 --> 00:02:25.520]  雖然他揀選了以色列人
[00:02:25.520 --> 00:02:31.120]  但他的心意是願意萬國萬族都能夠歸向他
[00:02:31.120 --> 00:02:33.840]  因為神是創造整個宇宙世界
[00:02:33.840 --> 00:02:36.240]  神也是極愛世上的人
[00:02:36.240 --> 00:02:38.480]  包括了不同民族的人
[00:02:38.480 --> 00:02:43.920]  所以當我們看到上帝這個心意的時候
[00:02:43.920 --> 00:02:46.160]  我們做一個有心的人
[00:02:46.160 --> 00:02:48.720]  你看看保羅有沒有心呢?
[00:02:48.720 --> 00:02:50.720]  羅馬書第九章一到三節
[00:02:50.720 --> 00:02:54.000]  很想跟大家一起讀的,這段經文我們一起讀
[00:02:54.000 --> 00:02:58.080]  「我在基督裡說真話,並不謊言
[00:02:58.080 --> 00:03:02.560]  有我良心被聖靈感動,給我作見證
[00:03:02.560 --> 00:03:06.640]  我是大有憂愁,心裡事尚憂愁
[00:03:06.640 --> 00:03:09.280]  為我弟兄,我骨肉之親
[00:03:09.280 --> 00:03:14.960]  就是自己被咒詛,與基督分離,我也懸疑」
[00:03:14.960 --> 00:03:18.400]  保羅在羅馬書跟我們展述了
[00:03:18.400 --> 00:03:20.640]  全人類都需要這個救恩
[00:03:20.640 --> 00:03:22.800]  但他跟我們解釋得很清楚
[00:03:22.800 --> 00:03:25.040]  不是靠立功之法
[00:03:25.040 --> 00:03:28.240]  不是靠你行善或者怎樣做一個好人
[00:03:28.240 --> 00:03:30.880]  你就可以得到這個救贖
[00:03:30.880 --> 00:03:34.080]  你需要的就是接受神的懿旨
[00:03:34.080 --> 00:03:37.040]  耶穌基督為我們眾人的罪寫在十字架上
[00:03:37.040 --> 00:03:40.320]  這個叫做「恩信而被稱為義」
[00:03:40.320 --> 00:03:42.560]  不單止我們「恩信而被稱為義」
[00:03:42.560 --> 00:03:45.200]  我們更加要在這個「誠信」的路上
[00:03:45.200 --> 00:03:47.360]  我們要來成長
[00:03:47.360 --> 00:03:50.880]  我們要有聖靈來管治我們的生命
[00:03:50.880 --> 00:03:56.240]  以致我們能夠在我們這個有限的身軀
[00:03:56.240 --> 00:03:59.440]  我們會有很多的罪惡的引誘下
[00:03:59.440 --> 00:04:02.880]  我們要靠主耶穌去得勝有餘
[00:04:02.880 --> 00:04:04.880]  羅馬書頭八章跟我們展述
[00:04:04.880 --> 00:04:08.000]  這個很重要的神救贖的計劃
[00:04:08.000 --> 00:04:09.920]  神救贖的美意
[00:04:09.920 --> 00:04:12.000]  但去到第九到第十一章
[00:04:12.000 --> 00:04:14.240]  這個第三段的大段落
[00:04:14.240 --> 00:04:16.240]  是非常重要
[00:04:16.240 --> 00:04:21.600]  因為當時保羅既然他成為這個愛邦人的使徒
[00:04:21.600 --> 00:04:26.880]  但是他自己要面對一個很遺憾的一個現實
[00:04:26.880 --> 00:04:28.400]  就是他自己的同胞
[00:04:28.400 --> 00:04:29.760]  他同族的人
[00:04:29.760 --> 00:04:33.120]  猶太人、以色列人竟然拒絕神的懿旨
[00:04:33.120 --> 00:04:34.560]  耶穌基督
[00:04:34.560 --> 00:04:38.160]  我們從舊約一直讀到新約都看見神的藍圖
[00:04:38.160 --> 00:04:45.840]  神在創世紀十二章說,祂要應許賜福阿伯拉罕和他的後裔
[00:04:45.840 --> 00:04:47.600]  他們要成為大國
[00:04:47.600 --> 00:04:50.960]  但神不只是為了祝福阿伯拉罕而祝福
