
[00:00:00.000 --> 00:00:01.720]  鄧兄姊妹新春平安
[00:00:01.720 --> 00:00:04.800]  願大家在新的一年
[00:00:04.800 --> 00:00:06.280]  都可以身體健康
[00:00:06.280 --> 00:00:07.800]  靈女也有長進
[00:00:07.800 --> 00:00:10.320]  很開心可以在大年初一
[00:00:10.320 --> 00:00:11.840]  可以跟大家分享訊息
[00:00:11.840 --> 00:00:13.520]  我們都是鄧兄姊妹
[00:00:13.520 --> 00:00:15.360]  在主裡面的一家
[00:00:15.360 --> 00:00:16.960]  能夠在大年初一
[00:00:16.960 --> 00:00:18.880]  可以回到主的家裡面
[00:00:18.880 --> 00:00:22.400]  我們去過年的確是特別溫暖的
[00:00:22.400 --> 00:00:24.800]  今天除了是大年初一
[00:00:24.800 --> 00:00:26.200]  是農曆新年
[00:00:26.200 --> 00:00:27.880]  其實都是基督徒合一
[00:00:27.880 --> 00:00:29.040]  主一崇拜
[00:00:29.920 --> 00:00:31.760]  認識我多些人都知道
[00:00:31.760 --> 00:00:33.440]  其實我很多時候有機會
[00:00:33.440 --> 00:00:36.080]  在不同的地方去參與服侍
[00:00:36.080 --> 00:00:39.440]  會接觸到來自五湖四海的信徒
[00:00:39.440 --> 00:00:42.840]  他們都有著不同的信仰經歷和背景
[00:00:42.840 --> 00:00:45.000]  不知道你們有沒有不時
[00:00:45.000 --> 00:00:46.400]  都會聽到人家分享
[00:00:46.400 --> 00:00:48.680]  明明都是讀同一本聖經
[00:00:48.680 --> 00:00:51.720]  為什麼好像看法或者做法
[00:00:51.720 --> 00:00:53.360]  都有點不同呢
[00:00:53.360 --> 00:00:56.840]  即使我們回同一個堂會
[00:00:56.840 --> 00:00:59.320]  我們來自同一個信仰群體
[00:00:59.320 --> 00:01:01.200]  都不難在教會裡面
[00:01:01.200 --> 00:01:03.520]  我們經常都聽到人們討論合一
[00:01:03.520 --> 00:01:05.840]  尤其是近年社會發生的事
[00:01:05.840 --> 00:01:09.960]  都驅使教內有更多有關合一的討論
[00:01:09.960 --> 00:01:14.200]  所以當大家今天看到那個宣道經文
[00:01:14.200 --> 00:01:15.960]  應該都不會覺得陌生
[00:01:15.960 --> 00:01:17.040]  因為基本上
[00:01:17.040 --> 00:01:19.480]  我們每次討論基督徒合一
[00:01:19.480 --> 00:01:22.440]  我們都一定會讀到《菲律賓書》第二章
[00:01:22.440 --> 00:01:25.920]  就讓我們一起去看《菲律賓書》之前
[00:01:25.920 --> 00:01:27.880]  我們一同低頭禱告
[00:01:29.880 --> 00:01:32.520]  慈悲憐憫的上主,感謝祢
