
[00:00:00.000 --> 00:00:02.800]  頂姐妹今天想和大家一起去思想
[00:00:02.800 --> 00:00:07.540]  雅各和神的使者出交的這一幕
[00:00:07.540 --> 00:00:11.340]  是雅各人生裏面一個很重要的轉捩點
[00:00:11.340 --> 00:00:14.320]  頂姐妹,在你人生的當中
[00:00:14.320 --> 00:00:15.820]  不知道你有沒有經歷過
[00:00:15.820 --> 00:00:21.540]  或者會不會正在經歷一些很深刻的信仰掙扎
[00:00:21.540 --> 00:00:23.240]  可能是一些恐懼
[00:00:23.240 --> 00:00:25.520]  可能是一些失望
[00:00:25.520 --> 00:00:27.820]  或者不明白的遭遇等等
[00:00:27.820 --> 00:00:31.260]  我很盼望今天我們能夠藉著一起去思想
[00:00:31.260 --> 00:00:32.820]  雅各的經歷
[00:00:32.820 --> 00:00:37.660]  我們能夠從中找到一些對我們有幫助的啟發
[00:00:37.660 --> 00:00:42.660]  今天想和大家看的經文是在《創世紀》三十二章
[00:00:42.660 --> 00:00:45.780]  大家一段不會陌生的記載
[00:00:45.780 --> 00:00:49.960]  讓我們一起重溫這個雅各很特別的經歷
[00:00:49.960 --> 00:00:54.000]  思想一下當中一些細節的意義
[00:00:54.000 --> 00:00:59.760]  經文《創世紀》三十二章二十二至三十二節
[00:00:59.760 --> 00:01:03.480]  我們簡單地重溫一下雅各的一些背景
[00:01:03.480 --> 00:01:09.500]  雅各的故事的記載是由《創世紀》第二十五章開始
[00:01:09.500 --> 00:01:12.980]  雅各是伊剎和尼伯加的兒子
[00:01:12.980 --> 00:01:15.780]  他有一個孿生的哥哥叫做爾素
[00:01:15.780 --> 00:01:20.560]  雅各的名字和他出生的情景是會有關係的
[00:01:20.560 --> 00:01:21.820]  因為當他出生的時候
[00:01:21.820 --> 00:01:25.240]  他用力地捉住哥哥的腳跟
[00:01:25.240 --> 00:01:27.840]  要和哥哥爭著出生
[00:01:27.840 --> 00:01:29.040]  事實上
[00:01:29.040 --> 00:01:31.820]  雅各由在母腹當中
[00:01:31.820 --> 00:01:36.960]  他已經開始了一個充滿憎勁的人生
[00:01:36.960 --> 00:01:41.060]  雅各的名字不單是抓住的意思
[00:01:41.060 --> 00:01:44.360]  也有欺騙的意思在裏面
[00:01:44.360 --> 00:01:45.980]  在第二十五章
[00:01:45.980 --> 00:01:52.980]  他先以紅豆湯來騙取了哥哥爾素長子的名分
[00:01:52.980 --> 00:01:54.160]  到了二十七章
[00:01:54.160 --> 00:01:57.960]  他和媽媽一起來扮演他的哥哥
[00:01:57.960 --> 00:02:01.800]  騙取了父親爾薩的祝福
[00:02:01.800 --> 00:02:03.640]  之後他就要逃命了
[00:02:03.640 --> 00:02:06.500]  逃命去投靠他的舅父拉班
[00:02:06.500 --> 00:02:11.580]  和拉班鬥智鬥力了二十年這麼久
[00:02:11.580 --> 00:02:12.640]  來到這一刻
[00:02:12.640 --> 00:02:18.280]  雅各要開始預備離開拉班回到他的家鄉
[00:02:18.280 --> 00:02:21.720]  他這個決定不單止是因為他和拉班的關係
[00:02:21.720 --> 00:02:24.880]  開始變得不太好了
[00:02:24.880 --> 00:02:27.580]  已經開始破裂了
[00:02:27.580 --> 00:02:29.940]  其實更加也是因為趙雀
[00:02:29.940 --> 00:02:33.180]  又說給雅各的吩咐
[00:02:33.180 --> 00:02:36.540]  在第三十一章第三節裏面提到
[00:02:36.540 --> 00:02:38.080]  雅各他要回家
[00:02:38.080 --> 00:02:39.480]  他要回到老家
[00:02:39.480 --> 00:02:40.640]  他就要面對
[00:02:40.640 --> 00:02:41.880]  他沒有選擇的
[00:02:41.880 --> 00:02:45.840]  他要面對他的哥哥爾素遲早的問題
[00:02:45.840 --> 00:02:49.980]  上一次他見他的哥哥是二十年前的事
[00:02:49.980 --> 00:02:53.800]  那時候因為雅各對哥哥連番的欺騙
[00:02:53.800 --> 00:02:57.660]  爾素揚言要殺死雅各
[00:02:57.660 --> 00:02:58.980]  來到現在
[00:02:58.980 --> 00:03:02.340]  其實雅各也不知道哥哥原諒了他沒有
[00:03:02.340 --> 00:03:05.060]  所以雅各他冒著很大的風險
[00:03:05.060 --> 00:03:07.480]  回到自己的家鄉
[00:03:07.480 --> 00:03:08.700]  冒著很大的風險
[00:03:08.700 --> 00:03:11.520]  走在神的旨意當中
[00:03:11.520 --> 00:03:13.120]  從這個角度看
[00:03:13.120 --> 00:03:18.320]  雅各也有他頗可取的一面
[00:03:18.320 --> 00:03:21.740]  雅各他啟程回到他家鄉
[00:03:21.740 --> 00:03:23.900]  有一個好的開始
[00:03:23.900 --> 00:03:27.500]  在路上很快他就遇到神的軍隊
[00:03:27.500 --> 00:03:29.660]  在三十二章一至二節裏面記載
[00:03:29.660 --> 00:03:33.240]  有神的軍隊伴著雅各他們一起安營
[00:03:33.240 --> 00:03:35.000]  去保護他們
