
[00:00:00.000 --> 00:00:02.940]  咁我哋呢就進入教會問題多三啦
[00:00:02.940 --> 00:00:06.140]  大家唔知聽到呢會唔會好好驚話搞咁多問題嘅
[00:00:06.140 --> 00:00:08.080]  仲要講到幾時呀咁樣呀
[00:00:08.080 --> 00:00:10.600]  咁我都係延續住哥林多前書㗎啫
[00:00:10.600 --> 00:00:13.080]  咁呀今日我哋講嘅題目係
[00:00:13.080 --> 00:00:16.260]  熟世智慧多於熟齡
[00:00:16.260 --> 00:00:18.740]  咁要重溫返少少嘅
[00:00:18.740 --> 00:00:22.080]  咁我哋呢就會起碼嚟緊呢個
[00:00:22.080 --> 00:00:24.400]  去六月呢我都會一路講緊
[00:00:24.400 --> 00:00:27.720]  用緊哥林多前書嘅頭四章啦
[00:00:27.720 --> 00:00:31.040]  咁呀上次講到呢高舉理性多於十價
[00:00:31.040 --> 00:00:33.920]  唔知大家個腦海裏面仲記得幾多呀
[00:00:33.920 --> 00:00:38.600]  因為保羅呢其實係佢建立哥林多教會
[00:00:38.600 --> 00:00:42.320]  所以當佢見到教會咁多問題出現嘅時候呢
[00:00:42.320 --> 00:00:44.200]  其實佢真係好心痛
[00:00:44.200 --> 00:00:48.040]  佢見到教會有分黨分爭分裂嘅問題
[00:00:48.040 --> 00:00:50.320]  其中一個最大問題點解會咁樣出現呢
[00:00:50.320 --> 00:00:52.560]  就係個屬靈官嘅問題
[00:00:52.560 --> 00:00:56.400]  屬靈官就係意思話當時嘅教會嘅領袖
[00:00:56.400 --> 00:00:59.960]  佢重視嘅價值觀係屬世嘅價值觀
[00:00:59.960 --> 00:01:01.320]  世俗嘅價值觀
[00:01:01.320 --> 00:01:04.240]  多於屬靈嘅價值觀
[00:01:04.240 --> 00:01:06.560]  就好似上個星期所講嘅
[00:01:06.560 --> 00:01:09.280]  重視當時嘅希臘哲學啦
[00:01:09.280 --> 00:01:11.080]  辯論嘅技巧啦
[00:01:11.080 --> 00:01:13.000]  理性嘅表達啦
[00:01:13.000 --> 00:01:15.040]  而輕看咗嘅耶穌基督
[00:01:15.040 --> 00:01:17.480]  丁十字架嘅犧牲嗰個嘅福音
[00:01:17.480 --> 00:01:19.320]  救贖嘅福音
[00:01:19.320 --> 00:01:22.440]  就算今日教會都可能會重視咗呢
[00:01:22.440 --> 00:01:26.920]  譬如報道會我哋請個呢明星嚟講見證
[00:01:26.920 --> 00:01:29.720]  教會就越堂皇越雲偉
[00:01:29.720 --> 00:01:33.600]  越起得越高就代表教會係成功
[00:01:33.600 --> 00:01:34.560]  我哋好容易呢
[00:01:34.560 --> 00:01:37.400]  就將世俗嘅價值觀擺咗入嚟
[00:01:37.400 --> 00:01:40.200]  屬靈嘅教會裏面
[00:01:40.200 --> 00:01:45.440]  哥倫本教會就要突出成功復活榮耀
[00:01:45.440 --> 00:01:49.120]  得勝係嗰位有能力光彩嘅一面
[00:01:49.120 --> 00:01:53.800]  將十字架嗰份受苦
[00:01:53.800 --> 00:01:54.920]  羞辱
[00:01:54.920 --> 00:01:59.480]  無量嘅軟弱係輕視咗或者唔理
[00:01:59.480 --> 00:02:03.520]  但保羅強調呢個先至係神嘅大能
[00:02:03.520 --> 00:02:04.440]  聖靈嘅能力
[00:02:04.440 --> 00:02:07.720]  呼喚嘅核心就係十字架上高去彰顯出嚟
[00:02:07.720 --> 00:02:11.280]  亦都係一個歷世歷代嘅奧秘
[00:02:11.280 --> 00:02:13.040]  保羅嘅信息提醒返我哋
[00:02:13.040 --> 00:02:15.520]  呢個重溫緊上個星期啲嘢啫
[00:02:15.520 --> 00:02:18.400]  提醒返作為教會嘅目者
[00:02:18.400 --> 00:02:19.320]  又係神嘅僕人
[00:02:19.320 --> 00:02:22.080]  我哋要忠於十字架嘅福音
