
[00:00:00.000 --> 00:00:10.000]  今天是我們的感恩主日,特別要跟各位分享一些我們不常常知道的關於感恩節的事情。
[00:00:10.000 --> 00:00:27.000]  我們都知道感恩節是1920年,一群清教徒從英國,他們從Plymouth港出來,來到美洲新大陸,那一年特別冷,最後剩下102個清教徒登陸上路。
[00:00:27.000 --> 00:00:44.000]  最後沒東西吃,一個人每天發五粒玉蜀蜀,五粒,一二三四五,就是你一天的,早餐一顆,中餐兩顆,晚餐兩顆,就這樣子吃。
[00:00:44.000 --> 00:01:03.000]  到了次年春天,死了一半的人,怎麼辦?連種子都吃掉了,結果印第安人來幫他們,印第安人給他們種子,印第安人教他們耕種、灌溉、施肥、除草、除蟲等等。
[00:01:03.000 --> 00:01:15.000]  結果來年有了大豐收,結果他們就宴請,也把印第安人請來,大家來享受豐富的飲食,這是我們知道的。
[00:01:15.000 --> 00:01:38.000]  但是我們不知道的是,登陸的第三年,也是感恩節的時候,11月中偏晚的時候,那個時候殖民地的總督,他的名字叫William Bradford,他就是開了一個感恩節的慶祝,他就發表了一篇感恩節的宣言。
[00:01:38.000 --> 00:01:54.000]  他說:「偉大的父慈給我們今年的豐收因,有印第安玉米、麥子、豌豆、大豆、南瓜和菜蔬,並使林中有豐富的獵物,海裡有魚類和介殼。
[00:01:54.000 --> 00:02:05.000]  它也保住我們免受野蠻人的攻擊,不受瘟疫疾病的侵害,並賜予我們按照個人良心,敬拜神的自由。
[00:02:05.000 --> 00:02:33.000]  現在,我以你們首長的身份,宣召你們全體移民,並妻子兒女齊集山上的會堂,於我們祖一六二三年,11月29日星期四,早上9點到12點,聽牧師的教導,聽牧師講感恩節的道,全能的神賜福獻上感恩。」
[00:02:33.000 --> 00:02:57.000]  然後移民第一總督William Bradford,他上面用了幾個字,非常的抓住我的心,因為他沒有講一句他要怎麼樣要怎麼樣,他只說感謝神,我們不受敵人的侵害,我們不受瘟疫的疾病的騷擾,
[00:02:57.000 --> 00:03:16.000]  我們能夠有豐收,那最基本的玉米、大麥、南瓜、豌豆、大豆、菜酥,還有林中豐富的獵物,海裡的魚,還有殼類,感謝神,讚美神。
[00:03:16.000 --> 00:03:35.000]  來到神的面前,我要跟神說,神啊,我這一路走來,幾乎沒有發生什麼大事情過,這是神對我的保守。我也沒有發過什麼財,但是我永遠是不少一頓飯,永遠吃得飽飽的。
[00:03:35.000 --> 00:03:52.000]  我也沒有做過什麼大的事情,但是我永遠是行路有光亮,做工得席,這是神的恩典。有的時候我們講說神的恩典是看不見、測不透、摸不著的。
