
[00:00:00.000 --> 00:00:01.480]  預備兩個題目
[00:00:01.480 --> 00:00:04.120]  一堂叫做「今生若比永恆長」
[00:00:04.120 --> 00:00:07.600]  第二堂叫做「空的墳墓 空的心」
[00:00:07.600 --> 00:00:09.360]  好聽嗎?
[00:00:09.360 --> 00:00:10.920]  我也覺得很好聽
[00:00:10.920 --> 00:00:12.120]  我想題目想了很久
[00:00:12.120 --> 00:00:13.800]  然後在房間裡走來走去
[00:00:13.800 --> 00:00:15.520]  「今生若比永恆長」
[00:00:15.520 --> 00:00:17.240]  「空的墳墓 空的心」
[00:00:17.240 --> 00:00:19.400]  我老婆問你發生什麼事呢?
[00:00:19.400 --> 00:00:22.520]  我說就是準備講那兩堂課的訊息
[00:00:22.520 --> 00:00:24.400]  很開心預備這兩堂課的訊息
[00:00:24.400 --> 00:00:27.440]  這一堂的訊息叫做「今生若比永恆長」
[00:00:27.440 --> 00:00:29.440]  其實這是一首歌的主題
[00:00:29.440 --> 00:00:30.520]  不知道大家知不知道
[00:00:30.520 --> 00:00:32.520]  是《天雲》裡面一首的歌
[00:00:32.520 --> 00:00:34.120]  其實這個題目有些矛盾
[00:00:34.120 --> 00:00:35.960]  其實也不是很正確
[00:00:35.960 --> 00:00:37.240]  別人問這個問題
[00:00:37.240 --> 00:00:38.880]  「今生若比永恆長」
[00:00:38.880 --> 00:00:40.680]  其實答案是很明顯
[00:00:40.680 --> 00:00:42.600]  我問你十塊多還是一百塊多
[00:00:42.600 --> 00:00:44.520]  你不需要答我應該知道
[00:00:44.520 --> 00:00:46.280]  一百塊多還是一千塊多
[00:00:46.280 --> 00:00:47.360]  大家都知道
[00:00:47.360 --> 00:00:48.480]  哪一個比較多
[00:00:48.480 --> 00:00:49.760]  非常明顯
[00:00:49.760 --> 00:00:51.560]  一百塊固然是好
[00:00:51.560 --> 00:00:53.120]  十塊也不錯
[00:00:53.120 --> 00:00:54.400]  一千塊是銀子
[00:00:54.400 --> 00:00:56.280]  一百塊不是廢紙
[00:00:56.280 --> 00:00:58.000]  都有用的
[00:00:58.320 --> 00:00:59.880]  《傳道書》十一章第八節說
[00:00:59.880 --> 00:01:01.600]  人要享受今生
[00:01:01.600 --> 00:01:03.040]  這個是沒有錯的
[00:01:03.040 --> 00:01:06.320]  有些人說信了基督徒就厭世了
[00:01:06.320 --> 00:01:07.320]  我說不是的
[00:01:07.320 --> 00:01:08.240]  你想去喝茶
[00:01:08.240 --> 00:01:09.720]  吃到好的點心
[00:01:09.720 --> 00:01:11.000]  不需要愁眉苦臉
[00:01:11.000 --> 00:01:12.640]  怕別人說你愛世界的
[00:01:12.640 --> 00:01:16.560]  基督徒是可以享受好的點心
[00:01:16.560 --> 00:01:18.960]  享受好的一杯香茶
[00:01:18.960 --> 00:01:22.080]  神做這個世界給我們享受不是問題
[00:01:22.080 --> 00:01:23.720]  但是《傳道書》提醒我們
[00:01:23.720 --> 00:01:26.640]  不單止我們今生要好過
