
[00:00:00.000 --> 00:00:02.440]  今天想和大家講一個題目
[00:00:02.440 --> 00:00:05.240]  哲行傳十一章一至八節
[00:00:05.240 --> 00:00:07.280]  你有電子聖經也好
[00:00:07.280 --> 00:00:08.600]  有自己的聖經也好
[00:00:08.600 --> 00:00:10.920]  麻煩你們打開來看一下
[00:00:10.920 --> 00:00:12.720]  習慣了看一下這些文字
[00:00:12.720 --> 00:00:14.440]  不然這裡也有得看的
[00:00:14.440 --> 00:00:16.240]  讓你習慣了
[00:00:16.240 --> 00:00:18.640]  作一個僵化的敵人
[00:00:18.640 --> 00:00:20.160]  僵化是什麼呢
[00:00:20.160 --> 00:00:22.440]  即是老化的現象
[00:00:22.440 --> 00:00:24.040]  一會兒我賣個關子
[00:00:24.040 --> 00:00:25.080]  一會兒我再講一下
[00:00:25.080 --> 00:00:26.480]  為什麼會用這個題目
[00:00:30.000 --> 00:00:34.160]  我的家鄉是香港人
[00:00:34.160 --> 00:00:35.080]  我的家鄉
[00:00:35.080 --> 00:00:37.880]  有誰在這裡是香港人
[00:00:37.880 --> 00:00:38.800]  很多吧
[00:00:38.800 --> 00:00:40.480]  佔了六七成的人
[00:00:40.480 --> 00:00:42.760]  香港最近發生的事情
[00:00:42.760 --> 00:00:46.520]  是不能夠不在心裏有些傷感
[00:00:46.520 --> 00:00:48.240]  1989年6月4日
[00:00:48.240 --> 00:00:50.320]  我親眼在香港看著
[00:00:50.320 --> 00:00:55.240]  天安門的學生被解放軍
[00:00:55.240 --> 00:00:57.080]  中國人民的解放軍
[00:00:57.080 --> 00:01:00.760]  壓迫甚至有很多死傷
[00:01:00.760 --> 00:01:06.520]  今天香港同樣這班十多二十歲的年青人
[00:01:06.520 --> 00:01:09.600]  在香港遇到同樣的對待
[00:01:09.600 --> 00:01:14.280]  我不能夠不覺得傷感
[00:01:14.280 --> 00:01:15.080]  上街罷課
[00:01:15.080 --> 00:01:16.440]  這個原因大家都知道
[00:01:16.440 --> 00:01:18.840]  因為中國政府說
[00:01:18.840 --> 00:01:23.040]  2017年不會有普選產生
[00:01:23.040 --> 00:01:28.400]  你的自由民主的盼望是完全熄滅
[00:01:28.400 --> 00:01:32.880]  一即時就觸發了整個香港的人
[00:01:32.880 --> 00:01:36.680]  從年青人到年長的人都開始發覺
[00:01:36.680 --> 00:01:39.080]  這個很大的失望在裏面
[00:01:39.080 --> 00:01:40.880]  於是乎就上街罷課遊行
[00:01:40.880 --> 00:01:42.280]  但不是這個最主要的問題
[00:01:42.280 --> 00:01:44.480]  你表達你不滿之餘
[00:01:44.480 --> 00:01:47.640]  居然今天在一個成為開放的社會
[00:01:47.640 --> 00:01:49.240]  香港文明的社會裏面
[00:01:49.240 --> 00:01:50.800]  居然用同樣的方法
[00:01:50.800 --> 00:01:53.760]  你見到那些人是手無寸鐵的
[00:01:53.760 --> 00:01:55.280]  面對這些警察
[00:01:55.280 --> 00:01:57.800]  面對這些強權的時候
[00:01:57.800 --> 00:02:02.800]  他們用一些暴力去壓制
[00:02:02.800 --> 00:02:05.120]  我最不想見到的
[00:02:05.120 --> 00:02:07.480]  就是流血事情發生
[00:02:07.480 --> 00:02:10.520]  因為這些年青人其實甚麼都不知道
[00:02:10.520 --> 00:02:13.200]  但是他們為了民主
[00:02:13.200 --> 00:02:14.280]  為了自由
[00:02:14.280 --> 00:02:16.440]  他們要擺上這種付出
[00:02:16.440 --> 00:02:19.720]  今天我不是說民主社會
[00:02:19.720 --> 00:02:22.120]  不是說政治
[00:02:22.120 --> 00:02:24.160]  我心裏面問一個問題
[00:02:24.160 --> 00:02:26.600]  神在哪裏
[00:02:26.600 --> 00:02:30.240]  神是否在掌管這個世界
[00:02:30.240 --> 00:02:33.880]  掌管這個歷史
[00:02:33.880 --> 00:02:38.200]  神是否在控制這個時代的巨輪
[00:02:38.200 --> 00:02:39.920]  在帶領人
[00:02:39.920 --> 00:02:42.840]  二十多年前我看六四事件已經發生到今天
[00:02:42.840 --> 00:02:43.920]  已經變了
[00:02:43.920 --> 00:02:46.240]  今天同樣事情又再發生
[00:02:46.240 --> 00:02:50.040]  究竟上帝是否存在
[00:02:50.040 --> 00:02:53.320]  一直以來我們在整本經文裏面
[00:02:53.320 --> 00:02:54.520]  我們經常說
