
[00:00:00.000 --> 00:00:03.720]  今天跟大家分享一個題目
[00:00:03.720 --> 00:00:11.840]  一個題目叫做一個真正在基督裏的人
[00:00:11.840 --> 00:00:13.600]  首先問一個問題
[00:00:13.600 --> 00:00:18.280]  有哪位朋友覺得這句描述是描述你,是對的
[00:00:18.280 --> 00:00:22.280]  一個真正在基督裏的人,你說你是的
[00:00:22.280 --> 00:00:24.040]  好,1,2,3,舉手
[00:00:25.320 --> 00:00:30.640]  只有這麼少,好,來一次
[00:00:30.640 --> 00:00:34.360]  誰覺得自己是真的在基督裏的
[00:00:34.360 --> 00:00:37.840]  多了一點,醒了一點,分手
[00:00:37.840 --> 00:00:42.760]  有沒有些是假的,沒理由舉手的,是不是
[00:00:42.760 --> 00:00:48.560]  爲什麼會真正,可能你會想,什麼叫真正在基督裏呢
[00:00:48.560 --> 00:00:51.560]  在基督裏有假的嗎
[00:00:51.560 --> 00:00:54.640]  看看這篇經文,今天想讓大家反省一下
[00:00:54.640 --> 00:00:58.280]  《綱目多後書》第十二章,第二到第十節
[00:00:58.280 --> 00:01:02.480]  熒幕上會打出經文,大家可以看着或者翻開聖經
[00:01:02.480 --> 00:01:06.600]  《綱目多後書》第十二章,第二到第十節
[00:01:06.600 --> 00:01:09.080]  好,我們一起試試先讀完這段聖經
[00:01:09.080 --> 00:01:10.320]  好,預備起
[00:01:10.320 --> 00:01:13.680]  我認識一個在基督裏的人
[00:01:13.680 --> 00:01:18.400]  他在十四年前被提到第三層天上去
[00:01:18.400 --> 00:01:21.000]  或在身內,我不知道
[00:01:21.000 --> 00:01:23.680]  或在身外,我也不知道
[00:01:23.680 --> 00:01:25.680]  只有上帝知道
[00:01:25.680 --> 00:01:27.680]  我認識的這樣的一個人
[00:01:27.680 --> 00:01:31.680]  或在身內,或在身外,我也不知道
[00:01:31.680 --> 00:01:33.680]  只有上帝知道
[00:01:33.680 --> 00:01:35.680]  他被提到樂園裏
[00:01:35.680 --> 00:01:37.680]  聽見隱祕的言語
[00:01:37.680 --> 00:01:39.680]  是人不可說的
[00:01:39.680 --> 00:01:42.680]  爲這人,我要誇口
[00:01:42.680 --> 00:01:44.680]  但是爲我自己
[00:01:44.680 --> 00:01:46.680]  除了我的軟弱以外
[00:01:46.680 --> 00:01:48.680]  我並不誇口
