
[00:00:00.000 --> 00:00:02.000]  各位聽眾大家好
[00:00:02.000 --> 00:00:04.600]  和大家一起讀聖經
[00:00:04.600 --> 00:00:06.400]  《生命說書》的網絡
[00:00:06.400 --> 00:00:08.200]  《聖經人》《聖經事》
[00:00:08.200 --> 00:00:12.600]  看看上帝在人與事背後有什麼動作
[00:00:12.600 --> 00:00:15.400]  「惟有耶和華管理你們」
[00:00:15.400 --> 00:00:18.000]  「耶和華管理你們」
[00:00:18.000 --> 00:00:19.600]  這是基殿所說的
[00:00:19.600 --> 00:00:22.000]  今天聖經人物繼續在基殿
[00:00:22.000 --> 00:00:26.000]  故事就是他和以色列人說的話
[00:00:26.000 --> 00:00:30.000]  是詩記八章二十二節
[00:00:30.000 --> 00:00:32.000]  以色列人對基殿說
[00:00:32.000 --> 00:00:37.000]  「你既救我們脫離米殿人的手」
[00:00:37.000 --> 00:00:41.000]  「願你和你的兒孫管理我們」
[00:00:41.000 --> 00:00:44.000]  基殿說「我不管理你們」
[00:00:44.000 --> 00:00:48.000]  「我的兒子也不管理你們」
[00:00:48.000 --> 00:00:52.000]  「惟有耶和華管理你們」
[00:00:52.000 --> 00:00:54.000]  基殿又對他們說
[00:00:54.000 --> 00:00:58.000]  「我有一件事求你們」
[00:00:58.000 --> 00:01:03.000]  「請你們各人將所奪得的耳環給我」
[00:01:03.000 --> 00:01:06.000]  「原來仇敵是以實瑪利人」
[00:01:06.000 --> 00:01:09.000]  「都是戴金耳環的」
[00:01:09.000 --> 00:01:13.000]  他們說「我們情願給你」
[00:01:13.000 --> 00:01:16.000]  「鋪開一件外衣」
[00:01:16.000 --> 00:01:18.000]  「各人將所奪得的耳環」
[00:01:18.000 --> 00:01:21.000]  「雕在其上」
[00:01:21.000 --> 00:01:26.000]  廿六節「基殿所要出來的金耳環」
[00:01:26.000 --> 00:01:31.000]  「是重一千七百射赫勒金紙」
[00:01:31.000 --> 00:01:35.000]  「此外還有米殿王所戴的月環」
[00:01:35.000 --> 00:01:39.000]  「以誰和所穿的紫色衣服」
[00:01:39.000 --> 00:01:43.000]  「並落駝項上的金鏈紙」
[00:01:43.000 --> 00:01:49.000]  「基殿以此製造了一個耳筏德」
[00:01:49.000 --> 00:01:53.000]  「設立在本城俄弗拉」
[00:01:53.000 --> 00:01:56.000]  「後來以色列人拜那爾弗德」
[00:01:56.000 --> 00:01:58.000]  「行了邪淫」
[00:01:58.000 --> 00:02:04.000]  「就作了基殿和他全家的網囊」
[00:02:04.000 --> 00:02:07.000]  今天跟大家讀這段經文
[00:02:07.000 --> 00:02:09.000]  我發覺先讀完一次
[00:02:09.000 --> 00:02:11.000]  然後再講它的重點
[00:02:11.000 --> 00:02:13.000]  可能會更加清晰
[00:02:13.000 --> 00:02:16.000]  所以我回去跟大家讀聖經
[00:02:16.000 --> 00:02:20.000]  「惟耶和華管理你們」
[00:02:20.000 --> 00:02:23.000]  「基殿贏了米殿人」
[00:02:23.000 --> 00:02:27.000]  「最後那兩個王在沉日體都殺死了」
[00:02:27.000 --> 00:02:30.000]  「沒有什麼再有米殿人」
[00:02:30.000 --> 00:02:34.000]  「米殿人是一個沙漠遊牧的民族」
[00:02:34.000 --> 00:02:38.000]  「他們其實包含了很多很多族人」
[00:02:38.000 --> 00:02:42.000]  「當然以大的種族來看」
[00:02:42.000 --> 00:02:44.000]  「他們都是其中一個分支」
[00:02:44.000 --> 00:02:46.000]  「不過裏面有更多小分支」
[00:02:46.000 --> 00:02:49.000]  「米殿人非常豪大」
