
[00:00:00.000 --> 00:00:04.480]  我們一起祈禱,主,我們在你面前的時候,我們真的很歡喜快樂
[00:00:04.480 --> 00:00:10.800]  因為你給我們一個家,你就在地上設立你自己的帳幕,會幕
[00:00:10.800 --> 00:00:17.160]  而主啊,我們更加是被你選召,被你揀選,成為你的兒女
[00:00:17.160 --> 00:00:20.520]  父啊,這個真是一個不可能發生的事
[00:00:20.520 --> 00:00:23.680]  但是主啊,你竟然讓這個神蹟在我們每個人身上
[00:00:23.680 --> 00:00:26.080]  相信你跟隨你的人都可以發生
[00:00:26.080 --> 00:00:32.120]  甚至主啊,我們今天可以在你面前祈求,可以尋找,可以向你敲門
[00:00:32.120 --> 00:00:35.560]  主啊,你就在我們當中,我們多謝你
[00:00:35.560 --> 00:00:40.560]  願主啊,你繼續在我們當中的時候,讓我們的心能夠打開
[00:00:40.560 --> 00:00:42.800]  讓你的靈可以跟我們說話
[00:00:42.800 --> 00:00:46.480]  我們祈禱交託,奉主名求,阿們
[00:00:46.480 --> 00:00:52.520]  好,我們繼續在這個登山寶墳裡面去學習上帝的話語
[00:00:52.520 --> 00:00:59.080]  今天我們要講的題目是「祈求,尋找和叩門」
[00:00:59.080 --> 00:01:03.640]  在聖經裡面,其實有很多的經文大家都很喜歡的
[00:01:03.640 --> 00:01:07.360]  當我說這三個字的時候,大家就會想起一段經文
[00:01:07.360 --> 00:01:15.160]  有一句說話就是「祈求就得著,尋找就尋見,叩門就開門」
[00:01:15.160 --> 00:01:17.320]  我們都很喜歡這些經文
[00:01:17.320 --> 00:01:21.200]  但是有時候,我們未必完全去了解得到
[00:01:21.200 --> 00:01:25.520]  在登山寶墳裡面,有很多我們很喜歡的經文
[00:01:25.520 --> 00:01:30.920]  但是其實,它可能有些意思是我們比較一廂情願了
[00:01:30.920 --> 00:01:34.280]  不是這樣的意思,但是我們當成是這樣的意思
[00:01:34.280 --> 00:01:36.920]  或者我們先一起去讀一段經文,好嗎?
[00:01:36.920 --> 00:01:42.480]  這一段是馬太風第七章的七到十二節
[00:01:42.480 --> 00:01:45.800]  因為我們剛才講的那一節經文,它不是獨立一節的
[00:01:45.800 --> 00:01:49.840]  它是由第七節到十二節為之一段
[00:01:49.840 --> 00:01:52.320]  我們一起讀吧,一二三
[00:01:52.320 --> 00:01:59.800]  「你們祈求就給你們,尋找就尋見,叩門就給你們開門」
[00:01:59.800 --> 00:02:09.040]  「因為凡祈求的就得著,尋找的就尋見,叩門的就給你開門」
[00:02:09.040 --> 00:02:17.960]  「你們中間哪一個人,而只向他要餅,反給他石頭,要魚,反給他蛇呢?」
[00:02:17.960 --> 00:02:23.960]  「你們雖然邪惡,尚且知道把好東西給兒女」
[00:02:23.960 --> 00:02:32.120]  「何況你們在天上的父」
[00:02:32.120 --> 00:02:38.120]  「你們願意人怎樣待你們,你們也要怎樣待人」
[00:02:38.120 --> 00:02:42.600]  「這是律法和先知的總幹」
