
[00:00:00.000 --> 00:00:03.600]  地生姐妹,祖內平安。
[00:00:03.600 --> 00:00:09.900]  每一次在崇拜裡面用普通話的詩歌來敬拜崇的時候,
[00:00:09.900 --> 00:00:11.700]  我就有一個很深的感動,
[00:00:11.700 --> 00:00:15.300]  因為本來我就是不懂普通話的。
[00:00:15.300 --> 00:00:22.600]  就是我在2014年到日本東京的教會去宣教的時候,
[00:00:22.600 --> 00:00:25.600]  那我在華安教會侍奉了一年,
[00:00:25.600 --> 00:00:29.100]  在那個時候我就硬著頭皮就講了,
[00:00:29.100 --> 00:00:32.500]  那每一次我講錯,地生姐妹就改正我。
[00:00:32.500 --> 00:00:37.200]  我們一起每個星期有很多度聖祭的機會,
[00:00:37.200 --> 00:00:40.000]  然後每一次我錯,他們又改正我。
[00:00:40.000 --> 00:00:45.600]  所以因為在教會裡面有很多不同地方的中國的地生姐妹,
[00:00:45.600 --> 00:00:50.900]  尤其是福建的,大連的,還有北京的也有,
[00:00:50.900 --> 00:00:54.800]  也有從臺灣來的,新加坡的也有。
[00:00:54.800 --> 00:01:00.800]  所以可能我的普通話是不同的,無法把門的,
[00:01:00.800 --> 00:01:02.800]  希望大家能夠聽得懂。
[00:01:02.800 --> 00:01:06.500]  但是我相信聖靈會幫助我們聽得懂祂自己的話語。
[00:01:06.500 --> 00:01:12.800]  好,給大家說一聲新年平安。
[00:01:12.800 --> 00:01:16.700]  好,就是我們香港的新年是跟中國的傳統,
[00:01:16.700 --> 00:01:23.900]  我們在農曆的時候才有一個大規模的一些慶祝活動。
[00:01:23.900 --> 00:01:31.600]  但是日本的新年呢,他們是跟那個系列是一樣的。
[00:01:31.600 --> 00:01:37.000]  他們在正月裡面,最重要的活動叫做初儀,
[00:01:37.000 --> 00:01:39.200]  這是初儀。
[00:01:39.200 --> 00:01:44.200]  也就是新的一年,他們會到那個神社去參拜。
[00:01:44.200 --> 00:01:51.200]  這個是從江戶時代開始的傳統一直保留到現在。
[00:01:51.200 --> 00:01:56.200]  日本人他們無論是男的女的,是老的,是年幼的,
[00:01:56.200 --> 00:02:02.200]  大多都會去這個神社去參拜,去參加這個初儀。
[00:02:02.200 --> 00:02:04.700]  然後他們感謝他們的神明,
[00:02:04.700 --> 00:02:09.200]  保佑過去一年能夠讓他們平安度過,
[00:02:09.200 --> 00:02:13.700]  並祈求新的一年能夠順利健康。
[00:02:13.700 --> 00:02:18.700]  他們還有不同的活動,但是我不講太多。
[00:02:18.700 --> 00:02:23.700]  你們看到這個就是在神社裡面他們求籤那些事情。
[00:02:23.700 --> 00:02:25.700]  然後他們求籤之後,
[00:02:25.700 --> 00:02:28.700]  他們會到這個商店街、屋台街去換,
[00:02:28.700 --> 00:02:32.200]  換街去買一些紀念品。
[00:02:32.200 --> 00:02:35.700]  然後他們到神社之前,他們會洗手,
[00:02:35.700 --> 00:02:41.200]  會漱口,那些那個事情他們會做。
[00:02:41.200 --> 00:02:44.700]  然後他們也會買那個護身符。
[00:02:44.700 --> 00:02:48.700]  那個神籤在日本叫做「おみくじ」。
[00:02:48.700 --> 00:02:54.700]  這是他們很奇怪,就是他們就算抽到了這個送籤,
[00:02:54.700 --> 00:02:56.700]  他們也不太懼怕,
[00:02:56.700 --> 00:03:02.700]  因為他們只是把它綁在神社或者支援的那個樹枝或者繩子上面,
[00:03:02.700 --> 00:03:11.700]  然後那個神就會幫助他們去消災免禍那個事情。
[00:03:11.700 --> 00:03:14.700]  所以很多人去,他們不怕去求到那個送籤。
[00:03:14.700 --> 00:03:17.700]  所以你們到日本去神社去看,
[00:03:17.700 --> 00:03:21.700]  就很多那個籤綁在那個繩子上面,就是這個意思。
[00:03:21.700 --> 00:03:26.700]  最後我想講的就是他們也會跟我們中國人一樣,
[00:03:26.700 --> 00:03:31.700]  就是會那個香撈去那個賞香那個事情。
[00:03:31.700 --> 00:03:36.700]  大概一束大概100日幣。
[00:03:36.700 --> 00:03:42.700]  他們把那個香插在那個香爐之後,
[00:03:42.700 --> 00:03:46.700]  他們會用手把那個煙往自己身上去化。
[00:03:46.700 --> 00:03:51.700]  據說這個身體那裡不舒服就放那個地方化就可以了。
[00:03:51.700 --> 00:03:57.700]  然後他們也會常常帶著孩子也一起去,
[00:03:57.700 --> 00:04:00.700]  然後把煙潑在孩子的頭上化,
[00:04:00.700 --> 00:04:06.700]  就是可以讓孩子更聰明,對,那個事情。
[00:04:06.700 --> 00:04:09.700]  不知道大家新年有哪些願望?
[00:04:09.700 --> 00:04:13.700]  日本人他們就是很多都喜歡那個身體健康,
[00:04:13.700 --> 00:04:20.700]  跟中國的傳統很像,就是希望孩子能夠念書念得好,
[00:04:20.700 --> 00:04:23.700]  將來有一個好的成就。
[00:04:23.700 --> 00:04:25.700]  那但是我們基督徒呢?
[00:04:25.700 --> 00:04:31.700]  我們基督徒我們的願望是什麼在新的一年?
[00:04:31.700 --> 00:04:37.700]  我們的願望是不是放在耶穌基督的事情上面呢?
[00:04:37.700 --> 00:04:40.700]  但是我們知道我們很多的人若,
[00:04:40.700 --> 00:04:42.700]  很多時候我們有很多不同的儀式,
[00:04:42.700 --> 00:04:47.700]  那個仁義、神義,還有一些俗世俗名怎樣去分辨呢?
[00:04:47.700 --> 00:04:51.700]  是不是那麼簡單就可以分辨?
[00:04:51.700 --> 00:04:55.700]  希望今天的經文能夠幫助我們在新的一年,
[00:04:55.700 --> 00:04:59.700]  我們去計劃我們的願望的時候,
[00:04:59.700 --> 00:05:04.700]  可以我們的心更加貼近神的心意。
[00:05:04.700 --> 00:05:10.700]  好,我們一起去再念一次這個經文。
[00:05:10.700 --> 00:05:14.700]  《使徒行傳》十六章六到十節。
[00:05:14.700 --> 00:05:17.700]  好,我們一起念,好,謝謝。
[00:05:17.700 --> 00:05:22.700]  因為聖靈近時他們在亞斯亞講道,
[00:05:22.700 --> 00:05:26.700]  他們就經過婦女家,在拉塔一帶地方,
[00:05:26.700 --> 00:05:29.700]  到了美西亞的邊界,
[00:05:29.700 --> 00:05:32.700]  他們想要往彼特里去,
[00:05:32.700 --> 00:05:34.700]  耶穌的靈卻不許,
[00:05:34.700 --> 00:05:38.700]  他們就越過美西亞,下特羅亞去。
[00:05:38.700 --> 00:05:42.700]  夜間有一象向保羅顯現,
