
[00:00:00.000 --> 00:00:08.500]  「受苦節」,即是今日,「Good Friday」。
[00:00:08.500 --> 00:00:12.500]  呢個日子,係好特別嘅日子。
[00:00:12.500 --> 00:00:20.500]  今日,係耶穌為我哋死啦!為我哋受苦啦!
[00:00:20.500 --> 00:00:25.500]  但係呢個人子,使上帝痛苦,
[00:00:25.500 --> 00:00:31.500]  唔單止耶穌,獄身上嘅死。
[00:00:31.500 --> 00:00:39.500]  佢,呢個神,佢嘅天父,離棄佢。
[00:00:39.500 --> 00:00:44.500]  人離棄佢,神離棄佢。
[00:00:44.500 --> 00:00:48.500]  呢一個嘅離棄。
[00:00:48.500 --> 00:00:54.500]  呢個離棄呢,呢個嘅感受呢,
[00:00:54.500 --> 00:00:56.500]  係邊度嚟㗎呢?
[00:00:56.500 --> 00:01:02.500]  喺「受難節」嘅嗰一日呢,或者前夕呢,
[00:01:02.500 --> 00:01:04.500]  發生一啲嘅事呀。
[00:01:04.500 --> 00:01:08.500]  我哋讀聖經嘅時候呢,時時都讀到。
[00:01:08.500 --> 00:01:11.500]  但係呢,有時執迷咗一啲嘅細節呀。
[00:01:11.500 --> 00:01:17.500]  就係喺呢啲嘅記載當中呢,有一個好重要嘅主題呀。
[00:01:17.500 --> 00:01:22.500]  成為咗好多「受難節」嘅戲劇呀,
[00:01:22.500 --> 00:01:28.500]  同埋藝術作品呀,特別啲畫呀,嘅主題呀。
[00:01:28.500 --> 00:01:31.500]  即係耶穌呀,被戲弄。
[00:01:31.500 --> 00:01:33.500]  基督被戲弄。
[00:01:33.500 --> 00:01:37.500]  上帝被戲弄。
[00:01:37.500 --> 00:01:44.500]  所以今日呢,我都同大家去思想呢一個,上帝被人戲弄。
[00:01:44.500 --> 00:01:51.500]  講起戲弄呢,我想問大家呀,有冇比人玩過呀?
[00:01:51.500 --> 00:01:53.500]  唔好玩我啦。
[00:01:53.500 --> 00:01:56.500]  咩意思呀?
[00:01:56.500 --> 00:01:59.500]  即係唔好戲弄我啦,係咪呀?
[00:01:59.500 --> 00:02:03.500]  我哋講乜嘢好全神嘅,唔好玩我啦。
[00:02:03.500 --> 00:02:05.500]  耶穌被人玩?
[00:02:05.500 --> 00:02:07.500]  上帝被人玩?
[00:02:07.500 --> 00:02:11.500]  有咁嘅一回事呀?
[00:02:11.500 --> 00:02:19.500]  上帝被人戲弄,呢一幅係一個好著名嘅一個嘅藝術作品,油畫。
[00:02:19.500 --> 00:02:26.500]  佢講耶穌比人哋去玩。
[00:02:26.500 --> 00:02:29.500]  周則呀,係咪呀?
[00:02:29.500 --> 00:02:32.500]  周則同玩有啲唔同嘅,被人玩。
[00:02:32.500 --> 00:02:36.500]  當然啦,你成周則,你都係玩你啦。
[00:02:36.500 --> 00:02:40.500]  佢係比人哋玩。
[00:02:40.500 --> 00:02:46.500]  我一齊讀一條經文,就係《馬太福音》第廿七章,廿七節到第廿九節。
[00:02:46.500 --> 00:02:50.500]  巡撫的羹,就把耶穌帶進禁毒府。
[00:02:50.500 --> 00:02:54.500]  把全用的羹都聚集在耶穌那裡。
[00:02:54.500 --> 00:03:00.500]  他們脫掉祂的衣服,穿上一件珠紅色袍子。
[00:03:00.500 --> 00:03:05.500]  用經的飄搖耳棍鏈,戴在祂頭上。
[00:03:05.500 --> 00:03:09.500]  拿一斤無尾竿,放在祂右手裡。
[00:03:09.500 --> 00:03:13.500]  跪在祂面前,戲弄祂笑。
[00:03:13.500 --> 00:03:16.500]  萬歲萬下人的王。
[00:03:16.500 --> 00:03:18.500]  戲弄,就變了一個講題。
[00:03:18.500 --> 00:03:21.500]  戲弄祂笑。
[00:03:21.500 --> 00:03:22.500]  點樣戲弄祂呢?
[00:03:22.500 --> 00:03:27.500]  就,第一樣嘢。
[00:03:27.500 --> 00:03:31.500]  你睇下,呢個戲弄呢,就好多個畫作裡面都有啦。
[00:03:31.500 --> 00:03:33.500]  就係,瞞住耶穌嘅眼呀。
[00:03:33.500 --> 00:03:36.500]  就被人,刮祂嘴巴呀。
[00:03:36.500 --> 00:03:37.500]  拔下祂耳仔呀。
[00:03:37.500 --> 00:03:40.500]  即係,拐下祂用佢。
[00:03:40.500 --> 00:03:44.500]  拐下祂,你就知道我點樣講啦,係咪呀?
[00:03:44.500 --> 00:03:47.500]  呢個戲弄耶穌。
[00:03:47.500 --> 00:03:53.500]  呢個呢,就係一個十六世紀嘅畫作出名嘅,德國嘅畫家。
[00:03:53.500 --> 00:03:56.500]  耶穌嗰日戲弄祂。
[00:03:56.500 --> 00:04:00.500]  糟蹋祂。
[00:04:00.500 --> 00:04:04.500]  耶穌係戲弄向歷代嘅一個畫作嘅主題。
[00:04:04.500 --> 00:04:07.500]  呢個係近代嘅,現代嘅畫。
