
[00:00:00.000 --> 00:00:01.600]  記不記得十二月
[00:00:01.600 --> 00:00:03.000]  講馬尼亞故事的時候
[00:00:03.000 --> 00:00:05.000]  其中一個很重要的觀念
[00:00:05.000 --> 00:00:07.000]  一個挑戰就是打破框框
[00:00:07.000 --> 00:00:11.000]  昨晚
[00:00:11.000 --> 00:00:14.000]  一直睡覺都在想要怎樣講
[00:00:14.000 --> 00:00:16.000]  因為要講得快
[00:00:16.000 --> 00:00:18.000]  怕不可以有太多
[00:00:18.000 --> 00:00:20.000]  不是整體的說話
[00:00:20.000 --> 00:00:22.000]  不過昨晚有
[00:00:22.000 --> 00:00:25.000]  姐妹跟我分享一些小朋友的需要
[00:00:25.000 --> 00:00:27.000]  在撼
[00:00:27.000 --> 00:00:29.000]  震動我的框框
[00:00:29.000 --> 00:00:31.000]  大家都知道二月初會有
[00:00:31.000 --> 00:00:33.000]  嬰孩奉獻禮
[00:00:33.000 --> 00:00:35.000]  嬰孩奉獻禮的規矩就是
[00:00:35.000 --> 00:00:37.000]  父母都是基督徒
[00:00:37.000 --> 00:00:39.000]  是不是
[00:00:39.000 --> 00:00:41.000]  不過我有一個信念就是
[00:00:41.000 --> 00:00:43.000]  教會是一條家庭的村落
[00:00:43.000 --> 00:00:46.000]  其實我們有各樣各種的家庭
[00:00:46.000 --> 00:00:48.000]  是不是
[00:00:48.000 --> 00:00:50.000]  那些小朋友
[00:00:50.000 --> 00:00:52.000]  不需要被獻上在
[00:00:52.000 --> 00:00:54.000]  神的覆蓋和恩典裡面
[00:00:54.000 --> 00:00:55.000]  我的意思是
[00:00:55.000 --> 00:00:58.000]  如果他爸爸媽媽不是基督徒
[00:00:58.000 --> 00:01:01.000]  或者只是其中一位是基督徒
[00:01:01.000 --> 00:01:06.000]  神給我一個很深的心痛
[00:01:06.000 --> 00:01:09.000]  看到小朋友因為父母的婚姻困難
[00:01:09.000 --> 00:01:11.000]  引致他們
[00:01:11.000 --> 00:01:13.000]  在心的深處
[00:01:13.000 --> 00:01:15.000]  被拒絕
[00:01:15.000 --> 00:01:17.000]  被遺棄
[00:01:17.000 --> 00:01:20.000]  但是當他們去到神的家的時候
[00:01:20.000 --> 00:01:22.000]  神的家又有很多規矩
