
[00:00:00.000 --> 00:00:02.000]  主席:各位頂智媒晚安
[00:00:02.000 --> 00:00:07.000]  過去這個星期,你覺得怎樣?
[00:00:07.000 --> 00:00:09.000]  有沒有人很開心的這個星期?
[00:00:09.000 --> 00:00:11.000]  有,只有一個嗎?
[00:00:11.000 --> 00:00:14.000]  忘記了,開心的日子已經過得很快了
[00:00:14.000 --> 00:00:16.000]  為甚麼這個星期很開心?
[00:00:16.000 --> 00:00:19.000]  為甚麼這個星期很開心?
[00:00:19.000 --> 00:00:21.000]  為甚麼?
[00:00:21.000 --> 00:00:23.000]  因為...
[00:00:23.000 --> 00:00:26.000]  去了以色列,有頂智媒去了以色列回來,所以很開心
[00:00:26.000 --> 00:00:27.000]  因為甚麼?
[00:00:27.000 --> 00:00:31.000]  因為颱風,所以有人多放了一些假日,所以很開心
[00:00:31.000 --> 00:00:34.000]  今天跟大家分享一段經文
[00:00:34.000 --> 00:00:37.000]  我一路思想這段經文的時候,我第一樣想到的就是
[00:00:37.000 --> 00:00:39.000]  今天不是講一些好心的東西
[00:00:39.000 --> 00:00:41.000]  所以今天我不會解釋很多東西
[00:00:41.000 --> 00:00:43.000]  今天又不是講一些很難明的東西
[00:00:43.000 --> 00:00:45.000]  所以今天我不會講很長
[00:00:45.000 --> 00:00:47.000]  但是今天講一些你應該明白
[00:00:47.000 --> 00:00:49.000]  你應該知道
[00:00:49.000 --> 00:00:51.000]  但是你應該要努力一起去做的東西
[00:00:51.000 --> 00:00:53.000]  先讀了這段聖經
[00:00:53.000 --> 00:00:56.000]  路過一方第十二章五十四到五十九節
[00:00:56.000 --> 00:00:58.000]  我們一起慢慢讀
[00:00:58.000 --> 00:00:59.000]  預備起
[00:00:59.000 --> 00:01:08.000]  耶穌又對眾人說:你們看見西邊起了雲彩,就說要下大雨了
[00:01:08.000 --> 00:01:10.000]  果然就有
[00:01:10.000 --> 00:01:16.000]  起了南風,你們就說要燥熱了,也就有了
[00:01:16.000 --> 00:01:21.000]  假冒為善的人吶,你們知道分辨天氣的氣象
[00:01:21.000 --> 00:01:25.000]  怎麼不知道分辨這是甚麼時代呢?
[00:01:25.000 --> 00:01:30.000]  你們又為何不自己判斷是甚麼是合理的呢?
[00:01:30.000 --> 00:01:33.000]  你同告你的冤家去見官
[00:01:33.000 --> 00:01:37.000]  還在路上,要盡力跟他和解
[00:01:37.000 --> 00:01:40.000]  免得他拉你到法官面前
[00:01:40.000 --> 00:01:43.000]  法官把你交給法警
[00:01:43.000 --> 00:01:45.000]  法警把你下在監裡
[00:01:45.000 --> 00:01:47.000]  我告訴你
[00:01:47.000 --> 00:01:51.000]  就是最後一小文前,還沒有還清
[00:01:51.000 --> 00:01:54.000]  你也絕不能從那裡出來
[00:01:54.000 --> 00:01:57.000]  這聖經裡面究竟耶穌說了甚麼呢?
[00:01:57.000 --> 00:02:00.000]  不是很多節,看上去只有六節的聖經
[00:02:00.000 --> 00:02:02.000]  不知你明不明白
[00:02:02.000 --> 00:02:04.000]  一開始耶穌是這樣說的
[00:02:04.000 --> 00:02:06.000]  聖經裡面說耶穌跟眾人說
[00:02:06.000 --> 00:02:11.000]  祂就說:你們看見西邊起了雲彩,就說要下雨了
[00:02:11.000 --> 00:02:12.000]  那就下了
[00:02:12.000 --> 00:02:15.000]  好了,弟兄姊妹,在這個禮拜打風之前
[00:02:15.000 --> 00:02:18.000]  你預不預計到會打風呢?
[00:02:18.000 --> 00:02:21.000]  不是很預計到,是吧?
[00:02:21.000 --> 00:02:23.000]  有沒有人覺得應該正常上班呢?
[00:02:23.000 --> 00:02:25.000]  是否也估計要上班呢?
[00:02:25.000 --> 00:02:28.000]  又或者,經常想香港不打風的
[00:02:28.000 --> 00:02:30.000]  香港有力場保護,經常不打風的
[00:02:30.000 --> 00:02:33.000]  無論如何,這次就打了風
[00:02:33.000 --> 00:02:35.000]  不知你認不認識一些人是做船家
[00:02:35.000 --> 00:02:37.000]  或者捕魚,或者在海邊住
[00:02:37.000 --> 00:02:40.000]  我住在西貢,雖然我住的地方不太近海
[00:02:40.000 --> 00:02:42.000]  但是,我聽過一些船家說
[00:02:42.000 --> 00:02:45.000]  看見天色不知道變成甚麼顏色
[00:02:45.000 --> 00:02:46.000]  就知道起風了
[00:02:46.000 --> 00:02:47.000]  我不認識
[00:02:47.000 --> 00:02:49.000]  但是,這個世界裡面有些人是認識的
[00:02:49.000 --> 00:02:51.000]  看見天邊的雲彩,聖經說
[00:02:51.000 --> 00:02:54.000]  有人看見西邊的雲彩就知道要下雨了
[00:02:54.000 --> 00:02:56.000]  那就下雨了
[00:02:56.000 --> 00:02:59.000]  看一看外面的天,今天是陰嗎?
[00:02:59.000 --> 00:03:00.000]  都陰陰的
[00:03:00.000 --> 00:03:02.000]  你猜一會兒下不下雨呢?
[00:03:02.000 --> 00:03:04.000]  可能你說,我怎麼知道呢?
[00:03:04.000 --> 00:03:05.000]  我都不懂
[00:03:05.000 --> 00:03:07.000]  總之,今天天都是大鈴馬遮
[00:03:07.000 --> 00:03:09.000]  天文台說,都有機會有雨
[00:03:09.000 --> 00:03:11.000]  大鈴馬遮先吧
[00:03:11.000 --> 00:03:13.000]  有時我們不太知道
[00:03:13.000 --> 00:03:14.000]  不過,我們是不是甚麼都不知道呢?
[00:03:14.000 --> 00:03:16.000]  可能看天,我們未必有那些農家
[00:03:16.000 --> 00:03:18.000]  或者是漁夫他們那麼厲害
[00:03:18.000 --> 00:03:20.000]  不過,我們有些東西都厲害的,是吧?
[00:03:20.000 --> 00:03:22.000]  有些東西,你不用看都明白的
[00:03:22.000 --> 00:03:24.000]  你明白我的意思嗎?
[00:03:24.000 --> 00:03:26.000]  每一個人都有不同熟悉的地方
[00:03:26.000 --> 00:03:28.000]  我有一次跟電影姊妹吃飯聊天
[00:03:28.000 --> 00:03:31.000]  吃飯,放手機在桌上
[00:03:31.000 --> 00:03:32.000]  通常都是這樣的
[00:03:32.000 --> 00:03:33.000]  接著,我看見她的手機
[00:03:33.000 --> 00:03:35.000]  閃了一點,有燈亮
[00:03:35.000 --> 00:03:36.000]  亮了一盞
[00:03:36.000 --> 00:03:37.000]  我不記得是藍色還是綠色的燈
[00:03:37.000 --> 00:03:38.000]  總之,閃了一盞
[00:03:38.000 --> 00:03:39.000]  我就說,你是不是有電話?
[00:03:39.000 --> 00:03:40.000]  她說,不要緊
